Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;pib_municipios_sector_2020;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;0112;Ambite;54.784;280112;08;Sudeste Comunidad;51.60;450.0;800.0;7850.0;0.0;200.0;20600.0;450.0;550.0;9950.0;2.87;23.59;45.98;55.67;33.83;20.53;13.14;4.60;11.82;19.70;28.08;44.33;1.72;0;0;0;0;15;54;39;5;9.69;59;91.53;8.47;terciario;609;24;1;3;1822.30;0.04;866.98;282.0;517.0;3760.0
Municipios;0127;Anchuelo;42.201;280127;08;Sudeste Comunidad;21.59;450.0;2000.0;13950.0;100.0;16600.0;50300.0;400.0;1950.0;20600.0;1.18;59.51;39.81;41.06;25.89;13.92;6.45;2.57;18.12;26.05;38.10;58.94;-1.27;0;0;0;0;30;70;40;8;6.07;78;89.74;10.26;terciario;1.286;30;1;0;1455.15;0.01;0.00;376.0;1081.0;8460.0
Municipios;0133;Aranjuez;48.903;280133;04;Sur Metropolitano;189.01;8700.0;117100.0;1300400.0;21700.0;433600.0;2954500.0;7800.0;310300.0;1885500.0;1.22;318.93;40.83;44.90;28.75;16.68;8.20;2.78;16.96;27.91;39.02;55.10;0.59;0;0;0;0;1855;3928;2073;350;7.09;4278;91.82;8.18;terciario;60.332;189;11;23;10742.00;0.36;1002.53;4653.0;33605.0;393296.0
Municipios;0148;Arganda del Rey;28.644;280148;03;Este Metropolitano;80.27;2750.0;490300.0;1776000.0;5800.0;553300.0;2036100.0;3400.0;965600.0;2573950.0;2.33;705.65;38.65;40.05;23.72;12.37;5.19;1.74;18.28;28.19;40.65;59.95;4.86;0;0;0;0;1931;4080;2149;387;7.88;4467;91.34;8.66;terciario;56.678;170;10;14;2536.56;0.30;411.91;1833.0;149413.0;484617.0
Municipios;0151;Arroyomolinos;31.450;280151;09;Sudoeste Comunidad;20.78;450.0;93550.0;735000.0;300.0;113000.0;1093500.0;550.0;101200.0;980150.0;4.90;1582.65;33.26;29.90;13.26;5.91;1.85;0.42;25.99;35.59;45.03;70.10;5.07;0;0;0;0;676;1286;610;143;4.34;1429;89.99;10.01;terciario;32.935;0;0;0;0;0;0;470.0;35720.0;252390.0
Municipios;0164;Atazar (El);84.846;280164;06;Sierra Norte;28.43;0.0;0.0;1150.0;400.0;1500.0;39900.0;0.0;250.0;2350.0;1.12;3.16;50.23;66.67;43.33;23.33;14.44;3.33;5.56;15.56;24.44;33.33;60.00;0;0;0;0;2;8;6;0;8.89;8;100.00;0.00;terciario;90;0;0;0;0;0;0;0.0;141.0;799.0
Municipios;0170;Batres;37.802;280170;09;Sudoeste Comunidad;21.36;0.0;3300.0;23000.0;0.0;2500.0;318500.0;100.0;2600.0;24100.0;3.92;81.85;41.58;50.46;29.43;15.09;4.97;1.77;14.80;25.94;35.66;49.54;-2.35;0;0;0;0;24;78;54;5;4.74;83;93.98;6.02;terciario;1.750;5;1;4;190.99;0.02;103.15;47.0;1316.0;10528.0
Municipios;0186;Becerril de la Sierra;50.448;280186;11;Sierra Central;29.64;550.0;10300.0;94250.0;300.0;6100.0;83200.0;500.0;10400.0;108600.0;2.82;198.08;41.54;48.15;29.51;15.80;7.37;2.57;16.02;26.72;36.32;51.85;1.26;0;0;0;0;107;309;202;12;5.46;321;96.26;3.74;terciario;5.875;22;2;21;1358.10;0.05;1356.43;423.0;6063.0;54332.0
Municipios;0199;Belmonte de Tajo;57.499;280199;08;Sudeste Comunidad;24.07;750.0;3900.0;19250.0;2000.0;5400.0;328400.0;450.0;6100.0;25950.0;1.14;69.86;41.88;45.40;30.54;16.70;8.56;3.09;15.27;24.24;36.72;54.60;11.01;0;0;0;0;53;108;55;13;7.19;121;89.26;10.74;terciario;1.683;142;5;5;1400.13;0.18;2.04;423.0;5076.0;10481.0
Municipios;0210;Berrueco (El);66.347;280210;06;Sierra Norte;28.40;0.0;1750.0;13250.0;0.0;7900.0;81500.0;0.0;2050.0;25800.0;2.24;27.33;45.20;51.22;36.94;23.94;12.23;4.38;15.32;22.27;31.02;48.78;3.03;0;0;0;0;14;31;17;3;4.38;34;91.18;8.82;terciario;777;8;0;8;195.56;0.00;195.16;0.0;940.0;5875.0
