Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;sector;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total
Municipios;0040;Alamo (El);280040;09;Sudoeste Comunidad;22.00;0;0;0;14;202;216;230;216;996;1212;1198;16.11;83.89;1428;448.07;42.104;15;410;3518;0.72;0.05;0.04;17.52;0.0;1.01;0;0;0;0;4;94;441;2.004;Terciario;14;244;1347;778
Municipios;0053;Alcalá de Henares;280053;03;Este Metropolitano;88.11;4;112;116;1290;11864;13154;5549;4255;37841;42096;49817;10.02;89.98;55366;2245.28;32.760;78;24451;145121;0.21;0.01;0.01;22.59;0.0;10.0;97.74;75.94;148.2;111.15;69;2484;9333;197.562;Terciario;64;3535;29128;15975
Municipios;0066;Alcobendas;280066;02;Norte Metropolitano;45.24;5;87;92;1035;4882;5917;10131;9091;26028;35119;30997;24.63;75.37;41128;2615.79;18.193;78;17964;196108;0.0;0.0;0.0;0.0;0.0;0.0;0;0;285.09;385.13;22;565;4151;118.417;Terciario;51;1743;28921;15146
Municipios;0072;Alcorcón;280072;04;Sur Metropolitano;33.57;0;121;121;796;3986;4782;4820;4024;31802;35826;35909;11.83;88.17;40729;5130.48;18.087;37;12157;113778;0.09;0.0;0.01;2.74;0.0;0.38;50.0;28.35;0;0;61;1378;7596;172.384;Terciario;36;2816;25995;14115
Municipios;0088;Aldea del Fresno;280088;09;Sudoeste Comunidad;51.66;2;16;18;5;18;23;71;64;356;420;390;15.40;84.60;461;57.52;56.001;35;72;1170;0.3;0.03;0.08;7.39;0.0;1.35;0;0;0;0;12;45;161;2.973;Terciario;23;49;412;241
Municipios;0091;Algete;280091;02;Norte Metropolitano;38.01;5;16;21;186;811;997;771;580;2747;3327;3574;17.74;82.26;4345;549.78;32.758;53;4608;15327;0.16;0.02;0.04;26.23;0.0;1.36;0;0;0;0;4;162;723;20.864;Terciario;26;617;4585;2523
Municipios;0105;Alpedrete;280105;11;Sierra Central;12.66;1;0;1;49;134;183;292;242;1044;1286;1178;19.86;80.14;1470;1171.19;43.979;11;546;5806;0.09;0.01;0.09;5.71;0.0;5.71;0;0;0;0;3;82;599;14.839;Terciario;6;285;2830;1534
Municipios;0112;Ambite;280112;08;Sudeste Comunidad;51.60;0;0;0;0;2;2;16;16;61;77;63;20.25;79.75;79;23.59;54.784;9;11;199;0.24;0.01;0.03;18.22;0.0;8.67;0;0;0;0;0;11;45;609;Terciario;6;11;80;48
Municipios;0127;Anchuelo;280127;08;Sudeste Comunidad;21.59;0;1;1;3;163;166;47;44;99;143;263;15.16;84.84;310;59.51;42.201;8;39;412;0.3;0.01;0.0;14.55;0.0;0.0;0;0;0;0;1;11;58;1.286;Terciario;8;23;180;104
Municipios;0133;Aranjuez;280133;04;Sur Metropolitano;189.01;24;193;217;152;4184;4336;1131;955;11516;12471;15893;6.64;93.36;17024;318.93;48.903;156;6206;37710;1.89;0.11;0.23;107.42;0.0;10.03;0;0;0;0;77;627;3243;60.332;Terciario;99;715;8368;4515
Municipios;0148;Arganda del Rey;280148;03;Este Metropolitano;80.27;1;57;58;779;4754;5533;1999;1219;6141;7360;10952;15.44;84.56;12951;705.65;28.644;68;19312;51479;1.7;0.1;0.14;25.37;0.0;4.12;0;0;0;0;47;1262;2832;1.172;Terciario;39;3179;10311;6206
Municipios;0151;Arroyomolinos;280151;09;Sudoeste Comunidad;20.78;0;3;3;139;991;1130;961;822;4054;4876;5048;15.99;84.01;6009;1582.65;31.450;11;2024;19603;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;6;200;1105;32.935;Terciario;10;760;5370;3008
Municipios;0164;Atazar (El);280164;06;Sierra Norte;28.43;1;3;4;5;10;15;101;95;70;165;83;54.89;45.11;184;3.16;84.846;0;5;47;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;1;7;2.004;Terciario;0;3;17;10
Municipios;0170;Batres;280170;09;Sudoeste Comunidad;21.36;0;0;0;6;19;25;34;28;1527;1555;1546;2.15;97.85;1580;81.85;37.802;2;52;482;0.05;0.01;0.04;1.91;0.0;1.03;0;0;0;0;0;15;64;1.750;Terciario;1;28;224;124
Municipios;0186;Becerril de la Sierra;280186;11;Sierra Central;29.64;0;3;3;9;52;61;106;97;262;359;317;25.06;74.94;423;198.08;50.448;10;208;2172;0.22;0.02;0.21;13.58;0.0;13.56;0;0;0;0;1;56;250;73;Terciario;9;129;1156;640
Municipios;0199;Belmonte de Tajo;280199;08;Sudeste Comunidad;24.07;0;20;20;4;50;54;67;63;1517;1580;1587;4.05;95.95;1654;69.86;57.499;9;122;519;1.42;0.05;0.05;14.0;0.0;0.02;0;0;0;0;4;24;86;707;Terciario;9;108;223;149
Municipios;0210;Berrueco (El);280210;06;Sierra Norte;28.40;0;0;0;27;52;79;56;29;314;343;366;13.27;86.73;422;27.33;66.347;0;41;516;0.08;0.0;0.08;1.96;0.0;1.95;0;0;0;0;1;6;26;2.004;Terciario;0;20;125;72
Municipios;0203;Berzosa del Lozoya;280761;06;Sierra Norte;57.69;0;0;0;1;6;7;92;91;203;294;209;30.56;69.44;301;15.17;82.228;26;9;185;0.04;0.0;0.03;2.72;0.0;2.58;0;0;0;0;0;0;7;262;Terciario;1;4;55;30
Municipios;0225;Boadilla del Monte;280225;05;Oeste Metropolitano;47.38;14;216;230;219;1342;1561;3281;3048;7523;10571;9081;26.54;73.46;12362;1194.65;24.652;217;2045;43658;0.04;0.0;0.02;7.3;0.0;7.29;0;0;388.14;113.64;4;134;1366;87;Terciario;21;706;14974;7782
Municipios;0231;Boalo (El);280231;11;Sierra Central;39.40;0;2;2;28;103;131;157;129;431;560;536;22.66;77.34;693;190.95;55.387;31;387;2892;0.27;0.02;0.27;17.95;0.0;17.95;0;0;0;0;3;48;332;2.004;Terciario;24;186;1338;758
Municipios;0246;Braojos;280246;06;Sierra Norte;24.93;0;0;0;0;1;1;65;65;105;170;106;38.01;61.99;171;8.26;83.276;6;10;606;0.13;0.01;0.13;5.99;0.0;5.99;0;0;0;0;0;0;5;206;Terciario;6;6;68;40
Municipios;0259;Brea de Tajo;280259;08;Sudeste Comunidad;44.73;1;13;14;2;8;10;20;17;172;189;193;9.39;90.61;213;11.30;65.168;25;16;370;0.85;0.07;0.03;25.32;0.0;0.93;0;0;0;0;4;3;33;707;Terciario;15;12;82;53
Municipios;0262;Brunete;280262;05;Oeste Metropolitano;49.17;0;2;2;27;148;175;254;227;924;1151;1074;19.13;80.87;1328;218.65;38.308;28;375;4838;0.15;0.01;0.03;33.75;0.0;1.01;0;0;0;0;5;65;423;10.760;Terciario;23;221;2095;1153
Municipios;0278;Buitrago del Lozoya;280761;06;Sierra Norte;57.69;7;174;181;6;27;33;70;57;692;749;893;7.27;92.73;963;75.43;76.377;11;60;1711;0.18;0.0;0.18;13.31;0.0;13.31;0;0;0;0;4;8;68;262;Terciario;10;37;439;242
