Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;sector;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total
Municipios;0590;Fuente el Saz de Jarama;280590;07;Nordeste Comunidad;33.15;2;9;11;69;208;277;199;128;315;443;532;27.22;72.78;731;205.22;36.187;31;1014;3669;0.21;0.0;0.04;20.55;0.0;0.07;0;0;0;0;3;56;332;4.581;Terciario;27;363;1539;905
Municipios;0604;Fuentidueña de Tajo;280604;08;Sudeste Comunidad;60.18;2;179;181;7;60;67;37;28;110;138;349;9.59;90.41;386;35.46;63.685;50;80;714;0.57;0.06;0.01;36.82;0.0;0.0;0;0;0;0;13;37;106;707;Terciario;26;44;295;179
Municipios;0611;Galapagar;280611;05;Oeste Metropolitano;65.20;2;12;14;58;444;502;536;476;1613;2089;2069;20.58;79.42;2605;528.77;35.516;50;1010;11920;0.18;0.01;0.18;7.19;0.0;7.19;0;0;0;0;25;237;1470;34.497;Terciario;36;551;6146;3333
Municipios;0626;Garganta de los Montes;280626;06;Sierra Norte;40.33;1;3;4;1;8;9;4;2;13;15;24;14.29;85.71;28;9.34;79.318;7;52;166;0.23;0.03;0.23;18.15;0.0;18.12;0;0;0;0;2;3;24;377;Terciario;6;24;81;53
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;280761;06;Sierra Norte;57.69;0;0;0;0;1;1;7;7;27;34;28;20.00;80.00;35;12.77;81.426;5;9;237;0.12;0.0;0.12;8.28;0.0;8.28;0;0;0;0;1;0;16;262;Terciario;5;8;64;38
Municipios;0647;Gascones;280647;06;Sierra Norte;20.07;0;0;0;0;4;4;12;12;22;34;26;31.58;68.42;38;8.77;80.024;10;8;138;0.1;0.0;0.1;5.29;0.0;5.26;0;0;0;0;0;1;5;176;Terciario;7;5;54;33
Municipios;0650;Getafe;280650;04;Sur Metropolitano;78.59;5;62;67;1663;8022;9685;6567;4899;49339;54238;57423;10.26;89.74;63990;2353.29;17.416;85;36374;148412;0.29;0.0;0.06;27.13;0.0;3.42;1702.33;1074.3;334.13;118.42;56;1656;8058;185.180;Terciario;63;3127;25537;14038
Municipios;0663;Griñón;280663;09;Sudoeste Comunidad;17.09;11;5;16;199;816;1015;578;368;1015;1383;1836;23.94;76.06;2414;610.23;33.337;22;3574;10340;0.13;0.02;0.01;14.59;0.0;7.44;0;0;0;0;4;68;364;10.435;Terciario;18;545;2511;1450
Municipios;0679;Guadalix de la Sierra;280679;06;Sierra Norte;60.26;6;17;23;20;87;107;350;324;466;790;570;38.04;61.96;920;106.78;58.847;58;233;2237;0.68;0.07;0.68;36.87;0.0;36.47;0;0;0;0;3;63;287;73;Terciario;43;158;965;571
Municipios;0685;Guadarrama;280685;11;Sierra Central;57.18;0;1;1;44;174;218;380;336;1643;1979;1818;17.29;82.71;2198;289.56;50.794;20;692;7600;0.43;0.01;0.43;19.3;0.0;19.3;0;0;0;0;6;96;680;16.560;Terciario;17;308;2766;1520
Municipios;0698;Hiruela (La);280698;06;Sierra Norte;17.16;0;0;0;0;6;6;1;1;20;21;26;3.70;96.30;27;3.79;97.734;0;2;94;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;2;65;Terciario;0;1;29;15
Municipios;0702;Horcajo de la Sierra-Aoslos;280702;06;Sierra Norte;21.20;0;0;0;0;11;11;3;3;41;44;52;5.45;94.55;55;7.16;89.479;7;10;121;0.08;0.01;0.08;4.94;0.0;4.91;0;0;0;0;0;1;5;73;Terciario;7;4;49;30
Municipios;0719;Horcajuelo de la Sierra;280719;06;Sierra Norte;23.83;0;0;0;5;97;102;11;6;16;22;113;8.87;91.13;124;3.73;94.536;3;11;106;0.04;0.0;0.04;4.05;0.0;3.96;0;0;0;0;0;0;3;73;Terciario;3;6;23;16
Municipios;0724;Hoyo de Manzanares;280724;05;Oeste Metropolitano;45.23;3;15;18;11;119;130;120;106;358;464;492;19.61;80.39;612;188.53;36.584;13;147;3454;0.13;0.0;0.13;4.12;0.0;3.32;0;0;0;0;2;30;299;8.529;Terciario;10;100;1709;903
Municipios;0730;Humanes de Madrid;280730;04;Sur Metropolitano;19.66;3;34;37;598;2060;2658;1284;683;2188;2871;4282;23.07;76.93;5566;1000.56;31.246;23;10821;19249;0.21;0.01;0.03;11.11;0.0;0.03;98.85;118.59;499.23;1627.75;10;255;1012;96.113;Secundario;21;2744;5800;3757
Municipios;0745;Leganés;280745;04;Sur Metropolitano;43.23;3;206;209;837;4017;4854;4912;4072;21017;25089;25240;16.29;83.71;30152;4418.82;16.847;44;15699;119301;0.09;0.0;0.02;8.14;0.0;0.09;0;0;226.59;117.47;97;1756;8633;191.114;Terciario;35;3880;26537;14777
Municipios;0758;Loeches;280758;08;Sudeste Comunidad;44.32;0;4;4;189;1615;1804;367;178;673;851;2292;13.80;86.20;2659;200.61;28.433;7;4120;6513;0.07;0.0;0.01;21.11;0.0;0.04;0;0;0;0;8;104;375;8.897;Secundario;7;514;1711;1023
Municipios;0761;Lozoya;280761;06;Sierra Norte;57.69;0;0;0;2;40;42;18;16;627;643;667;2.63;97.37;685;10.02;85.605;5;28;345;0.22;0.0;0.21;15.09;0.0;15.07;0;0;0;0;0;2;26;580;;5;18;129;74
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;289015;06;Sierra Norte;51.43;0;0;0;7;24;31;45;38;183;221;207;17.86;82.14;252;26.03;68.104;5;82;932;0.24;0.04;0.23;15.13;0.0;15.11;0;0;0;0;1;14;55;1.340;Terciario;5;44;284;162
Municipios;0783;Madarcos;280783;06;Sierra Norte;8.55;0;0;0;11;41;52;93;82;389;471;430;17.78;82.22;523;5.72;92.498;1;4;56;0.05;0.0;0.05;9.45;0.0;9.08;0;0;0;0;0;0;2;49;Terciario;1;3;19;11
Municipios;0796;Madrid;0;0;0;0;134;4610;4744;17922;88619;106541;206214;188158;768889;957047;862118;19.30;80.70;1068332;5512.13;0.000;2505;206557;4004353;1.09;0.03;0.12;20.3;0.0;0.72;98.85;118.59;499.23;1627.75;1152;20347;139724;6.779.888;;1499;41056;815868;424848
Municipios;0800;Majadahonda;280800;05;Oeste Metropolitano;38.47;4;77;81;202;977;1179;3067;2861;8694;11555;9748;23.93;76.07;12815;1874.64;19.700;53;2369;62566;0.08;0.0;0.04;15.47;0.0;6.81;0;0;11.36;27.27;8;196;1981;72.155;Terciario;37;698;19851;10220
Municipios;0822;Manzanares el Real;280822;11;Sierra Central;128.31;2;3;5;20;48;68;91;69;439;508;490;15.66;84.34;581;69.92;51.894;16;232;2672;0.19;0.01;0.19;58.24;0.0;54.95;0;0;0;0;3;62;429;8.936;Terciario;12;164;1382;771
Municipios;0838;Meco;280838;07;Nordeste Comunidad;34.93;2;12;14;145;1046;1191;646;499;6058;6557;7116;8.32;91.68;7762;419.74;48.983;39;3709;12792;0.33;0.0;0.02;38.19;0.0;16.57;62.26;46.69;0;0;4;186;705;14.670;Terciario;10;467;2195;1276
Municipios;0843;Mejorada del Campo;280843;03;Este Metropolitano;17.93;0;0;0;225;941;1166;661;436;1710;2146;2651;19.96;80.04;3312;1316.94;21.041;10;4113;11370;0.17;0.01;0.03;5.4;0.0;0.66;0;0;0;0;10;290;1219;23.639;Terciario;9;1140;3884;2348
Municipios;0856;Miraflores de la Sierra;280856;11;Sierra Central;56.40;3;7;10;2;77;79;81;76;466;542;550;12.84;87.16;631;112.70;55.446;23;244;2063;0.25;0.02;0.25;25.4;0.0;25.28;0;0;0;0;6;38;341;73;Terciario;17;175;1045;603
Municipios;0869;Molar (El);280869;07;Nordeste Comunidad;50.19;2;2;4;26;110;136;96;68;342;410;454;17.45;82.55;550;184.96;43.648;26;278;2679;0.99;0.07;0.21;16.74;0.0;2.47;0;0;0;0;4;85;392;2.004;Terciario;20;177;1237;700
Municipios;0875;Molinos (Los);280875;11;Sierra Central;19.16;2;3;5;17;42;59;86;67;176;243;221;28.01;71.99;307;231.13;55.681;12;749;1774;0.28;0.01;0.28;7.71;0.0;7.71;0;0;0;0;1;33;193;4.433;Terciario;10;113;717;412
Municipios;0881;Montejo de la Sierra;280881;06;Sierra Norte;32.18;0;0;0;0;6;6;17;17;78;95;84;16.83;83.17;101;11.30;87.651;7;12;356;0.12;0.02;0.11;6.27;0.0;6.24;0;0;0;0;0;4;14;73;Terciario;7;10;80;48
Municipios;0894;Moraleja de Enmedio;280894;09;Sudoeste Comunidad;31.17;0;2;2;80;492;572;196;116;3213;3329;3707;5.02;94.98;3903;166.72;27.170;15;1949;3965;0.25;0.03;0.08;22.28;0.0;0.59;0;0;0;0;1;40;231;5.200;Terciario;13;520;1312;832
Municipios;0908;Moralzarzal;280908;11;Sierra Central;43.56;3;5;8;32;152;184;246;211;793;1004;950;20.57;79.43;1196;306.18;46.641;22;399;5442;0.14;0.0;0.14;12.95;0.0;11.91;0;0;0;0;3;85;531;13.334;Terciario;15;225;2336;1267
Municipios;0915;Morata de Tajuña;280915;08;Sudeste Comunidad;45.29;1;48;49;12;196;208;87;74;344;418;588;12.89;87.11;675;173.15;34.745;63;783;2548;1.21;0.08;0.06;25.75;0.0;1.27;0;0;0;0;20;125;395;2.990;Terciario;53;174;1015;606
Municipios;0920;Móstoles;280920;04;Sur Metropolitano;44.90;2;18;20;834;4736;5570;3538;2702;10025;12727;14779;19.32;80.68;18317;4676.65;24.488;62;14224;91279;0.19;0.0;0.05;21.2;0.0;1.03;81.89;53.23;636.75;732.2;133;2161;9695;210.309;Terciario;57;3383;25078;13933
Municipios;0936;Navacerrada;280936;11;Sierra Central;27.51;0;1;1;5;33;38;62;57;223;280;257;19.44;80.56;319;94.73;52.561;1;92;1428;0.12;0.0;0.12;13.89;0.0;13.89;0;0;0;0;0;14;117;3.091;Terciario;1;67;708;384
Municipios;0941;Navalafuente;280941;06;Sierra Norte;12.18;8;7;15;1;9;10;20;11;59;70;75;21.05;78.95;95;123.95;59.831;11;37;361;0.14;0.01;0.14;6.49;0.0;6.42;0;0;0;0;2;15;91;1.511;Terciario;10;25;184;107
Municipios;0954;Navalagamella;280954;10;Sierra Sur;75.76;7;2;9;3;21;24;19;9;96;105;119;13.77;86.23;138;34.80;56.822;14;45;699;0.19;0.01;0.19;22.5;0.0;16.62;0;0;0;0;4;26;133;2.637;Terciario;13;34;331;187
Municipios;0967;Navalcarnero;280967;09;Sudoeste Comunidad;100.84;1;72;73;78;485;563;543;464;2544;3008;3101;14.90;85.10;3644;297.20;36.609;66;2200;16412;2.23;0.09;0.27;51.79;0.0;2.45;0;0;0;0;22;292;1319;29.985;Terciario;40;755;4170;2406
Municipios;0973;Navarredonda y San Mamés;280973;06;Sierra Norte;28.47;0;0;0;0;5;5;11;11;44;55;49;18.33;81.67;60;4.53;85.319;3;6;71;0.1;0.0;0.1;5.54;0.0;5.48;0;0;0;0;0;3;4;129;Terciario;3;4;31;19
Municipios;0992;Navas del Rey;280992;10;Sierra Sur;50.51;1;0;1;5;27;32;56;50;208;258;235;19.24;80.76;291;58.69;60.506;7;208;1169;0.46;0.03;0.15;15.27;0.0;14.36;0;0;0;0;4;37;166;1.172;Terciario;7;87;476;278
Municipios;1006;Nuevo Baztán;281006;08;Sudeste Comunidad;20.10;0;9;9;9;70;79;150;141;315;456;394;27.57;72.43;544;320.78;48.300;7;327;2022;0.09;0.0;0.0;8.21;0.0;0.0;0;0;0;0;2;89;320;6.454;Terciario;6;167;1016;583
Municipios;1013;Olmeda de las Fuentes;281013;08;Sudeste Comunidad;16.52;0;4;4;0;5;5;15;15;28;43;37;28.85;71.15;52;20.92;53.406;5;23;232;0.09;0.0;0.02;7.38;0.0;0.15;0;0;153.36;36.85;0;0;15;346;Terciario;4;10;107;60
Municipios;1028;Orusco de Tajuña;281028;08;Sudeste Comunidad;21.36;0;0;0;0;6;6;17;17;62;79;68;20.00;80.00;85;60.57;57.456;4;50;517;0.35;0.05;0.04;3.53;0.0;0.09;0;0;0;0;0;21;72;2.990;Terciario;4;21;126;74
Municipios;1049;Paracuellos de Jarama;281049;03;Este Metropolitano;43.78;1;5;6;132;1614;1746;693;560;1890;2450;3509;16.49;83.51;4202;591.58;24.676;28;3226;12666;0.15;0.01;0.04;12.7;0.0;0.2;191.93;119.82;0;0;21;104;682;4.581;Terciario;13;736;4751;2628
Municipios;1065;Parla;281065;04;Sur Metropolitano;25.02;4;15;19;342;2030;2372;1920;1574;5944;7518;7989;19.38;80.62;9909;5343.55;23.672;43;4885;39118;0.17;0.0;0.02;14.71;0.0;0.02;150.04;180.05;53.51;93.64;87;1887;7242;133.482;Terciario;39;1848;12726;7166
Municipios;1071;Patones;281071;06;Sierra Norte;35.07;0;0;0;3;7;10;11;8;138;146;145;7.05;92.95;156;15.37;65.895;1;14;302;0.11;0.02;0.05;4.82;0.0;4.32;0;0;0;0;0;1;13;539;Terciario;1;11;111;61
Municipios;1087;Pedrezuela;281087;06;Sierra Norte;28.54;0;0;0;13;45;58;148;135;383;518;428;25.69;74.31;576;215.41;45.794;31;189;1905;0.15;0.0;0.14;4.56;0.0;4.56;0;0;0;0;5;43;239;6.150;Terciario;11;99;832;462
Municipios;1090;Pelayos de la Presa;281090;10;Sierra Sur;7.57;0;4;4;6;78;84;53;47;204;251;286;15.63;84.37;339;353.50;71.930;7;134;1059;0.04;0.0;0.03;1.02;0.0;0.83;0;0;0;0;1;36;179;2.676;Terciario;4;83;460;264
Municipios;1104;Perales de Tajuña;281104;08;Sudeste Comunidad;49.07;0;3;3;8;32;40;29;21;140;161;175;14.22;85.78;204;60.62;40.166;14;182;978;0.89;0.08;0.05;6.5;0.0;1.29;0;0;0;0;2;64;184;2.990;Terciario;11;90;398;239
Municipios;1111;Pezuela de las Torres;281111;08;Sudeste Comunidad;41.68;3;11;14;2;3;5;13;8;50;58;64;16.88;83.12;77;20.79;51.574;29;22;313;0.36;0.01;0.02;31.39;0.0;1.27;0;0;0;0;0;7;29;867;Terciario;17;21;136;85
Municipios;1126;Pinilla del Valle;281126;06;Sierra Norte;25.45;0;0;0;0;2;2;4;4;15;19;17;19.05;80.95;21;7.47;91.312;1;3;70;0.06;0.0;0.06;4.01;0.0;4.01;0;0;0;0;0;2;9;4.291;Terciario;1;2;25;14
Municipios;1132;Pinto;281132;04;Sur Metropolitano;61.98;10;39;49;431;5680;6111;1879;1438;10511;11949;16230;10.38;89.62;18109;859.66;23.546;72;8463;39391;0.26;0.02;0.01;45.42;0.0;3.69;23.36;14.02;54.82;41.11;17;562;2502;53.325;Terciario;25;1263;8467;4693
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;1;3;4;4;3;6;9;9;30.77;69.23;13;9.81;83.028;6;7;83;0.15;0.02;0.15;8.22;0.0;8.17;0;0;0;0;0;1;11;179;Terciario;5;5;32;21
Municipios;1150;Pozuelo de Alarcón;281150;05;Oeste Metropolitano;43.10;8;20;28;298;1636;1934;7508;7202;24793;31995;26449;22.11;77.89;33957;2022.86;18.056;160;3964;150938;0.11;0.01;0.0;0.12;0.0;0.0;0;0;0;0;13;221;2044;87.165;Terciario;63;959;30259;15545
Municipios;1163;Pozuelo del Rey;281163;08;Sudeste Comunidad;30.91;0;0;0;6;25;31;18;12;36;48;61;22.78;77.22;79;37.88;41.510;9;41;333;0.24;0.0;0.03;25.86;0.0;0.19;0;0;0;0;0;17;57;1.172;Terciario;8;22;149;88
Municipios;1179;Prádena del Rincón;281179;06;Sierra Norte;22.50;0;1;1;1;3;4;2;1;19;20;23;8.00;92.00;25;5.55;85.383;3;20;92;0.08;0.01;0.08;4.42;0.0;4.42;0;0;0;0;0;1;2;125;Terciario;3;9;25;18
Municipios;1185;Puebla de la Sierra;281185;06;Sierra Norte;56.69;0;0;0;0;1;1;2;2;19;21;20;9.09;90.91;22;1.29;103.620;2;2;32;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;2;2;73;Terciario;2;1;15;9
Municipios;9020;Puentes Viejas;289020;06;Sierra Norte;58.54;0;0;0;1;5;6;7;6;45;51;50;12.28;87.72;57;11.93;75.189;4;33;327;0.22;0.04;0.22;9.8;0.0;9.79;0;0;0;0;2;5;27;699;Terciario;4;15;115;67
Municipios;1198;Quijorna;281198;09;Sudoeste Comunidad;25.68;1;5;6;5;62;67;37;31;275;306;342;9.76;90.24;379;137.78;45.968;18;70;977;0.09;0.02;0.02;10.81;0.0;3.55;0;0;0;0;4;19;138;3.541;Terciario;13;50;546;301
Municipios;1202;Rascafría;281202;06;Sierra Norte;149.28;0;1;1;10;38;48;45;35;183;218;222;16.85;83.15;267;11.55;95.391;30;126;1068;0.35;0.01;0.34;23.45;0.0;23.36;0;0;0;0;3;9;60;1.725;Terciario;25;55;457;264
Municipios;1219;Redueña;281219;06;Sierra Norte;13.03;0;0;0;0;1;1;11;11;31;42;32;25.58;74.42;43;20.71;56.050;5;60;426;0.12;0.01;0.06;6.44;0.0;4.87;0;0;0;0;0;4;7;270;Terciario;4;6;99;54
Municipios;1224;Ribatejada;281224;07;Nordeste Comunidad;32.16;0;0;0;1;4;5;6;5;86;91;90;6.25;93.75;96;24.87;51.730;3;20;336;0.16;0.0;0.02;17.68;0.0;1.88;0;0;0;0;3;2;53;801;Terciario;3;18;108;63
Municipios;1230;Rivas-Vaciamadrid;281230;03;Este Metropolitano;67.43;4;7;11;514;2254;2768;2915;2397;9330;11727;11591;20.10;79.90;14506;1350.75;16.274;29;6387;51898;0.18;0.01;0.06;11.9;0.0;0.58;0;0;0;0;29;462;3382;90.973;Terciario;23;1576;15833;8555
Municipios;1245;Robledillo de la Jara;281245;06;Sierra Norte;21.02;0;0;0;0;0;0;0;0;17;17;17;0.00;100.00;17;4.52;79.092;0;2;50;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;1;3;95;Terciario;0;1;17;9
Municipios;1258;Robledo de Chavela;281258;10;Sierra Sur;94.15;2;11;13;9;93;102;57;46;192;238;296;16.15;83.85;353;46.32;74.920;67;174;1702;0.34;0.02;0.34;29.74;0.0;29.74;0;0;0;0;8;28;216;4.364;Terciario;32;79;685;392
Municipios;1261;Robregordo;281261;06;Sierra Norte;18.35;0;0;0;0;3;3;1;1;12;13;15;6.25;93.75;16;3.54;89.533;0;2;50;0.05;0.0;0.05;2.42;0.0;2.42;0;0;0;0;1;0;2;65;Terciario;0;1;7;4
Municipios;1277;Rozas de Madrid (Las);281277;05;Oeste Metropolitano;58.28;37;41;78;516;1515;2031;5967;5414;23095;28509;24651;19.49;80.51;30618;1647.18;19.981;214;6534;107599;0.05;0.0;0.04;9.52;0.0;6.03;98.85;118.59;499.23;1627.75;8;259;2759;96.113;Terciario;29;1117;27736;14323
Municipios;1283;Rozas de Puerto Real;281283;10;Sierra Sur;29.55;0;0;0;0;10;10;19;19;72;91;82;18.81;81.19;101;18.78;92.193;9;11;1157;0.32;0.0;0.2;6.29;0.0;5.56;0;0;0;0;1;2;19;555;Terciario;3;7;139;74
Municipios;1296;San Agustín del Guadalix;281296;02;Norte Metropolitano;38.22;1;7;8;166;803;969;501;334;1110;1444;1920;20.69;79.31;2421;351.87;36.132;10;2215;7541;0.21;0.03;0.17;23.34;0.0;14.16;0;0;0;0;3;74;433;13.466;Terciario;10;243;2660;1424
Municipios;1300;San Fernando de Henares;281300;03;Este Metropolitano;38.84;0;6;6;490;1806;2296;3098;2608;14068;16676;15880;16.32;83.68;18978;1017.91;18.348;14;6400;47417;0.12;0.01;0.03;11.46;0.0;1.42;37.58;32.32;0;0;13;326;1939;39.566;Terciario;13;1197;7082;3978
Municipios;1317;San Lorenzo de El Escorial;281317;11;Sierra Central;56.38;3;7;10;23;177;200;334;308;1899;2207;2083;13.82;86.18;2417;328.58;62.624;57;390;11723;0.2;0.01;0.19;19.71;0.0;19.69;0;0;0;0;7;80;789;2.004;Terciario;25;240;3542;1885
Municipios;1338;San Martín de Valdeiglesias;281338;10;Sierra Sur;116.42;2;44;46;21;155;176;147;124;988;1112;1187;11.02;88.98;1334;74.52;78.770;25;445;3841;2.84;0.45;0.5;14.98;0.02;7.17;0;0;0;0;13;115;463;8.679;Terciario;21;223;1374;791
Municipios;1322;San Martín de la Vega;281322;04;Sur Metropolitano;105.10;2;34;36;119;581;700;532;411;1736;2147;2351;18.45;81.55;2883;186.68;30.402;78;2530;9572;1.16;0.07;0.09;43.62;0.0;5.53;0;0;0;0;18;243;1049;19.633;Terciario;61;541;3087;1778
Municipios;1343;San Sebastián de los Reyes;281343;02;Norte Metropolitano;59.10;4;26;30;495;2270;2765;4042;3543;23739;27282;26035;13.44;86.56;30077;1539.39;20.284;161;7559;85513;0.19;0.02;0.07;16.53;0.0;0.14;0;0;122.5;165.0;15;523;3304;91.224;Terciario;48;1744;18589;9977
Municipios;1356;Santa María de la Alameda;281356;10;Sierra Sur;75.66;0;2;2;4;13;17;11;7;65;72;80;12.09;87.91;91;17.45;70.111;23;102;478;0.38;0.01;0.38;32.63;0.0;32.63;0;0;0;0;0;8;85;7.833;Terciario;21;61;252;165
Municipios;1369;Santorcaz;281369;08;Sudeste Comunidad;28.22;0;0;0;0;6;6;6;6;19;25;25;19.35;80.65;31;31.83;45.724;6;24;132;0.43;0.02;0.04;16.72;0.0;1.84;0;0;0;0;0;6;31;899;Terciario;6;22;91;58
Municipios;1375;Santos de la Humosa (Los);281375;08;Sudeste Comunidad;34.82;0;2;2;2;11;13;30;28;80;108;93;24.39;75.61;123;76.84;46.496;12;70;678;0.22;0.01;0.04;26.34;0.0;8.56;0;0;0;0;0;16;118;2.694;Terciario;8;47;336;192
Municipios;1381;Serna del Monte (La);281381;06;Sierra Norte;5.52;0;0;0;0;1;1;6;6;9;15;10;37.50;62.50;16;15.76;80.844;5;2;62;0.04;0.0;0.04;2.85;0.0;2.85;0;0;0;0;0;2;11;87;Terciario;5;2;36;21
Municipios;1408;Serranillos del Valle;281408;09;Sudoeste Comunidad;13.29;0;0;0;38;176;214;127;89;262;351;438;22.48;77.52;565;329.06;35.694;7;471;2411;0.1;0.01;0.01;6.73;0.0;0.34;0;0;0;0;0;44;183;4.291;Terciario;7;191;803;479
Municipios;1415;Sevilla la Nueva;281415;09;Sudoeste Comunidad;24.74;2;1;3;29;127;156;174;143;598;741;726;19.33;80.67;900;379.67;42.875;9;412;3534;0.08;0.01;0.03;9.66;0.0;0.03;0;0;0;0;3;55;397;9.393;Terciario;8;231;1608;898
Municipios;1436;Somosierra;281436;06;Sierra Norte;20.40;0;0;0;0;0;0;4;4;10;14;10;28.57;71.43;14;4.26;93.268;3;2;79;0.11;0.0;0.11;3.23;0.0;3.2;0;0;0;0;0;0;2;87;Terciario;1;1;34;18
Municipios;1441;Soto del Real;281441;11;Sierra Central;42.84;0;0;0;38;112;150;183;145;535;680;647;22.05;77.95;830;209.54;44.268;19;320;5477;0.23;0.0;0.23;18.87;0.0;18.87;0;0;0;0;3;39;294;8.981;Terciario;15;144;1796;965
Municipios;1454;Talamanca de Jarama;281454;07;Nordeste Comunidad;38.48;4;9;13;19;20;39;69;46;170;216;199;25.75;74.25;268;104.18;47.636;17;426;1331;0.49;0.01;0.05;22.54;0.0;0.85;0;0;0;0;0;22;175;4.581;Terciario;11;88;533;308
Municipios;1467;Tielmes;281467;08;Sudeste Comunidad;26.58;4;33;37;7;35;42;41;30;130;160;198;17.15;82.85;239;102.86;45.405;15;213;1010;0.74;0.01;0.02;9.82;0.0;0.59;0;0;0;0;12;50;123;2.736;Terciario;14;75;343;206
Municipios;1473;Titulcia;281473;08;Sudeste Comunidad;10.11;1;0;1;4;44;48;20;15;92;107;136;12.82;87.18;156;132.25;40.449;10;73;489;0.18;0.0;0.01;3.98;0.0;0.14;0;0;0;0;1;11;74;1.341;Terciario;7;44;192;118
Municipios;1489;Torrejón de Ardoz;281489;03;Este Metropolitano;32.42;3;53;56;1195;8148;9343;3617;2419;13512;15931;21713;14.28;85.72;25330;4101.67;22.712;48;18577;74861;0.07;0.02;0.02;12.21;0.0;0.28;0;0;0;0;157;1575;6389;132.853;Terciario;40;2430;17167;9522
Municipios;1505;Torrejón de Velasco;281505;09;Sudoeste Comunidad;52.16;1;5;6;10;107;117;63;52;220;272;332;15.95;84.05;395;84.04;29.513;40;507;1805;0.78;0.05;0.05;35.21;0.0;0.03;0;0;0;0;2;44;160;4.386;Terciario;32;149;750;447
Municipios;1492;Torrejón de la Calzada;281492;09;Sudoeste Comunidad;8.97;2;2;4;90;316;406;325;233;885;1118;1203;21.27;78.73;1528;1024.97;27.728;9;1525;5958;0.05;0.0;0.02;3.11;0.0;0.21;0;0;0;0;7;72;345;9.194;Terciario;8;414;1637;962
Municipios;1512;Torrelaguna;281512;06;Sierra Norte;43.06;0;4;4;6;73;79;37;31;285;316;362;9.27;90.73;399;112.65;60.357;19;128;2144;0.55;0.01;0.09;18.17;0.0;2.4;0;0;0;0;7;43;193;4.854;Terciario;15;87;773;431
Municipios;1527;Torrelodones;281527;05;Oeste Metropolitano;21.67;1;1;2;48;404;452;845;796;2912;3708;3317;20.30;79.70;4162;1102.49;30.262;9;456;14772;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3;62;664;23.902;Terciario;8;239;6500;3350
Municipios;1533;Torremocha de Jarama;281533;06;Sierra Norte;18.86;1;3;4;2;5;7;19;16;113;129;121;13.57;86.43;140;56.82;64.681;14;336;919;0.56;0.02;0.06;12.46;0.0;0.45;0;0;33.05;16.52;1;8;26;4.581;Secundario;10;27;215;122
Municipios;1548;Torres de la Alameda;281548;08;Sudeste Comunidad;43.34;2;8;10;80;259;339;197;115;790;905;1057;15.71;84.29;1254;180.65;37.051;19;1686;5223;0.36;0.01;0.0;25.45;0.0;0.0;30.0;30.0;0;0;15;124;390;7.833;Terciario;16;396;1420;843
Municipios;9036;Tres Cantos;289036;02;Norte Metropolitano;37.95;5;107;112;716;3206;3922;3734;3013;14220;17233;17533;17.56;82.44;21267;1273.08;24.566;96;15977;71305;0.21;0.0;0.2;11.55;0.0;11.24;0;0;66.37;53.37;7;167;1387;48.326;Terciario;19;440;10156;5242
Municipios;1551;Valdaracete;281551;08;Sudeste Comunidad;63.80;1;25;26;1;5;6;5;3;23;26;53;8.62;91.38;58;9.48;58.985;31;28;191;1.25;0.06;0.08;27.65;0.0;0.11;0;0;0;0;1;20;44;605;Terciario;12;15;73;48
Municipios;1564;Valdeavero;281564;07;Nordeste Comunidad;18.71;2;5;7;12;33;45;34;20;76;96;114;22.97;77.03;148;84.94;47.888;24;181;508;0.13;0.01;0.01;16.71;0.0;0.25;0;0;0;0;1;19;86;1.591;Terciario;13;73;291;177
Municipios;1570;Valdelaguna;281570;08;Sudeste Comunidad;42.26;0;3;3;0;3;3;1;1;19;20;25;3.85;96.15;26;23.26;50.708;7;53;249;0.84;0.1;0.07;8.29;0.0;0.48;0;0;0;0;4;9;44;979;Terciario;7;31;99;65
