Serie;Nombre;superficie_km2;contratos_primario_temp_2023;contratos_primario_indefinidos_2023;contratos_primario_total_2023;contratos_secundario_temp_2023;contratos_secundario_indefinidos_2023;contratos_secundario_total_2023;contratos_terciario_temp_2023;contratos_terciario_indefinidos_2023;contratos_terciario_total_2023;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2023;contratos_total_registrados_2023;ocupados_primario_2023;ocupados_secundario_2023;ocupados_terciario_2023;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_total_indust;unidades_productivas_primario_2023;unidades_productivas_secundario_2023;unidades_productivas_terciario_2023;superficie_agricola_ratio;superficie_industrial_ratio;contratos_ocupados_primario_ratio;unidades_productivas_primario_ratio;contratos_ocupados_secundario_ratio;unidades_productivas_secundario_ratio;contratos_ocupados_terciario_ratio;unidades_productivas_terciario_ratio;sector_mas_empleo;Cluster
Municipios;Quijorna;25.68;2;1;3;3;26;29;115;70;185;44.7;55.3;217;14;86;1100;1080.95;0.06;0.0;10;51;557;42.093068535825545;0.0;0.21428571428571427;3.3333333333333335;0.3372093023255814;1.7586206896551724;0.16818181818181818;3.0108108108108107;ocupados_terciario_2023;1
Municipios;Rascafría;149.28;0;1;1;6;15;21;177;110;287;40.78;59.22;309;34;125;1173;2344.51;0.04;0.0;29;54;437;15.705452840300108;0.0;0.029411764705882353;29.0;0.168;2.5714285714285716;0.24467178175618073;1.5226480836236933;ocupados_terciario_2023;1
Municipios;Rivas-Vaciamadrid;67.43;0;11;11;359;1728;2087;6382;7716;14098;58.38;41.62;16196;34;6579;57556;1189.97;0.02;0.0;25;1694;16724;17.647486282070293;0.0;0.3235294117647059;2.272727272727273;0.31722146222830216;0.8116914230953521;0.24494405448606574;1.1862675556816569;ocupados_terciario_2023;0
Municipios;Robledo de Chavela;94.15;14;5;19;109;77;186;195;210;405;47.87;52.13;610;71;196;1852;2974.34;0.02;0.0;30;88;754;31.59150292087095;0.0;0.2676056338028169;1.5789473684210527;0.9489795918367347;0.4731182795698925;0.21868250539956804;1.8617283950617285;ocupados_terciario_2023;0
Municipios;Rozas de Madrid (Las);58.28;11;43;54;370;1454;1824;9047;14832;23879;63.4;36.6;25757;153;6933;109796;951.92;0.0;11858.8;36;1186;28465;16.333562113932736;203.47975291695263;0.35294117647058826;0.6666666666666666;0.2630895716140199;0.6502192982456141;0.21748515428613063;1.192051593450312;ocupados_terciario_2023;0
Municipios;San Agustín del Guadalix;38.22;2;2;4;833;472;1305;625;730;1355;45.2;54.8;2664;12;3521;8940;2334.09;0.08;0.0;12;234;2714;61.06985871271586;0.0;0.3333333333333333;3.0;0.3706333428003408;0.1793103448275862;0.15156599552572708;2.002952029520295;ocupados_terciario_2023;1
Municipios;San Fernando de Henares;38.84;1;0;1;1301;2007;3308;7294;4595;11889;43.44;56.56;15198;14;6749;50006;1146.08;0.03;3232.0;12;1224;7061;29.507723995880532;83.21318228630277;0.07142857142857142;12.0;0.49014668839828124;0.37001209189842804;0.23775146982362116;0.5939103372865674;ocupados_terciario_2023;0
Municipios;San Lorenzo de El Escorial;56.38;1;2;3;30;90;120;1708;962;2670;37.74;62.26;2793;53;423;10767;1971.12;0.05;0.0;25;255;3727;34.96133380631429;0.0;0.05660377358490566;8.333333333333334;0.28368794326241137;2.125;0.2479799387015882;1.395880149812734;ocupados_terciario_2023;1
Municipios;San Martín de Valdeiglesias;116.42;14;8;22;43;101;144;659;430;1089;42.95;57.05;1255;23;445;4647;1497.99;1.67;0.0;19;244;1395;12.867119051709329;0.0;0.9565217391304348;0.8636363636363636;0.3235955056179775;1.6944444444444444;0.2343447385409942;1.28099173553719;ocupados_terciario_2023;0
Municipios;San Martín de la Vega;105.1;7;9;16;186;316;502;1226;1308;2534;53.51;46.49;3052;78;2506;10415;4361.71;0.13;0.0;64;583;3152;41.50057088487155;0.0;0.20512820512820512;4.0;0.20031923383878691;1.1613545816733069;0.24330292846855497;1.2438831886345698;ocupados_terciario_2023;0
Municipios;San Sebastián de los Reyes;59.1;10;6;16;746;1895;2641;17241;12445;29686;44.36;55.64;32343;186;7659;90940;1652.61;0.05;0.0;47;1788;18720;27.962944162436546;0.0;0.08602150537634409;2.9375;0.34482308395351874;0.6770162817114729;0.3264350120958874;0.6306002829616655;ocupados_terciario_2023;0
Municipios;Santa María de la Alameda;75.66;0;1;1;19;7;26;27;34;61;47.73;52.27;88;24;155;810;3263.19;0.02;0.0;20;63;266;43.129659000793026;0.0;0.041666666666666664;20.0;0.16774193548387098;2.423076923076923;0.07530864197530865;4.360655737704918;ocupados_terciario_2023;1
Municipios;Santos de la Humosa (Los);34.82;4;2;6;2;9;11;34;72;106;67.48;32.52;123;12;76;744;2633.52;0.03;0.0;8;45;325;75.63239517518667;0.0;0.5;1.3333333333333333;0.14473684210526316;4.090909090909091;0.1424731182795699;3.0660377358490565;ocupados_terciario_2023;1
Municipios;Sevilla la Nueva;24.74;1;0;1;15;87;102;644;544;1188;48.88;51.12;1291;11;421;3837;966.14;0.04;0.0;10;234;1589;39.0517380759903;0.0;0.09090909090909091;10.0;0.24228028503562946;2.2941176470588234;0.3096168881939015;1.3375420875420876;ocupados_terciario_2023;1
Municipios;Somosierra;20.4;0;1;1;0;1;1;8;21;29;74.19;25.81;31;3;12;167;323.05;0.0;0.0;1;1;30;15.835784313725492;0.0;0.3333333333333333;1.0;0.08333333333333333;1.0;0.17365269461077845;1.0344827586206897;ocupados_terciario_2023;0
Municipios;Soto del Real;42.84;1;1;2;22;77;99;224;375;599;64.71;35.29;700;14;283;5514;1887.35;0.0;0.0;13;142;1842;44.055788982259564;0.0;0.14285714285714285;6.5;0.3498233215547703;1.4343434343434343;0.10863257163583605;3.0751252086811354;ocupados_terciario_2023;1
Municipios;Talamanca de Jarama;38.48;0;7;7;26;72;98;399;114;513;31.23;68.77;618;17;407;1441;2254.39;0.03;0.0;11;84;541;58.58601871101871;0.0;0.4117647058823529;1.5714285714285714;0.24078624078624078;0.8571428571428571;0.3560027758501041;1.0545808966861598;ocupados_terciario_2023;0
Municipios;Tielmes;26.58;6;8;14;112;23;135;303;126;429;27.16;72.84;578;24;237;1279;981.67;0.03;0.0;13;69;349;36.9326561324304;0.0;0.5833333333333334;0.9285714285714286;0.569620253164557;0.5111111111111111;0.33541829554339325;0.8135198135198135;ocupados_terciario_2023;0
Municipios;Titulcia;10.11;3;1;4;6;14;20;337;52;389;16.22;83.78;413;7;75;655;397.76;0.0;0.0;5;34;180;39.34322453016815;0.0;0.5714285714285714;1.25;0.26666666666666666;1.7;0.5938931297709924;0.46272493573264784;ocupados_terciario_2023;0
Municipios;Torrejón de Ardoz;32.42;37;48;85;3044;3226;6270;12851;8889;21740;43.29;56.71;28095;97;23198;82019;1220.68;0.04;0.0;44;2449;17416;37.65206662553979;0.0;0.8762886597938144;0.5176470588235295;0.27028192085524616;0.3905901116427432;0.2650605347541423;0.8011039558417663;ocupados_terciario_2023;0
Municipios;Torrejón de Velasco;52.16;1;12;13;10;85;95;53;244;297;84.2;15.8;405;36;532;1862;3521.11;0.17;0.0;26;156;817;67.50594325153375;0.0;0.3611111111111111;2.0;0.17857142857142858;1.6421052631578947;0.15950590762620837;2.750841750841751;ocupados_terciario_2023;1
Municipios;Torrejón de la Calzada;8.97;0;3;3;90;319;409;401;624;1025;65.83;34.17;1437;10;1419;6162;310.63;0.0;0.0;9;386;1741;34.6298773690078;0.0;0.3;3.0;0.288231148696265;0.9437652811735942;0.16634209672184355;1.6985365853658536;ocupados_terciario_2023;0
Municipios;Torrelaguna;43.06;3;1;4;10;33;43;382;108;490;26.44;73.56;537;19;186;2660;1817.16;0.01;0.0;16;102;813;42.200650255457504;0.0;0.21052631578947367;4.0;0.23118279569892472;2.372093023255814;0.18421052631578946;1.6591836734693877;ocupados_terciario_2023;1
Municipios;Torrelodones;21.67;1;1;2;66;147;213;2117;1874;3991;48.07;51.93;4206;17;521;15854;0.0;0.0;0.0;13;274;6830;0.0;0.0;0.11764705882352941;6.5;0.4088291746641075;1.2863849765258215;0.2517345780244733;1.7113505387121022;ocupados_terciario_2023;0
Municipios;Torres de la Alameda;43.34;1;1;2;72;242;314;440;350;790;53.62;46.38;1106;20;1625;5618;2545.16;0.03;3000.0;17;376;1435;58.725426857406546;69.2201199815413;0.1;8.5;0.19323076923076923;1.197452229299363;0.14061943752224992;1.8164556962025316;ocupados_terciario_2023;1
Municipios;Tres Cantos;37.95;91;47;138;1816;1557;3373;11813;7196;19009;39.08;60.92;22520;75;16736;75119;1155.06;0.0;0.0;11;469;10404;30.436363636363634;0.0;1.84;0.07971014492753623;0.20154158699808794;0.13904536021345984;0.2530518244385575;0.5473196906728391;ocupados_terciario_2023;0
Municipios;Valdaracete;63.8;22;18;40;0;4;4;29;8;37;37.04;62.96;81;31;16;291;2764.78;0.2;0.0;10;14;69;43.33510971786834;0.0;1.2903225806451613;0.25;0.25;3.5;0.12714776632302405;1.864864864864865;ocupados_terciario_2023;1
Municipios;Valdeavero;18.71;2;0;2;22;43;65;30;43;73;61.43;38.57;140;25;213;661;1671.09;0.04;0.0;13;73;277;89.31533939070015;0.0;0.08;6.5;0.3051643192488263;1.123076923076923;0.11043872919818457;3.7945205479452055;ocupados_terciario_2023;1
Municipios;Valdemaqueda;51.79;8;0;8;8;27;35;15;26;41;63.1;36.9;84;9;81;340;0.0;0.0;0.0;8;41;125;0.0;0.0;0.8888888888888888;1.0;0.43209876543209874;1.1714285714285715;0.12058823529411765;3.048780487804878;ocupados_terciario_2023;0
Municipios;Valdemorillo;93.8;9;1;10;47;94;141;431;443;874;52.49;47.51;1025;29;707;5755;2140.73;0.15;0.0;26;295;2880;22.822281449893392;0.0;0.3448275862068966;2.6;0.19943422913719944;2.0921985815602837;0.1518679409209383;3.2951945080091534;ocupados_terciario_2023;1
Municipios;Valdemoro;64.16;20;9;29;843;2171;3014;14460;4750;19210;31.14;68.86;22253;37;6873;67692;1111.69;0.03;0.0;25;1899;11983;17.326839152119703;0.0;0.7837837837837838;0.8620689655172413;0.43852757165720935;0.6300597213005972;0.2837853808426402;0.6237896928682978;ocupados_terciario_2023;0
Municipios;Valdeolmos-Alalpardo;25.84;2;5;7;294;26;320;214;164;378;27.66;72.34;705;13;407;2116;2190.06;0.0;0.0;10;57;888;84.75464396284829;0.0;0.5384615384615384;1.4285714285714286;0.7862407862407862;0.178125;0.1786389413988658;2.3492063492063493;ocupados_terciario_2023;1
Municipios;Valdepiélagos;17.66;0;1;1;0;4;4;55;9;64;20.29;79.71;69;5;78;294;1357.81;0.03;0.0;5;25;109;76.88618346545866;0.0;0.2;5.0;0.05128205128205128;6.25;0.21768707482993196;1.703125;ocupados_terciario_2023;1
Municipios;Valdetorres de Jarama;35.07;14;17;31;12;71;83;156;177;333;59.28;40.72;447;31;217;1899;2211.95;0.04;0.0;19;128;734;63.07242657542058;0.0;1.0;0.6129032258064516;0.3824884792626728;1.5421686746987953;0.17535545023696683;2.204204204204204;ocupados_terciario_2023;1
Municipios;Valdilecha;42.57;19;3;22;75;47;122;194;95;289;33.49;66.51;433;33;253;1219;4053.24;0.26;0.0;28;83;414;95.21353065539111;0.0;0.6666666666666666;1.2727272727272727;0.48221343873517786;0.680327868852459;0.23707957342083674;1.4325259515570934;ocupados_terciario_2023;1
Municipios;Valverde de Alcalá;13.74;0;2;2;1;0;1;393;17;410;4.6;95.4;413;5;9;208;416.47;0.0;0.0;3;7;54;30.31077147016012;0.0;0.4;1.5;0.1111111111111111;7.0;1.9711538461538463;0.13170731707317074;ocupados_terciario_2023;0
Municipios;Velilla de San Antonio;14.37;0;1;1;170;291;461;648;2735;3383;78.73;21.27;3845;8;1609;6270;484.34;0.02;0.0;7;460;2122;33.70494084899095;0.0;0.125;7.0;0.2865133623368552;0.9978308026030369;0.5395534290271132;0.6272539166420337;ocupados_terciario_2023;0
Municipios;Villa del Prado;77.27;20;135;155;22;107;129;392;289;681;55.03;44.97;965;202;284;2454;3747.97;0.59;0.0;149;135;923;48.50485311246279;0.0;0.7673267326732673;0.9612903225806452;0.45422535211267606;1.0465116279069768;0.2775061124694376;1.355359765051395;ocupados_terciario_2023;0
Municipios;Villaconejos;33.27;85;16;101;12;13;25;172;117;289;35.18;64.82;415;81;187;1447;2981.21;0.08;0.0;64;92;587;89.60655244965433;0.0;1.2469135802469136;0.6336633663366337;0.13368983957219252;3.68;0.19972356599861782;2.0311418685121105;ocupados_terciario_2023;1
Municipios;Villalbilla;34.72;7;0;7;158;224;382;724;524;1248;45.69;54.31;1637;8;1415;5512;1902.76;0.07;0.0;7;360;2231;54.80299539170507;0.0;0.875;1.0;0.26996466431095406;0.9424083769633508;0.22641509433962265;1.7876602564102564;ocupados_terciario_2023;1
Municipios;Villamanrique de Tajo;29.58;60;213;273;0;4;4;29;72;101;76.46;23.54;378;21;33;389;2305.11;0.0;0.0;19;13;118;77.92799188640974;0.0;13.0;0.0695970695970696;0.12121212121212122;3.25;0.2596401028277635;1.1683168316831682;ocupados_terciario_2023;2
Municipios;Villamanta;63.23;0;6;6;3;29;32;125;56;181;41.55;58.45;219;39;161;1249;2618.04;0.23;0.0;27;105;433;41.40502925826348;0.0;0.15384615384615385;4.5;0.19875776397515527;3.28125;0.14491593274619696;2.3922651933701657;ocupados_terciario_2023;1
Municipios;Villamantilla;23.92;0;1;1;2;54;56;22;30;52;77.98;22.02;109;4;94;548;1240.3;0.01;0.0;4;47;196;51.85200668896321;0.0;0.25;4.0;0.5957446808510638;0.8392857142857143;0.0948905109489051;3.769230769230769;ocupados_terciario_2023;1
Municipios;Villanueva de Perales;31.43;3;5;8;1;16;17;234;48;282;22.48;77.52;307;12;82;665;2863.48;0.0;0.0;10;30;281;91.1065860642698;0.0;0.6666666666666666;1.25;0.2073170731707317;1.7647058823529411;0.42406015037593986;0.9964539007092199;ocupados_terciario_2023;1
Municipios;Villanueva de la Cañada;34.76;23;11;34;75;212;287;812;2232;3044;72.96;27.04;3365;35;913;15971;533.0;0.02;1202.88;21;281;5671;15.333716915995398;34.60529344073648;0.9714285714285714;0.6176470588235294;0.3143483023001095;0.9790940766550522;0.19059545426084779;1.8630091984231274;ocupados_terciario_2023;0
Municipios;Villanueva del Pardillo;25.43;9;4;13;88;276;364;722;696;1418;54.37;45.63;1795;13;751;8037;1614.88;0.0;0.0;10;285;3321;63.50294927251279;0.0;1.0;0.7692307692307693;0.48468708388814913;0.782967032967033;0.17643399278337688;2.3420310296191817;ocupados_terciario_2023;1
Municipios;Villar del Olmo;27.78;0;2;2;5;41;46;30;47;77;72.0;28.0;125;4;167;708;730.66;0.11;0.0;4;86;432;26.301655867530595;0.0;0.5;2.0;0.2754491017964072;1.8695652173913044;0.10875706214689265;5.6103896103896105;ocupados_terciario_2023;1
Municipios;Villarejo de Salvanés;119.0;22;11;33;669;151;820;188;238;426;31.27;68.73;1279;78;2178;3591;6408.43;0.27;0.0;60;240;1091;53.85235294117647;0.0;0.4230769230769231;1.8181818181818181;0.37649219467401285;0.2926829268292683;0.11862990810359231;2.5610328638497655;ocupados_terciario_2023;1
Municipios;Villaviciosa de Odón;68.2;6;32;38;90;358;448;2464;2551;5015;53.46;46.54;5501;42;1954;21250;1047.89;0.27;0.0;23;554;7587;15.364956011730206;0.0;0.9047619047619048;0.6052631578947368;0.2292732855680655;1.2366071428571428;0.236;1.5128614157527418;ocupados_terciario_2023;0
Municipios;Zarzalejo;20.18;0;1;1;37;4;41;72;32;104;25.34;74.66;146;14;354;886;577.01;0.08;0.0;8;56;302;28.593161546085234;0.0;0.07142857142857142;8.0;0.11581920903954802;1.3658536585365855;0.11738148984198646;2.9038461538461537;ocupados_terciario_2023;1
