Serie;Nombre;superficie_km2;contratos_primario_temp_2023;contratos_primario_indefinidos_2023;contratos_primario_total_2023;contratos_secundario_temp_2023;contratos_secundario_indefinidos_2023;contratos_secundario_total_2023;contratos_terciario_temp_2023;contratos_terciario_indefinidos_2023;contratos_terciario_total_2023;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2023;contratos_total_registrados_2023;ocupados_primario_2023;ocupados_secundario_2023;ocupados_terciario_2023;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_total_indust;unidades_productivas_primario_2023;unidades_productivas_secundario_2023;unidades_productivas_terciario_2023;superficie_agricola_ratio;superficie_industrial_ratio;contratos_ocupados_primario_ratio;unidades_productivas_primario_ratio;contratos_ocupados_secundario_ratio;unidades_productivas_secundario_ratio;contratos_ocupados_terciario_ratio;unidades_productivas_terciario_ratio;sector_mas_empleo;Cluster
Municipios;Arganda del Rey;80.27;15;12;27;1589;3719;5308;4633;4614;9247;57.23;42.77;14582;93;18159;49921;2536.56;0.3;0.0;37;3086;10433;31.60034882272331;0.0;0.2903225806451613;1.3703703703703705;0.2923068450905887;0.5813865862848531;0.18523266761483143;1.1282578133448686;ocupados_terciario_2023;0
Municipios;Becerril de la Sierra;29.64;0;4;4;23;75;98;363;276;639;47.91;52.09;741;9;205;2262;1358.1;0.05;0.0;7;133;1214;45.819838056680155;0.0;0.4444444444444444;1.75;0.47804878048780486;1.3571428571428572;0.28249336870026526;1.8998435054773084;ocupados_terciario_2023;0
Municipios;Belmonte de Tajo;24.07;7;2;9;6;25;31;347;139;486;31.56;68.44;526;10;116;659;1400.13;0.18;0.0;9;87;220;58.16909015371832;0.0;0.9;1.0;0.2672413793103448;2.806451612903226;0.7374810318664643;0.45267489711934156;ocupados_terciario_2023;0
Municipios;Boadilla del Monte;47.38;46;10;56;233;955;1188;6886;6327;13213;50.44;49.56;14457;63;2496;49745;730.35;0.0;0.0;31;777;16825;15.414731954411144;0.0;0.8888888888888888;0.5535714285714286;0.47596153846153844;0.6540404040404041;0.2656146346366469;1.273367138424279;ocupados_terciario_2023;0
Municipios;Braojos;24.93;3;0;3;0;6;6;48;102;150;67.92;32.08;159;4;6;572;599.09;0.03;0.0;4;3;55;24.03088648215002;0.0;0.75;1.3333333333333333;1.0;0.5;0.26223776223776224;0.36666666666666664;ocupados_terciario_2023;0
Municipios;Brea de Tajo;44.73;10;1;11;0;10;10;180;73;253;30.66;69.34;274;26;28;431;2532.27;0.14;0.0;15;14;85;56.612340710932266;0.0;0.4230769230769231;1.3636363636363635;0.35714285714285715;1.4;0.5870069605568445;0.3359683794466403;ocupados_terciario_2023;0
Municipios;Brunete;49.17;0;1;1;27;92;119;545;589;1134;54.39;45.61;1254;29;395;5293;3375.06;0.05;0.0;26;223;2099;68.64063453325198;0.0;0.034482758620689655;26.0;0.3012658227848101;1.8739495798319328;0.21424522954846023;1.8509700176366843;ocupados_terciario_2023;1
Municipios;Bustarviejo;56.13;0;1;1;11;91;102;129;226;355;69.43;30.57;458;11;86;1130;924.62;0.1;0.0;11;64;504;16.472830928202388;0.0;0.09090909090909091;11.0;1.186046511627907;0.6274509803921569;0.3141592920353982;1.419718309859155;ocupados_terciario_2023;0
Municipios;Cabanillas de la Sierra;13.81;0;1;1;7;15;22;83;131;214;62.03;37.97;237;6;54;446;633.34;0.0;0.0;4;15;149;45.860970311368575;0.0;0.16666666666666666;4.0;0.4074074074074074;0.6818181818181818;0.4798206278026906;0.6962616822429907;ocupados_terciario_2023;0
Municipios;Cabrera (La);22.14;0;2;2;5;21;26;190;167;357;49.35;50.65;385;4;95;1578;798.97;0.0;0.0;3;75;544;36.08717253839205;0.0;0.5;1.5;0.2736842105263158;2.8846153846153846;0.2262357414448669;1.5238095238095237;ocupados_terciario_2023;1
Municipios;Cadalso de los Vidrios;47.84;14;21;35;103;99;202;141;132;273;49.41;50.59;510;36;217;1364;1015.73;1.02;0.0;13;110;463;21.2318143812709;0.0;0.9722222222222222;0.37142857142857144;0.9308755760368663;0.5445544554455446;0.2001466275659824;1.695970695970696;ocupados_terciario_2023;0
Municipios;Campo Real;61.75;21;7;28;111;177;288;390;1139;1529;71.71;28.29;1845;24;1433;3417;4292.72;0.36;674.2;11;318;1207;69.51773279352227;10.918218623481781;1.1666666666666667;0.39285714285714285;0.20097697138869505;1.1041666666666667;0.4474685396546678;0.789404839764552;ocupados_terciario_2023;0
Municipios;Carabaña;47.64;3;12;15;14;16;30;192;72;264;32.36;67.64;309;16;150;736;1868.15;0.12;0.0;8;76;314;39.213895885810246;0.0;0.9375;0.5333333333333333;0.2;2.533333333333333;0.358695652173913;1.1893939393939394;ocupados_terciario_2023;0
Municipios;Cenicientos;68.25;11;3;14;3;23;26;168;90;258;38.93;61.07;298;28;59;695;1937.01;0.76;0.0;23;31;242;28.381098901098902;0.0;0.5;1.6428571428571428;0.4406779661016949;1.1923076923076923;0.3712230215827338;0.937984496124031;ocupados_terciario_2023;0
Municipios;Cercedilla;40.82;0;3;3;1;123;124;709;621;1330;51.27;48.73;1457;11;465;4414;798.29;0.01;0.0;7;184;1444;19.556344928956392;0.0;0.2727272727272727;2.3333333333333335;0.26666666666666666;1.4838709677419355;0.3013140009062075;1.0857142857142856;ocupados_terciario_2023;0
Municipios;Chapinería;25.55;3;8;11;3;17;20;141;219;360;62.4;37.6;391;4;190;1078;306.7;0.0;0.0;4;88;394;12.003913894324853;0.0;2.75;0.36363636363636365;0.10526315789473684;4.4;0.3339517625231911;1.0944444444444446;ocupados_terciario_2023;0
Municipios;Chinchón;115.79;40;49;89;30;91;121;685;449;1134;43.82;56.18;1344;167;542;3008;4608.05;0.38;0.0;105;136;1108;39.796614560842904;0.0;0.5329341317365269;1.1797752808988764;0.22324723247232472;1.1239669421487604;0.37699468085106386;0.9770723104056437;ocupados_terciario_2023;0
Municipios;Ciempozuelos;49.41;13;7;20;220;616;836;4343;1515;5858;31.84;68.16;6714;43;2566;16046;2361.62;0.2;0.0;39;610;3139;47.79639749038656;0.0;0.46511627906976744;1.95;0.32579890880748247;0.7296650717703349;0.3650754082014209;0.5358484124274496;ocupados_terciario_2023;0
Municipios;Cobeña;20.79;1;3;4;49;89;138;369;453;822;56.54;43.46;964;22;469;3395;1343.35;0.0;0.0;20;134;1426;64.61519961519961;0.0;0.18181818181818182;5.0;0.2942430703624733;0.9710144927536232;0.24212076583210604;1.7347931873479319;ocupados_terciario_2023;1
Municipios;Collado Mediano;22.19;2;0;2;19;177;196;320;345;665;60.49;39.51;863;4;392;3228;573.58;0.02;0.0;4;146;1416;25.84858044164038;0.0;0.5;2.0;0.5;0.7448979591836735;0.20600991325898388;2.129323308270677;ocupados_terciario_2023;0
Municipios;Collado Villalba;25.19;41;11;52;182;606;788;3371;3651;7022;54.29;45.71;7862;66;2832;34533;605.48;0.05;0.0;34;1165;11004;24.03652242953553;0.0;0.7878787878787878;0.6538461538461539;0.2782485875706215;1.4784263959390862;0.20334173109779052;1.5670749074337795;ocupados_terciario_2023;0
Municipios;Colmenar Viejo;182.88;6;26;32;313;1057;1370;3395;2869;6264;51.55;48.45;7666;158;5596;33632;13976.4;0.39;0.0;103;1047;8697;76.4238845144357;0.0;0.20253164556962025;3.21875;0.24481772694781986;0.7642335766423358;0.1862511893434824;1.3884099616858236;ocupados_terciario_2023;1
Municipios;Colmenar de Oreja;126.33;16;28;44;92;141;233;419;270;689;45.45;54.55;966;87;641;2649;7955.99;0.48;0.0;53;297;1159;62.97783582680282;0.0;0.5057471264367817;1.2045454545454546;0.36349453978159124;1.2746781115879828;0.26009815024537564;1.6821480406386067;ocupados_terciario_2023;1
Municipios;Colmenar del Arroyo;49.31;0;1;1;30;79;109;276;284;560;54.33;45.67;670;18;294;1843;2519.57;0.02;0.0;16;36;309;51.09653214358143;0.0;0.05555555555555555;16.0;0.3707482993197279;0.3302752293577982;0.3038524145415084;0.5517857142857143;ocupados_terciario_2023;0
Municipios;Colmenarejo;31.49;0;1;1;26;76;102;370;341;711;51.35;48.65;814;8;436;5300;1727.93;0.0;0.0;6;156;1405;54.87234042553192;0.0;0.125;6.0;0.23394495412844038;1.5294117647058822;0.1341509433962264;1.9760900140646975;ocupados_terciario_2023;1
Municipios;Corpa;25.94;0;1;1;0;3;3;49;50;99;52.43;47.57;103;3;8;193;1327.01;0.03;0.0;3;8;67;51.15690053970701;0.0;0.3333333333333333;3.0;0.375;2.6666666666666665;0.5129533678756477;0.6767676767676768;ocupados_terciario_2023;0
Municipios;Coslada;12.02;0;17;17;1320;1865;3185;9944;10355;20299;52.07;47.93;23501;25;8395;73602;0.0;0.0;0.0;16;1845;12907;0.0;0.0;0.68;0.9411764705882353;0.3793924955330554;0.5792778649921507;0.2757941360289123;0.6358441302527218;ocupados_terciario_2023;0
Municipios;Cubas de la Sagra;12.89;1;4;5;119;153;272;1707;1026;2733;39.3;60.7;3010;9;761;2549;248.23;0.0;0.0;7;213;917;19.25756400310318;0.0;0.5555555555555556;1.4;0.35742444152431013;0.7830882352941176;1.0721851706551588;0.3355287230150018;ocupados_terciario_2023;0
Municipios;Escorial (El);68.81;11;6;17;10;87;97;836;862;1698;52.7;47.3;1812;33;398;7452;3485.26;0.01;0.0;31;265;3021;50.65048684784188;0.0;0.5151515151515151;1.8235294117647058;0.24371859296482412;2.731958762886598;0.2278582930756844;1.7791519434628975;ocupados_terciario_2023;1
Municipios;Estremera;79.13;73;295;368;14;24;38;95;123;218;70.83;29.17;624;46;74;2544;5375.96;0.2;0.0;24;29;254;67.93832933147985;0.0;8.0;0.06521739130434782;0.5135135135135135;0.7631578947368421;0.08569182389937106;1.165137614678899;ocupados_terciario_2023;2
Municipios;Fresnedillas de la Oliva;28.34;1;0;1;1;23;24;65;38;103;47.66;52.34;128;5;70;605;908.95;0.05;0.0;4;32;246;32.073041637261824;0.0;0.2;4.0;0.34285714285714286;1.3333333333333333;0.17024793388429751;2.3883495145631066;ocupados_terciario_2023;1
Municipios;Fresno de Torote;31.75;0;1;1;5;19;24;34;19;53;50.0;50.0;78;6;111;614;2073.0;0.05;0.0;5;56;262;65.29133858267717;0.0;0.16666666666666666;5.0;0.21621621621621623;2.3333333333333335;0.08631921824104234;4.943396226415095;ocupados_terciario_2023;1
Municipios;Fuenlabrada;39.18;41;14;55;3010;3819;6829;11454;12461;23915;52.9;47.1;30799;128;23199;105738;1332.18;0.3;4068.33;93;4846;29588;34.00153139356815;103.83690658499235;0.4296875;1.690909090909091;0.29436613647139964;0.7096207351003075;0.22617223703871833;1.237215136943341;ocupados_terciario_2023;0
Municipios;Fuente el Saz de Jarama;33.15;1;5;6;63;191;254;248;380;628;64.86;35.14;888;26;1024;3987;2054.8;0.0;0.0;22;370;1566;61.98491704374058;0.0;0.23076923076923078;3.6666666666666665;0.248046875;1.4566929133858268;0.15751191371958867;2.4936305732484074;ocupados_terciario_2023;1
Municipios;Fuentidueña de Tajo;60.18;3;27;30;19;27;46;51;63;114;61.58;38.42;190;60;127;838;3681.86;0.16;0.0;27;54;308;61.18079096045198;0.0;0.5;0.9;0.36220472440944884;1.173913043478261;0.1360381861575179;2.7017543859649122;ocupados_terciario_2023;1
Municipios;Galapagar;65.2;5;5;10;125;328;453;2407;1118;3525;36.38;63.62;3988;45;1118;12581;718.95;0.02;0.0;28;622;6401;11.026840490797547;0.0;0.2222222222222222;2.8;0.40518783542039355;1.3730684326710816;0.28018440505524206;1.815886524822695;ocupados_terciario_2023;0
Municipios;Garganta de los Montes;40.33;2;0;2;1;5;6;21;12;33;41.46;58.54;41;8;60;304;1815.26;0.11;0.0;7;24;76;45.010166129432186;0.0;0.25;3.5;0.1;4.0;0.10855263157894737;2.303030303030303;ocupados_terciario_2023;1
Municipios;Getafe;78.59;48;63;111;4427;5973;10400;35736;21371;57107;40.53;59.47;67618;67;38450;158235;2713.24;0.0;107430.0;56;3281;26370;34.523985239852394;1366.9678076091104;1.6567164179104477;0.5045045045045045;0.270481144343303;0.31548076923076923;0.36089992732328496;0.46176475738525924;ocupados_terciario_2023;0
Municipios;Griñón;17.09;9;99;108;469;754;1223;685;1073;1758;62.35;37.65;3089;40;3468;11201;1458.62;0.04;0.0;17;545;2529;85.34932709186658;0.0;2.7;0.1574074074074074;0.3526528258362168;0.44562551103843007;0.15695027229711633;1.4385665529010239;ocupados_terciario_2023;1
Municipios;Guadalix de la Sierra;60.26;5;11;16;66;69;135;316;303;619;49.74;50.26;770;56;288;2535;3686.51;0.19;0.0;42;170;1044;61.176734152007974;0.0;0.2857142857142857;2.625;0.46875;1.2592592592592593;0.24418145956607495;1.6865912762520194;ocupados_terciario_2023;1
Municipios;Guadarrama;57.18;2;4;6;44;148;192;1836;849;2685;34.72;65.28;2883;27;710;8531;1929.58;0.01;0.0;22;314;2852;33.745715285064705;0.0;0.2222222222222222;3.6666666666666665;0.2704225352112676;1.6354166666666667;0.31473449771421874;1.06219739292365;ocupados_terciario_2023;0
Municipios;Horcajo de la Sierra-Aoslos;21.2;1;4;5;0;8;8;33;26;59;52.78;47.22;72;6;19;269;493.96;0.01;0.0;6;3;53;23.3;0.0;0.8333333333333334;1.2;0.42105263157894735;0.375;0.21933085501858737;0.8983050847457628;ocupados_terciario_2023;0
Municipios;Hoyo de Manzanares;45.23;7;1;8;4;43;47;236;255;491;54.76;45.24;546;9;187;4034;412.25;0.0;0.0;7;118;1818;9.11452575724077;0.0;0.8888888888888888;0.875;0.25133689839572193;2.5106382978723403;0.12171541893901834;3.7026476578411405;ocupados_terciario_2023;1
Municipios;Humanes de Madrid;19.66;33;3;36;635;1766;2401;1242;1737;2979;64.73;35.27;5416;24;10590;20590;1110.61;0.04;11858.8;22;2633;5819;56.49084435401831;603.1943031536114;1.5;0.6111111111111112;0.2267233238904627;1.0966264056643065;0.14468188440990773;1.9533400469956361;ocupados_terciario_2023;1
Municipios;Leganés;43.23;307;19;326;1470;3924;5394;16497;13137;29634;48.31;51.69;35354;49;16810;126476;813.65;0.0;0.0;30;3702;26428;18.82142030996993;0.0;6.653061224489796;0.09202453987730061;0.3208804283164783;0.6863181312569522;0.23430532274898005;0.8918134575150165;ocupados_terciario_2023;2
Municipios;Lozoyuela-Navas-Sieteiglesias;51.43;0;5;5;1;28;29;211;131;342;43.62;56.38;376;7;120;1193;1513.26;0.12;0.0;7;48;300;29.42368267548124;0.0;0.7142857142857143;1.4;0.24166666666666667;1.6551724137931034;0.28667225481978204;0.8771929824561403;ocupados_terciario_2023;0
Municipios;Majadahonda;38.47;31;14;45;293;521;814;7392;8053;15445;52.67;47.33;16304;68;2424;66414;1546.76;0.0;0.0;42;753;20263;40.20691447881466;0.0;0.6617647058823529;0.9333333333333333;0.3358085808580858;0.9250614250614251;0.23255638871322312;1.3119456134671414;ocupados_terciario_2023;0
Municipios;Manzanares el Real;128.31;1;3;4;16;39;55;345;244;589;44.14;55.86;648;19;221;2754;5824.04;0.03;0.0;16;158;1438;45.39038266697841;0.0;0.21052631578947367;4.0;0.248868778280543;2.8727272727272726;0.2138707334785766;2.441426146010187;ocupados_terciario_2023;1
Municipios;Meco;34.93;5;7;12;853;920;1773;7762;1623;9385;22.83;77.17;11170;41;2844;14285;3819.25;0.0;4669.15;13;505;2354;109.34010878900659;133.67162897223017;0.2926829268292683;1.0833333333333333;0.6234177215189873;0.28482797518330516;0.6569828491424571;0.25082578582844967;ocupados_terciario_2023;0
Municipios;Miraflores de la Sierra;56.4;4;9;13;4;23;27;461;208;669;33.85;66.15;709;21;231;2298;2539.95;0.08;0.0;16;161;1057;45.034574468085104;0.0;0.6190476190476191;1.2307692307692308;0.11688311688311688;5.962962962962963;0.29112271540469975;1.5799701046337817;ocupados_terciario_2023;1
Municipios;Molar (El);50.19;0;8;8;18;73;91;509;327;836;43.64;56.36;935;27;284;2975;1674.35;0.26;0.0;20;190;1253;33.3602311217374;0.0;0.2962962962962963;2.5;0.3204225352112676;2.087912087912088;0.2810084033613445;1.4988038277511961;ocupados_terciario_2023;0
Municipios;Molinos (Los);19.16;0;2;2;5;28;33;113;193;306;65.4;34.6;341;10;159;1819;771.21;0.02;0.0;9;113;837;40.25104384133612;0.0;0.2;4.5;0.20754716981132076;3.4242424242424243;0.16822429906542055;2.735294117647059;ocupados_terciario_2023;1
Municipios;Moraleja de Enmedio;31.17;0;1;1;147;313;460;151;301;452;67.36;32.64;913;11;1942;3735;2228.0;0.08;0.0;10;502;1315;71.47898620468399;0.0;0.09090909090909091;10.0;0.2368692070030896;1.0913043478260869;0.12101740294511379;2.90929203539823;ocupados_terciario_2023;1
Municipios;Moralzarzal;43.56;7;6;13;24;128;152;336;786;1122;71.48;28.52;1287;33;457;6087;1295.1;0.0;0.0;12;239;2449;29.731404958677683;0.0;0.3939393939393939;0.9230769230769231;0.33260393873085337;1.5723684210526316;0.18432725480532283;2.1827094474153297;ocupados_terciario_2023;1
Municipios;Morata de Tajuña;45.29;66;6;72;58;125;183;292;158;450;40.99;59.01;705;70;755;2675;2574.99;0.21;0.0;56;182;1034;56.85559726208876;0.0;1.0285714285714285;0.7777777777777778;0.2423841059602649;0.994535519125683;0.16822429906542055;2.2977777777777777;ocupados_terciario_2023;1
Municipios;Móstoles;44.9;2;21;23;1534;2136;3670;7556;8280;15836;53.44;46.56;19529;51;14018;94068;2120.45;0.0;5323.0;47;3322;24800;47.22605790645879;118.55233853006682;0.45098039215686275;2.0434782608695654;0.26180624910828937;0.9051771117166213;0.16834630267466089;1.566052033341753;ocupados_terciario_2023;0
Municipios;Navalafuente;12.18;0;5;5;2;6;8;50;59;109;57.38;42.62;122;9;36;417;649.02;0.04;0.0;9;25;180;53.285714285714285;0.0;0.5555555555555556;1.8;0.2222222222222222;3.125;0.26139088729016785;1.651376146788991;ocupados_terciario_2023;1
