Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;poblacion_censada_0a4;poblacion_censada_10a14;poblacion_censada_15a19;poblacion_censada_20a24;poblacion_censada_25a29;poblacion_censada_30a34;poblacion_censada_35a39;poblacion_censada_40a44;poblacion_censada_45a49;poblacion_censada_50a54;poblacion_censada_55a59;poblacion_censada_5a9;poblacion_censada_60a64;poblacion_censada_65a69;poblacion_censada_70a74;poblacion_censada_75a79;poblacion_censada_80a84;poblacion_censada_85a89;poblacion_censada_90a94;poblacion_censada_95a99;poblacion_censada_mayores_100;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;cluster_zona_estadistica;cluster_densidad_poblacion;cluster_distancia_capital;sector_principal
Municipios;262.0;Brunete;38.308;280262;5;Oeste Metropolitano;49.17;180.0;2835.0;45585.0;18.0;2142.0;43884.0;261.0;3555.0;47637.0;1.66;223.37;40.74;46.27;27.09;13.55;6.38;2.07;15.63;28.88;39.86;53.73;-5.93;0.0;0.0;0.0;0.0;149;421;272;23;4.03;444;94.82;5.18;410;749;779;678;620;586;643;882;1102;1006;871;559;618;419;369;301;173;143;65;19;0;10992;15;1;3;3375.06;0.05;100.68;234.0;2007.0;18891.0;2.0;0.0;0.0;terciario
Municipios;278.0;Buitrago del Lozoya;76.377;280278;6;Sierra Norte;25.92;90.0;765.0;16650.0;0.0;1116.0;25812.0;63.0;756.0;22797.0;0.1;75.24;43.53;49.18;32.24;19.09;10.8;4.76;15.46;26.0;36.9;50.82;9.52;0.0;0.0;0.0;0.0;33;87;54;5;4.68;92;94.57;5.43;74;126;114;92;108;105;131;141;179;152;129;102;128;87;75;61;57;47;30;13;3;1954;18;0;18;1331.05;0.0;1331.05;63.0;378.0;3933.0;2.0;0.0;2.0;terciario
Municipios;284.0;Bustarviejo;64.721;280284;6;Sierra Norte;56.13;90.0;585.0;8055.0;18.0;1836.0;15534.0;99.0;774.0;10170.0;1.66;48.97;43.56;51.56;30.85;16.35;7.78;3.27;14.97;24.31;32.59;48.44;-2.53;0.0;0.0;0.0;0.0;60;147;87;7;5.61;154;95.45;4.55;90;182;142;115;95;133;175;261;317;253;222;140;177;136;100;81;43;47;33;10;0;2752;16;2;16;924.62;0.1;919.31;99.0;576.0;4536.0;2.0;0.0;1.0;terciario
Municipios;297.0;Cabanillas de la Sierra;55.486;280297;6;Sierra Norte;13.81;45.0;225.0;2925.0;18.0;396.0;9018.0;54.0;486.0;4014.0;7.21;67.8;42.94;51.01;31.7;16.44;7.9;2.13;15.9;26.25;33.4;48.99;-7.69;0.0;0.0;0.0;0.0;9;35;26;1;3.83;36;97.22;2.78;45;57;47;50;32;35;63;83;95;86;79;47;64;54;26;22;32;10;9;1;0;937;7;0;7;633.34;0.0;597.54;36.0;135.0;1341.0;2.0;0.0;1.0;terciario
Municipios;301.0;Cabrera (La);60.42;280301;6;Sierra Norte;22.14;45.0;720.0;10395.0;36.0;468.0;14256.0;36.0;855.0;14202.0;2.58;130.78;43.11;49.28;30.78;16.84;8.42;3.11;14.11;25.57;35.09;50.72;1.2;0.0;0.0;0.0;0.0;51;163;112;5;5.83;168;97.02;2.98;100;168;173;159;142;134;184;269;282;254;237;141;167;137;107;80;74;55;22;11;2;2898;6;0;6;798.97;0.0;798.97;27.0;675.0;4896.0;2.0;0.0;1.0;terciario
Municipios;318.0;Cadalso de los Vidrios;89.965;280318;10;Sierra Sur;47.84;315.0;1980.0;8910.0;630.0;3636.0;14994.0;324.0;1953.0;12276.0;0.09;67.22;45.05;52.36;36.54;22.19;10.47;3.26;14.08;23.62;34.03;47.64;-18.06;0.0;0.0;0.0;0.0;89;221;132;24;7.72;245;90.2;9.8;123;181;141;166;152;183;209;229;264;245;250;149;212;183;194;149;83;51;45;7;2;3218;162;28;27;1015.73;1.02;560.34;117.0;990.0;4167.0;1.0;0.0;2.0;terciario
Municipios;323.0;Camarma de Esteruelas;37.479;280323;7;Nordeste Comunidad;35.15;45.0;9540.0;32490.0;0.0;14778.0;42138.0;54.0;16668.0;36810.0;2.6;221.02;39.76;44.83;24.07;11.86;4.82;1.34;16.87;29.38;39.45;55.17;-6.75;0.0;0.0;0.0;0.0;136;395;259;33;5.49;428;92.29;7.71;302;588;550;423;344;440;511;712;890;726;529;423;421;312;236;185;86;72;26;5;1;7782;30;0;0;2505.4;0.0;0.0;45.0;2916.0;11682.0;2.0;0.0;0.0;terciario
Municipios;339.0;Campo Real;34.635;280339;8;Sudeste Comunidad;61.75;135.0;6975.0;24435.0;504.0;5184.0;61632.0;216.0;12897.0;30753.0;0.74;108.57;40.41;43.38;25.84;13.47;6.54;2.79;17.4;27.3;38.77;56.62;-16.49;9.63;6.74;0.0;0.0;145;365;220;20;5.68;385;94.81;5.19;325;416;361;303;356;414;515;683;643;534;457;427;373;287;178;152;100;108;65;14;0;6711;160;9;13;4292.72;0.36;191.38;99.0;2862.0;10863.0;1.0;0.0;0.0;terciario
Municipios;344.0;Canencia;82.184;280344;6;Sierra Norte;54.18;90.0;225.0;1665.0;0.0;342.0;14634.0;63.0;270.0;2502.0;1.53;8.56;51.71;65.52;50.22;28.66;17.46;8.62;7.76;17.67;26.08;34.48;-4.17;0.0;0.0;0.0;0.0;4;21;17;2;5.0;23;91.3;8.7;11;13;20;26;19;20;22;17;25;46;57;12;43;33;19;24;17;22;14;2;2;464;24;2;24;1458.89;0.02;1458.82;63.0;162.0;711.0;2.0;0.0;2.0;terciario
Municipios;357.0;Carabaña;53.449;0;0;0;0.0;90.0;1080.0;5085.0;270.0;540.0;11214.0;144.0;1350.0;6624.0;2.33;47.95;42.91;47.03;30.05;17.54;9.23;3.76;15.75;25.33;34.86;52.97;-7.84;0.0;0.0;0.0;0.0;45;127;82;14;6.2;141;90.07;9.93;93;137;113;106;96;122;168;246;211;177;150;130;136;101;89;71;54;44;26;15;1;2286;102;6;7;1868.15;0.12;53.33;72.0;684.0;2826.0;0.0;0.0;1.0;terciario
