Serie;Nombre;superficie_km2;ocupados_primario;ocupados_secundario;ocupados_terciario;ocupados_total;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_total_indust;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;superficie_agricola_ratio;superficie_industrial_ratio;productividad_ratio;prod_primario;productividad_primario_ratio;prod_secundario;productividad_secundario_ratio;prod_terciario;productividad_terciario_ratio;representacion_primario;representacion_secundario;representacion_terciario;sector
Municipios;Acebeda (La);21.86;0;1;149;75;0.0;0.0;0.0;0;1;43;22;0.0;0.0;3.409090909090909;0.0;0.0;1.0;0.29333333333333333;3.4651162790697674;1.0164341085271318;0.0;0.0;1.0164341085271318;terciario
Municipios;Ajalvir;19.8;17;4255;9545;5938;1176.67;0.0;0.0;11;535;1604;965;0.5942777777777778;0.5942777777777778;6.153367875647668;1.5454545454545454;0.2511558835236841;7.953271028037383;1.2925069959676785;5.9507481296758105;0.9670717320877664;0.1492563603362694;0.7681081853259032;0.9670717320877664;terciario
Municipios;Alameda del Valle;25.7;3;1;278;141;871.83;0.04;0.0;3;1;70;37;0.3392178988326848;0.3392178988326848;3.810810810810811;1.0;0.2624113475177305;1.0;0.2624113475177305;3.9714285714285715;1.0421479229989867;0.089014625934818;0.089014625934818;1.0421479229989867;terciario
Municipios;Alamo (El);22.0;17;460;4333;2360;1751.8;0.18;0.0;17;271;1461;850;0.796190909090909;0.796190909090909;2.776470588235294;1.0;0.36016949152542377;1.6974169741697418;0.6113578084933392;2.9657768651608487;1.068182345502848;0.2867636748844376;0.48675752932413757;1.068182345502848;terciario
Municipios;Alcalá de Henares;88.11;73;26042;152409;84334;2259.37;0.05;7594.1;56;3564;28865;15869;0.2564203836113948;0.2564203836113948;5.314386539794568;1.3035714285714286;0.24529104513007802;7.306958473625141;1.3749392180847269;5.2800623592586176;0.9935412713623806;0.06289762388869456;0.3525624417436369;0.9935412713623806;terciario
Municipios;Alcobendas;45.24;120;18129;209564;111011;0.0;0.0;0.0;66;1786;29533;15477;0.0;0.0;7.172643277120889;1.8181818181818181;0.25348839304213094;10.150615901455767;1.4151848222863583;7.095926590593574;0.9893042657269707;0.0;0.0;0.9893042657269707;terciario
Municipios;Alcorcón;33.57;1033;12661;124638;67446;273.63;0.0;2835.0;24;2889;26395;14352;0.08151027703306524;0.08151027703306524;4.6994147157190636;43.041666666666664;9.158941968389525;4.382485289027345;0.932559808856277;4.722030687630233;1.0048125082120378;0.746547897173198;0.0760132083697775;1.0048125082120378;terciario
Municipios;Aldea del Fresno;51.66;40;129;1233;700;738.69;0.09;0.0;25;62;407;246;0.1429732868757259;0.1429732868757259;2.845528455284553;1.6;0.5622857142857143;2.0806451612903225;0.7311981566820276;3.0294840294840295;1.0646472446472446;0.08039183673469388;0.10454180381830151;1.0646472446472446;terciario
Municipios;Algete;38.01;50;4927;16216;9584;2623.16;0.07;0.0;28;628;4645;2559;0.6901052354643514;0.6901052354643514;3.7452129738178974;1.7857142857142858;0.47679912950155023;7.845541401273885;2.094818493933626;3.491065662002153;0.9321407584582126;0.3290415755338651;1.445645210011143;0.9321407584582126;secundario
Municipios;Alpedrete;12.66;13;613;6279;3394;571.28;0.02;0.0;8;309;2957;1611;0.45123222748815167;0.45123222748815167;2.106765983860956;1.625;0.7713243959929287;1.9838187702265373;0.9416417321257959;2.123435914778492;1.0079125688592074;0.34804642531984237;0.4248990962829243;1.0079125688592074;terciario
