Población.Censos.Censo anual.Población censada.Total. Población censada de 25 a 29 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023
Municipios;1150;Pozuelo de Alarcón;4719;4833;5000;
Municipios;1163;Pozuelo del Rey;41;35;37;
Municipios;1179;Prádena del Rincón;4;5;3;
Municipios;1185;Puebla de la Sierra;4;3;4;
Municipios;9020;Puentes Viejas;25;21;30;
Municipios;1198;Quijorna;159;167;196;
Municipios;1202;Rascafría;91;84;79;
Municipios;1219;Redueña;13;17;11;
Municipios;1224;Ribatejada;41;36;42;
Municipios;1230;Rivas-Vaciamadrid;4881;4941;5134;
Municipios;1245;Robledillo de la Jara;1;3;5;
Municipios;1258;Robledo de Chavela;194;193;191;
Municipios;1261;Robregordo;6;4;4;
Municipios;1277;Rozas de Madrid (Las);4561;4582;4865;
Municipios;1283;Rozas de Puerto Real;27;21;20;
Municipios;1296;San Agustín del Guadalix;652;650;632;
Municipios;1300;San Fernando de Henares;2171;2128;2116;
Municipios;1317;San Lorenzo de El Escorial;1018;990;983;
Municipios;1338;San Martín de Valdeiglesias;420;422;460;
Municipios;1322;San Martín de la Vega;1105;1130;1182;
Municipios;1343;San Sebastián de los Reyes;4628;4601;4705;
Municipios;1356;Santa María de la Alameda;54;54;55;
Municipios;1369;Santorcaz;39;39;31;
Municipios;1375;Santos de la Humosa (Los);121;122;105;
Municipios;1381;Serna del Monte (La);10;10;7;
Municipios;1408;Serranillos del Valle;197;193;188;
Municipios;1415;Sevilla la Nueva;379;386;427;
Municipios;1436;Somosierra;6;7;5;
Municipios;1441;Soto del Real;443;435;432;
Municipios;1454;Talamanca de Jarama;192;194;193;
Municipios;1467;Tielmes;154;144;134;
Municipios;1473;Titulcia;61;73;64;
Municipios;1489;Torrejón de Ardoz;6876;6837;7050;
Municipios;1505;Torrejón de Velasco;237;227;208;
Municipios;1492;Torrejón de la Calzada;486;497;475;
Municipios;1512;Torrelaguna;221;229;232;
Municipios;1527;Torrelodones;1282;1346;1348;
Municipios;1533;Torremocha de Jarama;28;22;31;
Municipios;1548;Torres de la Alameda;364;364;367;
Municipios;9036;Tres Cantos;2865;2871;2942;
Municipios;1551;Valdaracete;34;37;34;
Municipios;1564;Valdeavero;85;83;91;
Municipios;1570;Valdelaguna;44;38;40;
Municipios;1586;Valdemanco;43;53;54;
Municipios;1599;Valdemaqueda;43;36;34;
Municipios;1603;Valdemorillo;593;610;610;
Municipios;1610;Valdemoro;3542;3603;3901;
Municipios;1625;Valdeolmos-Alalpardo;200;204;199;
Municipios;1631;Valdepiélagos;35;36;40;
Municipios;1646;Valdetorres de Jarama;228;236;264;
Municipios;1659;Valdilecha;169;171;183;
Municipios;1662;Valverde de Alcalá;20;24;24;
Municipios;1678;Velilla de San Antonio;703;714;748;
Municipios;1684;Vellón (El);109;102;106;
Municipios;1697;Venturada;97;108;132;
Municipios;1718;Villa del Prado;382;406;428;
Municipios;1701;Villaconejos;184;200;208;
Municipios;1723;Villalbilla;676;685;742;
Municipios;1739;Villamanrique de Tajo;36;32;36;
Municipios;1744;Villamanta;151;145;151;
Municipios;1757;Villamantilla;43;60;60;
Municipios;1782;Villanueva de Perales;64;70;78;
Municipios;1760;Villanueva de la Cañada;1418;1428;1473;
Municipios;1776;Villanueva del Pardillo;744;757;817;
Municipios;1795;Villar del Olmo;106;101;93;
Municipios;1809;Villarejo de Salvanés;394;411;401;
Municipios;1816;Villaviciosa de Odón;1607;1546;1645;
Municipios;1821;Villavieja del Lozoya;12;8;15;
Municipios;1837;Zarzalejo;69;69;75;
Notas;
La fecha de referencia es a 1 de enero de cada año.;
