Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;0783;Madarcos;7.14;7.41;14.81;10.34;
Municipios;0796;Madrid;13.97;12.84;13.86;14.36;
Municipios;0800;Majadahonda;13.47;12.61;13.57;14.15;
Municipios;0822;Manzanares el Real;11.25;10.41;10.96;11.86;
Municipios;0838;Meco;16.12;15.23;16.19;16.56;
Municipios;0843;Mejorada del Campo;15.45;14.48;15.27;14.70;
Municipios;0856;Miraflores de la Sierra;13.00;12.73;12.82;12.67;
Municipios;0869;Molar (El);13.70;12.70;13.48;13.48;
Municipios;0875;Molinos (Los);15.45;13.93;15.09;15.53;
Municipios;0881;Montejo de la Sierra;19.57;20.79;17.92;22.73;
Municipios;0894;Moraleja de Enmedio;18.07;16.52;17.10;17.22;
Municipios;0908;Moralzarzal;12.97;12.79;14.19;15.20;
Municipios;0915;Morata de Tajuña;15.93;14.89;14.40;14.60;
Municipios;0920;Móstoles;14.00;12.51;13.41;13.65;
Municipios;0936;Navacerrada;11.11;10.69;10.85;12.13;
Municipios;0941;Navalafuente;13.86;12.82;13.86;15.68;
Municipios;0954;Navalagamella;15.84;14.52;15.66;14.22;
Municipios;0967;Navalcarnero;14.68;13.88;14.68;14.86;
Municipios;0973;Navarredonda y San Mamés;13.33;16.22;12.20;13.16;
Municipios;0992;Navas del Rey;15.84;13.95;15.55;15.83;
Municipios;1006;Nuevo Baztán;14.59;13.75;15.26;15.70;
Municipios;1013;Olmeda de las Fuentes;6.43;7.97;7.80;8.96;
Municipios;1028;Orusco de Tajuña;16.03;14.66;15.24;13.91;
Municipios;1049;Paracuellos de Jarama;10.18;9.47;10.22;11.28;
Municipios;1065;Parla;14.95;13.66;14.76;14.89;
Municipios;1071;Patones;6.62;8.16;9.03;7.64;
Municipios;1087;Pedrezuela;10.98;10.07;11.39;12.59;
Municipios;1090;Pelayos de la Presa;15.76;14.14;16.78;15.79;
Municipios;1104;Perales de Tajuña;13.91;13.02;15.19;15.57;
Municipios;1111;Pezuela de las Torres;12.96;12.36;12.13;12.41;
Municipios;1126;Pinilla del Valle;13.73;11.54;20.37;21.67;
Municipios;1132;Pinto;13.95;12.85;13.63;14.17;
Municipios;1147;Piñuécar0Gandullas;17.57;15.07;18.67;13.92;
Municipios;1150;Pozuelo de Alarcón;14.71;14.06;15.30;15.67;
Municipios;1163;Pozuelo del Rey;7.62;7.39;9.05;9.48;
Municipios;1179;Prádena del Rincón;4.76;9.09;9.30;2.00;
Municipios;1185;Puebla de la Sierra;4.55;5.26;0.00;0.00;
Municipios;9020;Puentes Viejas;11.59;10.57;11.16;13.50;
Municipios;1198;Quijorna;13.39;13.43;13.69;14.82;
Municipios;1202;Rascafría;15.62;14.42;15.92;15.67;
Municipios;1219;Redueña;9.09;4.85;11.21;15.18;
Municipios;1224;Ribatejada;11.67;10.70;11.72;14.18;
Municipios;1230;Rivas0Vaciamadrid;15.08;13.76;14.73;14.70;
Municipios;1245;Robledillo de la Jara;12.00;9.09;12.00;29.03;
Municipios;1258;Robledo de Chavela;12.42;11.89;12.43;14.44;
Municipios;1261;Robregordo;7.69;7.69;14.29;0.00;
Municipios;1277;Rozas de Madrid (Las);13.28;12.27;13.57;13.98;
Municipios;1283;Rozas de Puerto Real;18.92;16.19;20.15;15.33;
Municipios;1296;San Agustín del Guadalix;14.04;13.48;14.81;15.09;
Municipios;1300;San Fernando de Henares;14.92;13.90;15.25;15.18;
Municipios;1317;San Lorenzo de El Escorial;14.77;13.33;14.68;15.04;
Municipios;1338;San Martín de Valdeiglesias;14.94;13.01;14.31;15.02;
Municipios;1322;San Martín de la Vega;15.96;14.82;16.10;16.24;
Municipios;1343;San Sebastián de los Reyes;14.11;12.80;13.79;14.16;
Municipios;1356;Santa María de la Alameda;14.54;12.90;12.72;14.81;
Municipios;1369;Santorcaz;13.78;16.00;13.29;11.84;
Municipios;1375;Santos de la Humosa (Los);11.85;10.64;11.38;11.31;
Municipios;1381;Serna del Monte (La);5.88;10.26;14.63;13.51;
Municipios;1408;Serranillos del Valle;14.47;14.63;14.84;16.26;
Municipios;1415;Sevilla la Nueva;12.48;12.48;13.77;14.25;
Municipios;1436;Somosierra;17.86;13.33;16.00;22.58;
Municipios;1441;Soto del Real;15.40;14.22;15.66;14.91;
Municipios;1454;Talamanca de Jarama;12.79;10.76;11.80;13.07;
Municipios;1467;Tielmes;17.34;15.31;15.98;15.85;
Municipios;1473;Titulcia;15.56;14.62;16.10;15.03;
Municipios;1489;Torrejón de Ardoz;13.86;12.69;14.12;14.38;
Municipios;1505;Torrejón de Velasco;15.76;13.84;14.41;14.39;
Municipios;1492;Torrejón de la Calzada;15.28;14.45;16.39;15.10;
Municipios;1512;Torrelaguna;15.15;14.49;15.42;14.79;
Municipios;1527;Torrelodones;14.42;13.90;14.85;15.50;
Municipios;1533;Torremocha de Jarama;14.60;14.50;17.41;16.33;
Municipios;1548;Torres de la Alameda;14.31;13.58;15.48;16.02;
Municipios;9036;Tres Cantos;15.50;14.14;15.07;15.15;
Municipios;1551;Valdaracete;18.78;21.00;19.56;18.80;
Municipios;1564;Valdeavero;12.45;13.37;14.74;15.52;
Municipios;1570;Valdelaguna;13.18;11.06;10.42;9.17;
Municipios;1586;Valdemanco;11.86;12.96;12.73;14.16;
Municipios;1599;Valdemaqueda;12.50;11.86;12.46;11.23;
Municipios;1603;Valdemorillo;14.21;12.50;13.81;13.78;
Municipios;1610;Valdemoro;13.75;12.98;14.24;14.84;
Municipios;1625;Valdeolmos0Alalpardo;14.43;12.85;14.01;14.39;
Municipios;1631;Valdepiélagos;12.80;12.56;12.76;11.72;
Municipios;1646;Valdetorres de Jarama;13.55;12.09;14.33;15.50;
Municipios;1659;Valdilecha;16.58;14.96;16.07;16.60;
Municipios;1662;Valverde de Alcalá;8.98;8.43;6.90;9.66;
Municipios;1678;Velilla de San Antonio;15.96;14.96;16.38;16.43;
Municipios;1684;Vellón (El);12.56;12.65;12.24;14.48;
Municipios;1697;Venturada;15.09;12.15;13.65;14.64;
Municipios;1718;Villa del Prado;17.22;16.09;16.83;16.73;
Municipios;1701;Villaconejos;19.89;18.08;17.10;17.47;
Municipios;1723;Villalbilla;13.05;11.76;12.29;12.71;
Municipios;1739;Villamanrique de Tajo;12.09;15.13;13.47;16.05;
Municipios;1744;Villamanta;15.80;15.46;16.81;16.57;
Municipios;1757;Villamantilla;8.63;7.89;11.25;10.90;
Municipios;1782;Villanueva de Perales;13.96;11.97;14.17;16.11;
Municipios;1760;Villanueva de la Cañada;16.36;15.03;15.80;16.35;
Municipios;1776;Villanueva del Pardillo;12.85;11.94;13.15;13.92;
Municipios;1795;Villar del Olmo;15.73;13.67;14.23;14.29;
Municipios;1809;Villarejo de Salvanés;17.68;16.56;16.45;15.87;
Municipios;1816;Villaviciosa de Odón;14.90;13.42;14.57;15.13;
Municipios;1821;Villavieja del Lozoya;18.89;23.33;18.89;21.00;
Municipios;1837;Zarzalejo;11.27;9.52;11.03;12.50;
