Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados de la industria manufacturera. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0679;Guadalix de la Sierra;30;33;32;28;33;40;40;40;41;
Municipios;0685;Guadarrama;80;89;96;99;136;126;142;134;140;
Municipios;0698;Hiruela (La);0;0;0;0;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;2;0;0;8;8;0;0;0;0;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;11;12;10;12;15;16;19;20;26;
Municipios;0730;Humanes de Madrid;3514;3605;3864;4051;4138;4175;4207;4248;4154;
Municipios;0745;Leganés;4596;3953;3993;4363;4529;4734;4731;4870;4795;
Municipios;0758;Loeches;1352;1482;1568;1729;1868;1852;1895;1968;1981;
Municipios;0761;Lozoya;9;7;10;8;9;8;8;7;8;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5;11;11;17;16;15;16;16;16;
Municipios;0783;Madarcos;1;1;1;3;2;1;1;1;1;
Municipios;0796;Madrid;51422;50183;48718;49738;51458;50923;47065;47891;49484;
Municipios;0800;Majadahonda;306;327;366;400;444;484;509;432;488;
Municipios;0822;Manzanares el Real;16;11;16;17;19;26;31;26;22;
Municipios;0838;Meco;1071;1114;1119;1315;1667;1600;1386;1150;1110;
Municipios;0843;Mejorada del Campo;1152;1165;1249;1332;1371;1467;1404;1458;1479;
Municipios;0856;Miraflores de la Sierra;43;42;48;52;54;52;52;53;40;
Municipios;0869;Molar (El);45;54;54;64;44;49;45;47;46;
Municipios;0875;Molinos (Los);17;19;21;25;23;319;24;23;18;
Municipios;0881;Montejo de la Sierra;2;1;0;0;0;1;2;2;1;
Municipios;0894;Moraleja de Enmedio;594;692;763;756;766;769;779;762;786;
Municipios;0908;Moralzarzal;44;51;53;64;71;75;65;66;71;
Municipios;0915;Morata de Tajuña;309;300;273;277;278;284;274;228;228;
Municipios;0920;Móstoles;5249;5511;5355;4809;4801;5069;4962;4740;4799;
Municipios;0936;Navacerrada;11;13;11;12;14;13;13;11;10;
Municipios;0941;Navalafuente;4;3;4;5;5;9;7;8;8;
Municipios;0954;Navalagamella;2;3;7;7;7;8;13;12;9;
Municipios;0967;Navalcarnero;576;620;675;679;650;626;587;622;632;
Municipios;0973;Navarredonda y San Mamés;1;1;1;0;0;0;0;0;0;
Municipios;0992;Navas del Rey;23;26;47;60;61;32;30;31;32;
Municipios;1006;Nuevo Baztán;28;32;30;33;35;36;36;32;30;
Municipios;1013;Olmeda de las Fuentes;1;3;2;1;2;2;0;0;0;
Municipios;1028;Orusco de Tajuña;2;1;2;2;4;3;4;5;7;
Municipios;1049;Paracuellos de Jarama;1007;995;1052;1098;1150;1358;1214;1234;1151;
Municipios;1065;Parla;928;985;1033;1162;1250;1160;1085;996;1030;
Municipios;1071;Patones;1;1;1;0;1;1;0;1;0;
Municipios;1087;Pedrezuela;23;22;24;25;24;23;23;25;24;
Municipios;1090;Pelayos de la Presa;16;19;27;31;36;32;44;37;43;
Municipios;1104;Perales de Tajuña;31;27;28;28;37;36;35;30;31;
Municipios;1111;Pezuela de las Torres;3;4;3;4;4;4;2;2;2;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;3107;2974;3055;3289;3418;3374;3393;3475;3478;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;1033;1015;1291;789;689;842;801;716;859;
Municipios;1163;Pozuelo del Rey;7;6;3;2;3;3;3;3;2;
Municipios;1179;Prádena del Rincón;0;0;0;0;1;1;0;1;1;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;1;1;0;0;0;0;0;
Municipios;1198;Quijorna;3;3;5;9;9;7;5;3;4;
Municipios;1202;Rascafría;12;12;13;13;17;38;40;35;36;
