Serie;Codigo_municipio;Nombre;2022;2023
Municipios;1375;Santos de la Humosa (Los);30;23
Municipios;1381;Serna del Monte (La);1;0
Municipios;1408;Serranillos del Valle;40;42
Municipios;1415;Sevilla la Nueva;52;46
Municipios;1436;Somosierra;0;0
Municipios;1441;Soto del Real;42;30
Municipios;1454;Talamanca de Jarama;23;28
Municipios;1467;Tielmes;42;36
Municipios;1473;Titulcia;11;9
Municipios;1489;Torrejón de Ardoz;1503;1259
Municipios;1505;Torrejón de Velasco;34;24
Municipios;1492;Torrejón de la Calzada;69;62
Municipios;1512;Torrelaguna;30;35
Municipios;1527;Torrelodones;60;61
Municipios;1533;Torremocha de Jarama;5;8
Municipios;1548;Torres de la Alameda;93;86
Municipios;9036;Tres Cantos;140;102
Municipios;1551;Valdaracete;17;14
Municipios;1564;Valdeavero;20;24
Municipios;1570;Valdelaguna;14;13
Municipios;1586;Valdemanco;10;8
Municipios;1599;Valdemaqueda;10;9
Municipios;1603;Valdemorillo;71;78
Municipios;1610;Valdemoro;594;503
Municipios;1625;Valdeolmos-Alalpardo;30;26
Municipios;1631;Valdepiélagos;2;3
Municipios;1646;Valdetorres de Jarama;45;46
Municipios;1659;Valdilecha;45;43
Municipios;1662;Valverde de Alcalá;6;5
Municipios;1678;Velilla de San Antonio;92;93
Municipios;1684;Vellón (El);15;13
Municipios;1697;Venturada;10;9
Municipios;1718;Villa del Prado;70;69
Municipios;1701;Villaconejos;33;24
Municipios;1723;Villalbilla;95;98
Municipios;1739;Villamanrique de Tajo;6;10
Municipios;1744;Villamanta;20;27
Municipios;1757;Villamantilla;17;9
Municipios;1782;Villanueva de Perales;24;18
Municipios;1760;Villanueva de la Cañada;74;60
Municipios;1776;Villanueva del Pardillo;62;60
Municipios;1795;Villar del Olmo;28;23
Municipios;1809;Villarejo de Salvanés;136;134
Municipios;1816;Villaviciosa de Odón;112;108
Municipios;1821;Villavieja del Lozoya;0;2
Municipios;1837;Zarzalejo;9;9
