Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Variación relativa del paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0225;Boadilla del Monte;19.93;47.38;22.55;-1.15;9.14;11.02;1.65;-12.55;-10.65;-5.87;-6.85;-9.59;12.13;18.52;-18.09;-4.60;
Municipios;0231;Boalo (El);15.56;77.88;12.70;4.80;19.91;5.73;-5.23;-2.10;3.89;-12.17;-16.20;-1.78;3.63;12.25;-11.80;-10.86;
Municipios;0246;Braojos;60.00;0.00;75.00;14.29;6.25;17.65;-40.00;0.00;-16.67;10.00;27.27;-35.71;-44.44;80.00;-11.11;-25.00;
Municipios;0259;Brea de Tajo;100.00;77.78;59.38;-15.69;53.49;-19.70;-1.89;-11.54;13.04;23.08;-7.81;-16.95;-4.08;23.40;-13.79;-16.00;
Municipios;0262;Brunete;29.51;68.99;17.98;4.92;13.46;6.40;-9.27;-3.73;-7.32;-15.48;-6.59;-3.33;4.87;16.44;-21.59;-5.93;
Municipios;0278;Buitrago del Lozoya;-6.76;52.17;23.81;32.31;-4.07;5.45;-5.17;-12.73;-10.42;-16.28;-11.11;-5.21;1.10;42.39;-35.88;9.52;
Municipios;0284;Bustarviejo;58.33;47.37;44.29;-5.45;13.61;12.90;-12.65;-10.75;1.57;-16.49;12.96;-13.11;-1.26;15.92;-13.19;-2.53;
Municipios;0297;Cabanillas de la Sierra;-18.18;18.52;50.00;12.50;-1.85;32.08;-11.43;-16.13;3.85;-37.04;0.00;2.94;-22.86;81.48;-20.41;-7.69;
Municipios;0301;Cabrera (La);10.81;134.15;20.83;11.64;5.79;-3.65;-2.65;-10.12;-9.09;-10.95;-17.11;0.00;27.74;7.58;-22.07;1.20;
Municipios;0318;Cadalso de los Vidrios;27.39;53.00;19.61;10.93;19.70;-1.23;-13.75;-2.66;2.23;-11.65;0.00;-18.41;1.35;11.63;-11.01;-18.06;
Municipios;0323;Camarma de Esteruelas;18.18;83.85;19.46;9.98;8.76;14.06;-5.91;-8.19;-10.25;-11.42;-10.65;0.21;4.80;12.15;-18.47;-6.75;
Municipios;0339;Campo Real;75.21;86.32;43.80;-2.99;15.61;6.44;-3.54;-5.50;-8.58;-6.37;-10.02;-5.88;-5.58;16.78;-6.68;-16.49;
Municipios;0344;Canencia;-4.35;0.00;27.27;25.00;20.00;-14.29;-8.33;-21.21;19.23;6.45;6.06;-22.86;3.70;17.86;-27.27;-4.17;
Municipios;0357;Carabaña;13.70;95.18;31.48;-5.16;20.30;7.00;0.77;-13.36;9.25;-29.84;1.15;-16.48;0.68;10.14;-6.13;-7.84;
Municipios;0360;Casarrubuelos;25.20;45.45;30.80;17.06;6.12;15.66;-7.13;-4.09;-12.80;-23.85;-6.02;-4.70;4.93;15.81;-14.76;-14.72;
Municipios;0376;Cenicientos;16.00;17.93;21.05;14.98;5.88;22.22;-2.92;-12.71;-1.92;-6.64;-3.35;-11.69;-2.94;2.02;-8.91;-13.04;
Municipios;0382;Cercedilla;35.33;51.00;17.29;8.84;13.54;5.50;-6.61;-6.52;-11.55;-9.46;-8.46;-8.15;7.10;17.40;-11.76;-5.33;
Municipios;0395;Cervera de Buitrago;0.00;0.00;550.00;-15.38;45.45;37.50;22.73;-44.44;-20.00;-33.33;75.00;-50.00;28.57;33.33;-8.33;18.18;
Municipios;0513;Chapinería;61.73;23.66;40.12;1.76;3.03;28.99;-19.87;-4.47;-5.96;-24.43;6.59;-11.80;24.20;2.56;-27.50;1.38;
Municipios;0528;Chinchón;18.50;83.12;14.52;1.81;16.60;6.78;-11.75;-5.94;-7.84;-9.96;-7.60;-3.74;-4.66;10.87;-13.73;-3.13;
Municipios;0409;Ciempozuelos;33.14;94.18;17.48;0.80;14.76;4.41;-5.16;-10.27;-8.23;-9.71;-8.71;-2.86;6.44;21.50;-22.00;-8.12;
Municipios;0416;Cobeña;5.08;83.06;23.79;14.23;26.79;8.35;7.48;-24.47;-9.22;-8.31;-10.74;-3.38;-7.39;31.51;-21.09;-0.40;
Municipios;0468;Collado Mediano;16.28;49.60;29.14;-2.28;29.45;-1.47;-7.48;-3.77;-10.07;-11.20;-0.47;-1.64;4.30;19.68;-19.50;-9.74;
Municipios;0474;Collado Villalba;22.40;61.52;20.93;1.86;15.49;3.62;-4.78;-9.35;-6.89;-8.32;-7.88;-5.66;5.45;15.15;-21.12;-6.40;
Municipios;0455;Colmenar Viejo;17.11;81.26;21.55;-0.51;13.39;8.75;-4.10;-9.53;-8.19;-11.20;-7.09;-6.05;0.98;17.03;-21.79;-7.31;
Municipios;0437;Colmenar de Oreja;20.21;115.38;24.21;-3.62;12.04;6.11;-2.60;-7.92;-10.16;-21.11;-4.97;-10.00;9.91;7.62;-16.62;-6.93;
Municipios;0421;Colmenar del Arroyo;25.64;69.39;33.73;15.32;25.78;11.18;-15.08;-14.47;-11.54;-4.35;7.27;0.00;-3.39;-3.51;5.45;-7.76;
Municipios;0442;Colmenarejo;21.05;73.55;13.99;4.58;8.58;5.00;2.76;-8.97;-5.42;-4.86;-8.58;-9.58;9.71;20.72;-19.83;-7.69;
Municipios;0480;Corpa;15.00;78.26;48.78;4.92;45.31;-19.35;-4.00;-9.72;-3.08;-6.35;-11.86;-13.46;0.00;37.78;-11.29;-23.64;
Municipios;0493;Coslada;1.77;67.10;14.71;0.26;3.36;8.54;-4.18;-10.47;-12.66;-11.38;-8.81;-10.21;2.49;21.97;-22.28;-9.00;
Municipios;0506;Cubas de la Sagra;41.28;63.64;30.16;10.98;19.23;20.28;-12.84;-8.13;-1.44;-20.63;-12.54;-1.05;8.48;12.70;-23.70;3.79;
Municipios;0534;Daganzo de Arriba;10.82;54.55;27.67;-1.19;16.06;18.15;-6.30;-8.87;-10.47;-10.21;-7.71;-10.74;13.36;15.52;-17.18;-6.37;
Municipios;0549;Escorial (El);12.88;58.71;20.00;0.65;16.56;4.55;-7.99;-4.54;-10.01;-8.31;-0.61;-4.44;8.52;9.75;-19.07;1.74;
Municipios;0552;Estremera;-3.45;232.14;17.20;0.00;-0.92;24.07;-8.96;-4.10;-8.55;-14.95;-6.59;4.71;5.62;17.02;-18.18;4.44;
Municipios;0565;Fresnedillas de la Oliva;48.39;14.13;41.90;7.38;25.63;1.49;-6.86;-6.84;-2.82;-20.35;1.46;-12.23;-5.74;26.09;-11.03;-6.20;
Municipios;0571;Fresno de Torote;45.16;68.89;15.79;-9.66;24.53;0.51;0.50;2.00;-11.76;-17.22;0.67;-20.67;9.24;24.62;-4.32;-19.35;
