Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Unidades productivas. Unidades productivas de la industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;3;3;3;3;4;5;6;8;8;
Municipios;0730;Humanes de Madrid;89;102;95;99;94;101;97;90;87;
Municipios;0745;Leganés;163;172;221;257;269;298;265;170;165;
Municipios;0758;Loeches;11;14;15;12;15;13;13;15;13;
Municipios;0761;Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0;0;1;3;2;2;2;2;1;
Municipios;0783;Madarcos;1;1;1;3;2;1;1;1;1;
Municipios;0796;Madrid;2123;2113;2206;2315;2407;2376;2314;2316;2331;
Municipios;0800;Majadahonda;24;23;27;32;38;48;47;48;45;
Municipios;0822;Manzanares el Real;4;1;2;4;4;6;9;9;8;
Municipios;0838;Meco;8;11;13;14;12;12;11;11;14;
Municipios;0843;Mejorada del Campo;24;23;25;26;27;32;30;34;35;
Municipios;0856;Miraflores de la Sierra;13;12;13;13;15;17;16;13;8;
Municipios;0869;Molar (El);9;9;8;9;8;9;7;8;9;
Municipios;0875;Molinos (Los);4;6;4;5;5;6;6;5;4;
Municipios;0881;Montejo de la Sierra;1;0;0;0;0;0;0;0;0;
Municipios;0894;Moraleja de Enmedio;16;41;48;53;22;17;17;13;13;
Municipios;0908;Moralzarzal;4;4;6;6;6;7;6;10;13;
Municipios;0915;Morata de Tajuña;13;14;12;15;11;9;8;9;8;
Municipios;0920;Móstoles;153;166;157;161;159;126;117;114;110;
Municipios;0936;Navacerrada;2;4;3;3;3;2;2;2;2;
Municipios;0941;Navalafuente;4;2;3;3;3;3;2;2;2;
Municipios;0954;Navalagamella;0;0;1;1;1;1;1;1;0;
Municipios;0967;Navalcarnero;33;35;34;37;33;34;36;34;35;
Municipios;0973;Navarredonda y San Mamés;1;1;1;0;0;0;0;0;0;
