Serie;Codigo_municipio;Nombre;unidades_productivas_primario_2022;unidades_productivas_primario_2023;unidades_productivas_secundario_2022;unidades_productivas_secundario_2023;unidades_productivas_terciario_2022;unidades_productivas_terciario_2023
Municipios;0455;Colmenar Viejo;110;103;1065;1047;8659;8697
Municipios;0437;Colmenar de Oreja;55;53;303;297;1184;1159
Municipios;0421;Colmenar del Arroyo;14;16;44;36;310;309
Municipios;0442;Colmenarejo;8;6;152;156;1421;1405
Municipios;0480;Corpa;2;3;7;8;67;67
Municipios;0493;Coslada;19;16;1840;1845;13190;12907
Municipios;0506;Cubas de la Sagra;5;7;203;213;902;917
Municipios;0534;Daganzo de Arriba;19;19;347;343;1864;1871
Municipios;0549;Escorial (El);32;31;257;265;3016;3021
Municipios;0552;Estremera;24;24;31;29;249;254
Municipios;0565;Fresnedillas de la Oliva;5;4;33;32;238;246
Municipios;0571;Fresno de Torote;7;5;53;56;241;262
Municipios;0587;Fuenlabrada;88;93;4929;4846;29919;29588
Municipios;0590;Fuente el Saz de Jarama;27;22;385;370;1603;1566
Municipios;0604;Fuentidueña de Tajo;27;27;59;54;319;308
Municipios;0611;Galapagar;33;28;617;622;6301;6401
Municipios;0626;Garganta de los Montes;7;7;24;24;76;76
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4;4;7;8;68;73
Municipios;0647;Gascones;7;7;9;11;65;59
Municipios;0650;Getafe;55;56;3252;3281;26454;26370
Municipios;0663;Griñón;15;17;564;545;2511;2529
Municipios;0679;Guadalix de la Sierra;37;42;174;170;1021;1044
Municipios;0685;Guadarrama;25;22;304;314;2825;2852
Municipios;0698;Hiruela (La);0;0;1;1;33;35
Municipios;0702;Horcajo de la Sierra-Aoslos;7;6;3;3;54;53
Municipios;0719;Horcajuelo de la Sierra;3;3;4;4;33;23
Municipios;0724;Hoyo de Manzanares;8;7;107;118;1823;1818
Municipios;0730;Humanes de Madrid;20;22;2710;2633;5885;5819
Municipios;0745;Leganés;38;30;3675;3702;26485;26428
Municipios;0758;Loeches;8;9;502;515;1740;1750
Municipios;0761;Lozoya;4;4;16;17;136;133
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;7;7;46;48;297;300
Municipios;0783;Madarcos;3;1;3;3;21;19
Municipios;0796;Madrid;1520;1539;41987;43033;818258;823488
Municipios;0800;Majadahonda;41;42;737;753;20093;20263
Municipios;0822;Manzanares el Real;15;16;162;158;1459;1438
Municipios;0838;Meco;11;13;457;505;2307;2354
Municipios;0843;Mejorada del Campo;8;5;1177;1160;3916;3914
Municipios;0856;Miraflores de la Sierra;16;16;170;161;1078;1057
Municipios;0869;Molar (El);17;20;190;190;1245;1253
Municipios;0875;Molinos (Los);10;9;115;113;842;837
Municipios;0881;Montejo de la Sierra;7;5;7;7;73;63
Municipios;0894;Moraleja de Enmedio;10;10;496;502;1337;1315
Municipios;0908;Moralzarzal;13;12;239;239;2436;2449
Municipios;0915;Morata de Tajuña;59;56;174;182;1010;1034
Municipios;0920;Móstoles;43;47;3377;3322;25017;24800
Municipios;0936;Navacerrada;0;0;58;59;719;721
Municipios;0941;Navalafuente;10;9;22;25;200;180
Municipios;0954;Navalagamella;13;12;41;37;332;330
Municipios;0967;Navalcarnero;43;43;781;780;4379;4411
Municipios;0973;Navarredonda y San Mamés;3;3;4;4;35;31
Municipios;0992;Navas del Rey;9;8;91;82;489;514
Municipios;1006;Nuevo Baztán;6;6;168;169;1116;1057
Municipios;1013;Olmeda de las Fuentes;6;6;8;7;102;95
Municipios;1028;Orusco de Tajuña;3;4;26;25;149;146
Municipios;1049;Paracuellos de Jarama;10;11;730;720;4998;4961
Municipios;1065;Parla;38;34;1956;1966;13041;13050
Municipios;1071;Patones;4;4;7;6;120;118
Municipios;1087;Pedrezuela;10;7;100;104;841;820
Municipios;1090;Pelayos de la Presa;4;1;95;98;514;509
Municipios;1104;Perales de Tajuña;11;11;88;93;421;424
Municipios;1111;Pezuela de las Torres;14;16;15;14;147;146
Municipios;1126;Pinilla del Valle;1;1;2;2;27;23
Municipios;1132;Pinto;24;24;1269;1258;8582;8557
Municipios;1147;Piñuécar-Gandullas;5;6;5;6;40;32
Municipios;1150;Pozuelo de Alarcón;65;67;944;971;30786;31017
Municipios;1163;Pozuelo del Rey;8;8;25;23;158;143
Municipios;1179;Prádena del Rincón;6;5;9;10;32;32
Municipios;1185;Puebla de la Sierra;1;1;1;1;18;20
Municipios;9020;Puentes Viejas;5;5;17;17;118;122
Municipios;1198;Quijorna;8;10;47;51;566;557
Municipios;1202;Rascafría;26;29;54;54;454;437
Municipios;1219;Redueña;3;2;5;5;97;92
Municipios;1224;Ribatejada;4;5;19;20;117;113
Municipios;1230;Rivas-Vaciamadrid;24;25;1669;1694;16594;16724
Municipios;1245;Robledillo de la Jara;0;0;2;2;14;16
Municipios;1258;Robledo de Chavela;31;30;88;88;756;754
Municipios;1261;Robregordo;0;0;1;1;9;11
Municipios;1277;Rozas de Madrid (Las);38;36;1134;1186;28108;28465
Municipios;1283;Rozas de Puerto Real;4;4;10;8;149;139
Municipios;1296;San Agustín del Guadalix;15;12;233;234;2710;2714
Municipios;1300;San Fernando de Henares;14;12;1231;1224;7165;7061
Municipios;1317;San Lorenzo de El Escorial;27;25;248;255;3669;3727
Municipios;1338;San Martín de Valdeiglesias;19;19;241;244;1428;1395
Municipios;1322;San Martín de la Vega;59;64;544;583;3091;3152
Municipios;1343;San Sebastián de los Reyes;50;47;1748;1788;18624;18720
Municipios;1356;Santa María de la Alameda;19;20;62;63;262;266
Municipios;1369;Santorcaz;7;7;26;25;112;119
Municipios;1375;Santos de la Humosa (Los);7;8;46;45;328;325
Municipios;1381;Serna del Monte (La);5;4;2;2;38;31
Municipios;1408;Serranillos del Valle;5;6;176;183;802;846
