Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0278;Buitrago del Lozoya;42;33;76;87;34;54;8;5;4.31;4.68;84;92;90.48;94.57;9.52;5.43;-35.88;9.52
Municipios;0284;Bustarviejo;53;60;148;147;95;87;10;7;5.84;5.61;158;154;93.67;95.45;6.33;4.55;-13.19;-2.53
Municipios;0297;Cabanillas de la Sierra;11;9;39;35;28;26;0;1;4.46;3.83;39;36;100.00;97.22;0.00;2.78;-20.41;-7.69
Municipios;0301;Cabrera (La);58;51;156;163;98;112;10;5;5.92;5.83;166;168;93.98;97.02;6.02;2.98;-22.07;1.20
Municipios;0318;Cadalso de los Vidrios;131;89;267;221;136;132;32;24;9.36;7.72;299;245;89.30;90.20;10.70;9.80;-11.01;-18.06
Municipios;0323;Camarma de Esteruelas;159;136;421;395;262;259;38;33;6.04;5.49;459;428;91.72;92.29;8.28;7.71;-18.47;-6.75
Municipios;0339;Campo Real;189;145;425;365;236;220;36;20;6.93;5.68;461;385;92.19;94.81;7.81;5.19;-6.68;-16.49
Municipios;0344;Canencia;5;4;23;21;18;17;1;2;5.27;5.00;24;23;95.83;91.30;4.17;8.70;-27.27;-4.17
Municipios;0357;Carabaña;54;45;137;127;83;82;16;14;6.92;6.20;153;141;89.54;90.07;10.46;9.93;-6.13;-7.84
Municipios;0360;Casarrubuelos;93;60;214;178;121;118;17;19;5.83;4.85;231;197;92.64;90.36;7.36;9.64;-14.76;-14.72
Municipios;0376;Cenicientos;78;68;166;142;88;74;18;18;8.81;7.63;184;160;90.22;88.75;9.78;11.25;-8.91;-13.04
Municipios;0382;Cercedilla;155;131;348;322;193;191;27;33;4.98;4.64;375;355;92.80;90.70;7.20;9.30;-11.76;-5.33
Municipios;0395;Cervera de Buitrago;4;1;11;11;7;10;0;2;6.51;7.93;11;13;100.00;84.62;0.00;15.38;-8.33;18.18
