Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Agricultura. Total contratos registrados en las oficinas de empleo en agricultura. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0480;Corpa;0;0;0;0;2;0;0;0;2;1;0;0;0;0;1;
Municipios;0493;Coslada;2;31;26;18;14;3;32;7;22;16;14;35;18;16;17;
Municipios;0506;Cubas de la Sagra;4;1;2;5;8;5;7;1;9;2;3;8;2;11;5;
Municipios;0534;Daganzo de Arriba;2;2;2;0;2;3;3;7;3;3;2;2;1;1;0;
Municipios;0549;Escorial (El);10;10;18;5;7;8;6;16;27;10;12;9;16;11;17;
Municipios;0552;Estremera;20;34;28;18;18;81;41;26;37;113;191;411;450;436;368;
Municipios;0565;Fresnedillas de la Oliva;1;0;1;4;3;4;2;0;2;0;0;0;0;2;1;
Municipios;0571;Fresno de Torote;2;1;2;2;6;1;3;6;8;4;1;3;1;1;1;
Municipios;0587;Fuenlabrada;62;39;37;27;37;31;39;41;40;60;29;15;40;39;55;
Municipios;0590;Fuente el Saz de Jarama;6;4;9;14;13;12;15;15;13;12;13;11;17;5;6;
Municipios;0604;Fuentidueña de Tajo;35;32;27;22;26;109;30;33;24;55;24;181;167;45;30;
Municipios;0611;Galapagar;13;12;9;7;12;11;7;17;39;36;6;14;26;15;10;
Municipios;0626;Garganta de los Montes;0;2;0;0;1;2;3;4;7;3;5;4;0;2;2;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;
Municipios;0647;Gascones;1;2;0;0;0;1;0;2;3;3;0;0;0;0;0;
Municipios;0650;Getafe;132;232;164;47;51;53;58;67;70;64;89;67;108;101;111;
Municipios;0663;Griñón;1;17;13;14;21;6;10;34;11;8;5;16;19;43;108;
Municipios;0679;Guadalix de la Sierra;4;5;6;13;12;26;29;40;20;31;22;23;27;27;16;
Municipios;0685;Guadarrama;6;23;5;9;6;12;8;13;11;5;5;1;29;0;6;
Municipios;0698;Hiruela (La);0;0;0;1;0;1;3;0;0;2;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;3;2;1;3;4;0;2;2;2;1;0;3;0;5;
Municipios;0719;Horcajuelo de la Sierra;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;1;2;4;11;21;19;25;10;17;22;19;18;6;19;8;
Municipios;0730;Humanes de Madrid;1;0;0;1;9;10;8;5;4;5;0;37;50;6;36;
Municipios;0745;Leganés;50;82;54;35;81;191;67;114;140;143;191;209;150;632;326;
Municipios;0758;Loeches;1;3;3;19;10;5;0;0;0;0;15;4;2;0;0;
Municipios;0761;Lozoya;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0;0;4;5;7;8;6;1;2;4;1;0;0;2;5;
Municipios;0783;Madarcos;0;2;0;0;0;2;0;0;0;1;1;0;0;0;0;
Municipios;0796;Madrid;4479;5398;4893;3615;3840;4541;4061;5698;6288;7158;7400;4744;5145;4136;3081;
Municipios;0800;Majadahonda;110;128;39;34;58;52;44;64;65;51;109;81;102;67;45;
