Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Construcción. Total contratos registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0455;Colmenar Viejo;1724;1095;919;821;830;841;798;900;920;1067;1077;1166;1137;1051;966;
Municipios;0437;Colmenar de Oreja;300;280;273;201;259;291;243;185;191;207;172;193;219;228;161;
Municipios;0421;Colmenar del Arroyo;47;51;68;43;41;39;45;17;23;22;22;13;10;15;10;
Municipios;0442;Colmenarejo;196;225;207;111;97;140;159;178;255;295;151;208;243;166;92;
Municipios;0480;Corpa;12;29;15;7;3;8;3;9;15;3;5;2;6;4;1;
Municipios;0493;Coslada;1922;1557;2075;1583;1463;1840;1822;1909;2090;2000;1794;1486;1917;1632;1550;
Municipios;0506;Cubas de la Sagra;103;87;102;94;47;140;151;109;63;178;152;139;156;133;121;
Municipios;0534;Daganzo de Arriba;96;153;300;332;187;345;369;483;552;213;268;165;161;179;156;
Municipios;0549;Escorial (El);339;348;343;320;205;165;109;140;154;161;88;95;110;119;74;
Municipios;0552;Estremera;39;49;79;21;32;19;42;26;22;17;17;25;25;29;30;
Municipios;0565;Fresnedillas de la Oliva;103;46;37;45;33;14;24;15;10;16;16;35;22;28;23;
Municipios;0571;Fresno de Torote;42;33;16;16;12;24;31;24;21;27;28;30;43;22;11;
Municipios;0587;Fuenlabrada;4225;4154;3804;2677;2578;2945;2955;3412;3783;3882;3297;2892;3278;3210;2548;
Municipios;0590;Fuente el Saz de Jarama;78;106;103;101;66;125;119;140;164;188;132;135;128;84;107;
Municipios;0604;Fuentidueña de Tajo;33;38;56;8;7;22;7;5;14;9;20;16;15;8;9;
Municipios;0611;Galapagar;590;482;444;295;280;357;476;458;529;457;441;441;441;441;398;
Municipios;0626;Garganta de los Montes;20;15;8;5;13;7;10;2;5;1;3;4;0;1;3;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1;8;7;2;10;5;7;2;13;10;4;0;1;0;0;
Municipios;0647;Gascones;5;12;12;7;6;12;7;11;7;8;11;4;3;6;4;
Municipios;0650;Getafe;3959;5202;6348;4560;3221;3066;3675;4270;4346;4569;4553;3810;3891;4478;3856;
Municipios;0663;Griñón;418;390;315;372;284;302;456;468;595;605;515;497;516;468;437;
Municipios;0679;Guadalix de la Sierra;152;129;82;105;76;56;46;58;56;47;33;65;66;87;65;
Municipios;0685;Guadarrama;202;306;209;111;127;126;149;142;104;162;180;146;198;190;160;
Municipios;0698;Hiruela (La);6;3;0;9;4;3;3;4;3;0;2;3;2;1;3;
Municipios;0702;Horcajo de la Sierra-Aoslos;17;25;2;2;0;7;1;6;6;7;4;9;7;8;7;
Municipios;0719;Horcajuelo de la Sierra;12;7;13;0;5;3;6;8;3;6;0;1;2;3;0;
Municipios;0724;Hoyo de Manzanares;70;74;58;70;57;57;89;72;56;82;104;120;100;53;40;
Municipios;0730;Humanes de Madrid;1187;1105;930;731;742;1090;1185;1144;759;1070;1167;883;1064;966;853;
Municipios;0745;Leganés;4395;3636;3885;3315;2939;3063;3171;3801;3871;4132;3592;2992;3635;3188;3533;
Municipios;0758;Loeches;335;229;195;223;295;323;322;302;243;232;270;296;318;252;201;
Municipios;0761;Lozoya;28;13;6;8;15;9;41;26;42;61;27;30;10;9;3;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;28;35;15;16;52;47;200;94;25;25;36;27;31;22;25;
Municipios;0783;Madarcos;66;45;59;27;34;33;51;45;65;59;41;46;38;43;45;
Municipios;0796;Madrid;109606;99646;80476;69177;66066;81019;86728;87847;96078;97316;83236;73633;81080;75276;67757;
Municipios;0800;Majadahonda;892;853;1082;767;667;826;922;738;822;1004;901;734;977;774;455;
Municipios;0822;Manzanares el Real;124;100;77;71;76;58;51;53;242;309;44;41;52;49;36;
Municipios;0838;Meco;671;476;422;443;448;386;310;448;453;454;365;318;449;528;389;
Municipios;0843;Mejorada del Campo;885;722;538;386;408;375;382;368;509;562;553;485;509;408;410;
Municipios;0856;Miraflores de la Sierra;69;76;77;59;35;57;45;40;51;35;45;43;40;35;23;
Municipios;0869;Molar (El);189;167;109;108;61;74;93;103;122;148;131;86;184;148;72;
Municipios;0875;Molinos (Los);81;126;83;46;49;21;38;37;23;33;42;50;36;25;26;
Municipios;0881;Montejo de la Sierra;13;0;0;2;6;1;3;1;0;2;3;2;0;1;1;
Municipios;0894;Moraleja de Enmedio;186;185;145;111;120;112;108;141;332;293;335;251;234;208;132;
Municipios;0908;Moralzarzal;143;90;94;142;146;122;121;120;211;203;335;146;261;136;101;
Municipios;0915;Morata de Tajuña;173;104;125;57;50;65;56;60;63;84;116;77;84;81;86;
Municipios;0920;Móstoles;4736;5191;4127;2742;2575;2594;3093;2811;2721;2880;2872;2733;2465;1947;1520;
Municipios;0936;Navacerrada;41;55;26;19;12;19;53;30;29;19;34;31;54;33;30;
Municipios;0941;Navalafuente;7;5;3;0;4;12;33;17;15;7;4;9;5;21;6;
Municipios;0954;Navalagamella;49;33;21;29;24;81;26;0;1;16;8;8;16;10;8;
Municipios;0967;Navalcarnero;612;517;288;277;248;301;353;326;457;421;376;366;448;458;425;
Municipios;0973;Navarredonda y San Mamés;9;2;16;1;0;7;6;3;1;22;9;4;2;1;2;
Municipios;0992;Navas del Rey;81;66;25;38;24;49;43;37;34;39;39;27;38;30;25;
Municipios;1006;Nuevo Baztán;468;391;242;106;83;101;150;98;198;148;113;74;78;90;118;
Municipios;1013;Olmeda de las Fuentes;6;10;14;9;22;2;5;5;1;0;1;4;7;6;2;
Municipios;1028;Orusco de Tajuña;26;18;22;7;0;2;2;8;3;3;2;2;6;6;12;
