Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Total contratos registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0323;Camarma de Esteruelas;5082;4013;4064;4878;4110;3328;2209;2036;2083;2398;2153;2332;2897;2777;2514;2344;3167;1756;1556;
Municipios;0339;Campo Real;1092;2149;2603;1767;887;881;706;821;856;1132;1178;1376;1421;1191;1248;1137;1107;1274;1845;
Municipios;0344;Canencia;346;326;314;314;186;213;298;103;100;92;163;186;215;196;621;287;358;308;391;
Municipios;0357;Carabaña;232;220;239;185;206;113;153;159;128;132;139;203;215;226;480;190;530;521;309;
Municipios;0360;Casarrubuelos;442;404;623;819;734;777;1525;930;677;987;2304;5622;5306;3610;3596;2033;2096;1922;1794;
Municipios;0376;Cenicientos;463;684;600;695;372;264;299;419;925;595;612;433;917;843;946;482;353;478;298;
Municipios;0382;Cercedilla;1217;1514;1548;2223;1701;1495;1485;1361;1453;1138;1377;1435;1611;1513;1768;1270;1807;1752;1457;
Municipios;0395;Cervera de Buitrago;271;129;230;114;131;82;56;41;48;44;59;69;253;184;113;84;120;253;146;
Municipios;0513;Chapinería;308;260;314;502;200;348;313;291;273;400;695;896;640;449;451;293;424;479;391;
Municipios;0528;Chinchón;1288;1494;1377;1191;1359;1520;1499;1504;1550;1619;2651;2947;2557;3312;3187;1890;2283;2015;1344;
Municipios;0409;Ciempozuelos;4620;7001;7998;7727;6916;5463;5643;4817;5324;5961;6664;6187;8798;8958;8617;7891;8876;8089;6714;
Municipios;0416;Cobeña;623;812;1014;845;1035;1114;2000;1688;690;868;1181;1129;1482;1201;1171;838;1203;1199;964;
Municipios;0468;Collado Mediano;1394;1607;1208;1016;880;814;1931;1409;600;674;784;928;910;978;1082;736;909;971;863;
Municipios;0474;Collado Villalba;10513;13307;11675;8543;6988;7356;7397;7761;7065;8175;9577;9732;10892;11621;12376;7646;9909;9501;7862;
Municipios;0455;Colmenar Viejo;8288;9074;10485;10848;7495;7586;6957;7465;6658;5926;6956;7304;8563;9890;11040;8782;9150;9193;7666;
Municipios;0437;Colmenar de Oreja;2123;1703;1942;1170;892;843;1233;858;1083;894;775;858;917;927;808;879;1146;1071;966;
Municipios;0421;Colmenar del Arroyo;922;1400;933;784;569;623;784;677;750;542;532;534;621;559;826;427;538;946;670;
Municipios;0442;Colmenarejo;774;1009;925;760;732;689;682;585;520;583;613;696;696;902;806;821;1231;1009;814;
Municipios;0480;Corpa;75;99;108;58;81;90;69;71;59;41;43;66;63;44;50;42;110;99;103;
Municipios;0493;Coslada;35835;33799;33891;25529;17607;19675;19436;16317;13690;16126;17552;20216;22299;27248;26850;29210;35942;33680;23501;
Municipios;0506;Cubas de la Sagra;593;883;957;753;667;571;479;587;591;899;813;633;542;664;1195;925;2053;1153;3010;
Municipios;0534;Daganzo de Arriba;2989;4664;4769;4166;2586;3059;2997;2721;3630;3533;4016;4107;3910;4352;4756;2960;5087;4075;3523;
Municipios;0549;Escorial (El);1754;2244;1854;1728;1738;1719;1548;1677;1405;1630;1890;2426;3321;3291;2092;1474;1872;2116;1812;
Municipios;0552;Estremera;165;396;713;434;200;195;226;179;278;318;288;251;298;366;502;686;720;673;624;
Municipios;0565;Fresnedillas de la Oliva;93;129;294;260;183;166;124;111;171;120;177;116;164;354;179;113;120;131;128;
Municipios;0571;Fresno de Torote;151;216;255;175;235;268;210;125;143;107;218;289;160;173;125;99;132;124;78;
Municipios;0587;Fuenlabrada;58935;61377;55004;40098;28956;28795;27409;23993;24010;27031;36297;36542;40653;41685;42217;36439;48470;40498;30799;
Municipios;0590;Fuente el Saz de Jarama;1046;1493;1570;1147;712;770;812;972;1126;846;941;1199;1048;1057;1026;731;1132;1707;888;
Municipios;0604;Fuentidueña de Tajo;176;315;268;268;313;381;427;384;331;481;268;259;245;540;342;386;456;291;190;
Municipios;0611;Galapagar;2804;3609;3044;2385;2192;1846;1927;2601;2070;2388;2906;3028;2739;3085;3382;2605;3018;2952;3988;
Municipios;0626;Garganta de los Montes;37;68;61;38;78;54;41;16;54;89;60;66;53;45;43;28;46;36;41;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12;35;24;25;41;46;40;27;48;48;63;49;61;99;71;35;73;111;66;
Municipios;0647;Gascones;50;54;43;43;31;25;36;14;20;36;29;58;53;45;44;38;67;50;48;
