Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1309;1289;1299;1337;1387;1416;1478;1573;1678;
Zonas Estadísticas;01;Municipio de Madrid ;493;486;495;494;522;536;584;658;738;
Zonas Estadísticas;02;Norte Metropolitano ;97;101;97;95;100;103;106;118;118;
Zonas Estadísticas;03;Este Metropolitano  ;161;152;155;163;173;165;170;167;170;
Zonas Estadísticas;04;Sur Metropolitano   ;186;188;198;213;208;218;209;215;219;
Zonas Estadísticas;05;Oeste Metropolitano ;101;101;96;102;107;113;123;129;136;
Zonas Estadísticas;06;Sierra Norte        ;55;52;52;52;55;56;57;59;58;
Zonas Estadísticas;07;Nordeste Comunidad  ;26;26;28;27;26;31;26;26;24;
Zonas Estadísticas;08;Sudeste Comunidad   ;84;83;75;89;89;85;89;83;81;
Zonas Estadísticas;09;Sudoeste Comunidad  ;43;40;40;36;38;38;41;45;50;
Zonas Estadísticas;10;Sierra Sur          ;38;35;34;35;37;38;35;35;34;
Zonas Estadísticas;11;Sierra Central      ;25;25;29;31;32;33;38;38;50;
Municipios;0014;Acebeda (La);0;0;0;0;0;0;0;0;0;
Municipios;0029;Ajalvir;7;6;4;4;3;2;4;4;3;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);0;0;0;0;0;1;1;1;2;
Municipios;0053;Alcalá de Henares;42;38;42;38;41;35;40;35;38;
Municipios;0066;Alcobendas;28;32;28;31;30;40;44;47;46;
Municipios;0072;Alcorcón;13;13;13;20;16;21;18;23;21;
Municipios;0088;Aldea del Fresno;3;2;2;1;1;1;1;1;1;
Municipios;0091;Algete;6;7;8;9;10;12;11;11;11;
Municipios;0105;Alpedrete;1;1;2;2;0;1;1;1;3;
Municipios;0112;Ambite;1;1;1;1;1;1;1;1;1;
Municipios;0127;Anchuelo;0;0;0;0;0;0;0;0;0;
Municipios;0133;Aranjuez;11;11;12;13;12;17;15;15;15;
Municipios;0148;Arganda del Rey;33;30;29;31;36;32;38;35;33;
Municipios;0151;Arroyomolinos;3;3;4;3;2;3;6;7;10;
Municipios;0164;Atazar (El);1;1;1;1;1;1;1;1;1;
Municipios;0170;Batres;2;2;2;1;1;1;1;1;1;
Municipios;0186;Becerril de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0199;Belmonte de Tajo;1;1;1;2;2;2;2;2;2;
Municipios;0210;Berrueco (El);3;3;3;3;3;3;3;3;3;
Municipios;0203;Berzosa del Lozoya;1;1;1;1;1;1;1;1;1;
Municipios;0225;Boadilla del Monte;13;14;14;15;15;17;17;25;27;
Municipios;0231;Boalo (El);1;1;1;1;1;1;2;2;2;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;1;1;1;1;1;1;1;1;
Municipios;0262;Brunete;2;2;1;2;2;3;4;3;3;
Municipios;0278;Buitrago del Lozoya;2;2;2;2;2;1;1;1;1;
Municipios;0284;Bustarviejo;1;1;1;1;1;1;1;1;1;
Municipios;0297;Cabanillas de la Sierra;1;1;1;1;1;1;1;1;1;
Municipios;0301;Cabrera (La);2;1;1;1;1;1;2;3;3;
Municipios;0318;Cadalso de los Vidrios;5;3;3;3;4;4;4;3;3;
Municipios;0323;Camarma de Esteruelas;5;6;4;5;5;6;4;5;3;
Municipios;0339;Campo Real;7;7;7;7;6;6;7;6;6;
Municipios;0344;Canencia;0;0;0;0;0;0;0;0;0;
Municipios;0357;Carabaña;1;1;1;1;1;1;1;1;1;
Municipios;0360;Casarrubuelos;0;0;0;1;2;2;2;3;4;
Municipios;0376;Cenicientos;2;2;2;2;2;2;2;1;1;
Municipios;0382;Cercedilla;0;0;0;0;0;0;0;0;0;
Municipios;0395;Cervera de Buitrago;1;1;1;1;1;1;1;1;1;
Municipios;0513;Chapinería;1;1;1;1;1;1;1;1;2;
Municipios;0528;Chinchón;5;3;3;4;4;3;3;4;4;
Municipios;0409;Ciempozuelos;11;13;15;18;16;14;14;14;15;
Municipios;0416;Cobeña;4;4;2;2;3;3;4;3;3;
Municipios;0468;Collado Mediano;0;0;1;1;0;0;0;0;0;
Municipios;0474;Collado Villalba;11;11;13;13;10;13;12;11;12;
Municipios;0455;Colmenar Viejo;17;15;16;13;12;10;12;13;12;
Municipios;0437;Colmenar de Oreja;11;11;12;11;10;7;11;8;9;
Municipios;0421;Colmenar del Arroyo;2;2;1;2;2;2;2;2;2;
Municipios;0442;Colmenarejo;3;3;3;3;3;3;3;3;4;
Municipios;0480;Corpa;0;0;0;0;0;0;0;0;0;
Municipios;0493;Coslada;8;8;9;11;12;12;11;13;13;
Municipios;0506;Cubas de la Sagra;2;2;1;1;2;2;2;2;2;
Municipios;0534;Daganzo de Arriba;3;3;3;4;4;4;3;2;2;
Municipios;0549;Escorial (El);5;5;5;6;6;6;7;7;8;
Municipios;0552;Estremera;2;1;1;4;4;4;4;3;3;
Municipios;0565;Fresnedillas de la Oliva;2;2;2;2;2;2;2;2;1;
Municipios;0571;Fresno de Torote;1;1;1;1;1;1;1;1;1;
Municipios;0587;Fuenlabrada;27;29;30;31;32;33;32;32;33;
Municipios;0590;Fuente el Saz de Jarama;3;3;5;4;3;2;2;4;4;
Municipios;0604;Fuentidueña de Tajo;3;3;3;3;4;4;3;3;3;
Municipios;0611;Galapagar;8;7;4;6;6;6;8;8;7;
Municipios;0626;Garganta de los Montes;1;1;1;1;1;1;1;1;1;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1;1;1;1;1;1;1;1;1;
Municipios;0647;Gascones;1;1;1;1;1;1;1;1;1;
Municipios;0650;Getafe;18;21;22;23;21;23;28;28;28;
Municipios;0663;Griñón;3;2;2;2;2;2;2;3;4;
Municipios;0679;Guadalix de la Sierra;2;1;1;1;1;1;1;1;1;
Municipios;0685;Guadarrama;2;2;2;3;3;2;3;5;4;
Municipios;0698;Hiruela (La);1;1;1;1;1;1;1;1;1;
Municipios;0702;Horcajo de la Sierra-Aoslos;2;2;2;2;2;2;2;2;2;
Municipios;0719;Horcajuelo de la Sierra;1;1;1;1;1;1;1;1;1;
Municipios;0724;Hoyo de Manzanares;2;2;2;2;2;2;2;2;2;
Municipios;0730;Humanes de Madrid;10;9;8;8;12;9;9;10;10;
