Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1049;Paracuellos de Jarama;1713;1956;2166;2369;
Municipios;1065;Parla;7983;8565;8871;9209;
Municipios;1071;Patones;29;32;34;35;
Municipios;1087;Pedrezuela;452;457;492;530;
Municipios;1090;Pelayos de la Presa;218;212;223;238;
Municipios;1104;Perales de Tajuña;232;246;251;264;
Municipios;1111;Pezuela de las Torres;56;63;68;75;
Municipios;1126;Pinilla del Valle;15;19;14;17;
Municipios;1132;Pinto;3872;4072;4254;4359;
Municipios;1147;Piñuécar-Gandullas;25;19;21;19;
Municipios;1150;Pozuelo de Alarcón;7169;7042;7077;7145;
Municipios;1163;Pozuelo del Rey;71;70;81;81;
Municipios;1179;Prádena del Rincón;7;6;10;12;
Municipios;1185;Puebla de la Sierra;7;7;4;6;
Municipios;9020;Puentes Viejas;62;60;60;54;
Municipios;1198;Quijorna;274;298;308;349;
Municipios;1202;Rascafría;175;171;156;143;
Municipios;1219;Redueña;16;20;29;36;
Municipios;1224;Ribatejada;80;80;92;109;
Municipios;1230;Rivas-Vaciamadrid;7294;7391;7379;7571;
Municipios;1245;Robledillo de la Jara;8;7;8;6;
Municipios;1258;Robledo de Chavela;372;397;418;420;
Municipios;1261;Robregordo;2;2;2;3;
Municipios;1277;Rozas de Madrid (Las);7807;7999;8209;8513;
Municipios;1283;Rozas de Puerto Real;43;40;42;49;
Municipios;1296;San Agustín del Guadalix;1193;1236;1281;1315;
Municipios;1300;San Fernando de Henares;3527;3530;3497;3403;
Municipios;1317;San Lorenzo de El Escorial;1634;1670;1585;1581;
Municipios;1338;San Martín de Valdeiglesias;657;689;696;700;
Municipios;1322;San Martín de la Vega;1590;1666;1670;1682;
Municipios;1343;San Sebastián de los Reyes;6518;6758;6994;7210;
Municipios;1356;Santa María de la Alameda;129;124;127;132;
Municipios;1369;Santorcaz;81;82;89;90;
Municipios;1375;Santos de la Humosa (Los);158;178;189;204;
Municipios;1381;Serna del Monte (La);9;7;6;7;
Municipios;1408;Serranillos del Valle;384;401;414;414;
Municipios;1415;Sevilla la Nueva;763;820;836;863;
Municipios;1436;Somosierra;9;7;5;11;
Municipios;1441;Soto del Real;841;841;817;840;
Municipios;1454;Talamanca de Jarama;288;298;302;319;
Municipios;1467;Tielmes;195;191;181;205;
Municipios;1473;Titulcia;112;109;116;126;
Municipios;1489;Torrejón de Ardoz;9327;9656;9844;10256;
Municipios;1505;Torrejón de Velasco;366;371;394;440;
Municipios;1492;Torrejón de la Calzada;655;672;704;759;
Municipios;1512;Torrelaguna;357;386;418;427;
Municipios;1527;Torrelodones;2138;2222;2180;2275;
Municipios;1533;Torremocha de Jarama;80;84;94;98;
Municipios;1548;Torres de la Alameda;622;616;621;657;
Municipios;9036;Tres Cantos;3979;3855;3816;3842;
Municipios;1551;Valdaracete;53;44;45;43;
Municipios;1564;Valdeavero;112;117;119;131;
Municipios;1570;Valdelaguna;72;81;88;80;
Municipios;1586;Valdemanco;67;76;79;92;
Municipios;1599;Valdemaqueda;61;65;66;69;
Municipios;1603;Valdemorillo;1156;1231;1306;1386;
Municipios;1610;Valdemoro;6078;6531;6825;7280;
Municipios;1625;Valdeolmos-Alalpardo;289;315;340;359;
Municipios;1631;Valdepiélagos;47;52;46;43;
Municipios;1646;Valdetorres de Jarama;347;387;400;423;
Municipios;1659;Valdilecha;230;232;235;237;
Municipios;1662;Valverde de Alcalá;41;42;44;48;
Municipios;1678;Velilla de San Antonio;1063;1142;1157;1196;
Municipios;1684;Vellón (El);159;158;177;176;
Municipios;1697;Venturada;224;226;254;264;
Municipios;1718;Villa del Prado;484;518;527;590;
Municipios;1701;Villaconejos;254;264;259;269;
Municipios;1723;Villalbilla;1006;1092;1134;1200;
Municipios;1739;Villamanrique de Tajo;45;46;53;63;
Municipios;1744;Villamanta;184;179;198;217;
Municipios;1757;Villamantilla;102;118;120;140;
Municipios;1782;Villanueva de Perales;150;152;167;170;
Municipios;1760;Villanueva de la Cañada;1815;1892;1864;1938;
Municipios;1776;Villanueva del Pardillo;1461;1582;1688;1773;
Municipios;1795;Villar del Olmo;213;204;207;201;
Municipios;1809;Villarejo de Salvanés;544;538;523;536;
Municipios;1816;Villaviciosa de Odón;2061;2096;2120;2187;
Municipios;1821;Villavieja del Lozoya;35;36;40;38;
Municipios;1837;Zarzalejo;139;147;145;142;
