Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Porcentaje de contratos temporales registrados en las oficinas de empleo. Unidad: Porcentaje. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0210;Berrueco (El);92.11;88.14;72.29;93.65;95.36;90.80;90.34;79.29;75.00;88.06;86.61;84.82;85.82;81.72;88.53;86.73;76.92;54.05;60.43;
Municipios;0203;Berzosa del Lozoya;92.87;85.15;91.72;80.56;77.14;91.31;90.20;92.95;80.65;55.52;79.78;92.20;92.44;74.06;61.08;69.44;50.00;67.60;70.38;
Municipios;0225;Boadilla del Monte;81.85;75.36;71.82;71.92;73.89;82.32;86.16;72.39;85.49;86.92;84.91;83.12;84.65;78.52;83.50;73.46;72.57;45.86;49.56;
Municipios;0231;Boalo (El);79.95;78.90;65.80;84.44;84.20;74.58;84.99;71.04;85.28;76.90;77.75;80.16;83.64;76.68;84.83;77.34;76.12;39.81;51.01;
Municipios;0246;Braojos;82.22;88.37;83.02;87.50;94.87;85.29;87.50;90.74;96.05;82.69;58.64;49.17;72.03;52.48;57.69;61.99;78.26;43.56;32.08;
Municipios;0259;Brea de Tajo;82.64;87.10;94.67;55.29;80.62;91.89;87.90;89.01;85.95;45.29;85.71;93.80;89.35;74.69;90.17;90.61;77.84;49.67;69.34;
Municipios;0262;Brunete;86.77;82.51;86.36;89.79;90.76;92.75;90.17;79.55;88.54;88.24;86.57;81.92;85.41;79.59;80.33;80.87;84.86;45.40;45.61;
Municipios;0278;Buitrago del Lozoya;88.72;82.93;83.83;85.05;89.58;86.73;91.19;89.11;83.60;89.61;95.14;93.73;92.67;93.81;94.69;92.73;90.82;73.21;73.72;
Municipios;0284;Bustarviejo;98.17;93.99;98.38;97.92;92.66;83.46;92.24;90.51;92.91;93.32;92.67;90.71;93.60;85.06;83.09;60.74;75.97;36.25;30.57;
Municipios;0297;Cabanillas de la Sierra;92.61;91.02;84.97;75.99;80.87;87.75;83.04;73.03;83.77;85.99;80.90;82.79;84.91;78.75;73.08;89.66;69.86;43.27;37.97;
Municipios;0301;Cabrera (La);83.06;87.95;84.50;83.56;87.17;87.21;85.00;86.62;82.66;81.01;83.19;81.38;82.54;82.28;83.64;77.01;79.67;56.14;50.65;
Municipios;0318;Cadalso de los Vidrios;90.59;85.62;91.60;92.08;92.09;95.56;89.35;82.63;87.13;86.70;84.89;88.14;90.70;86.87;87.26;84.25;84.43;53.82;50.59;
Municipios;0323;Camarma de Esteruelas;90.83;82.63;84.97;92.31;93.63;91.41;92.39;91.26;87.37;86.53;86.07;85.63;89.54;90.49;89.98;91.30;91.51;59.11;57.07;
Municipios;0339;Campo Real;86.36;89.81;89.36;89.64;85.23;84.56;84.84;84.90;87.03;83.57;84.38;89.90;84.80;82.62;85.34;83.99;76.87;53.14;28.29;
Municipios;0344;Canencia;83.24;78.22;77.71;84.39;72.04;85.92;90.27;75.73;90.00;85.87;88.34;86.02;84.19;83.67;30.92;91.99;83.24;34.74;30.69;
Municipios;0357;Carabaña;86.21;86.36;84.10;80.54;84.47;89.38;92.81;83.02;78.91;78.03;87.77;89.16;78.60;69.91;78.13;80.00;91.70;70.06;67.64;
Municipios;0360;Casarrubuelos;86.65;77.72;82.34;86.32;74.93;90.86;93.90;89.03;89.51;87.44;95.92;97.53;97.49;95.21;93.44;94.24;90.60;55.93;59.53;
Municipios;0376;Cenicientos;86.39;79.24;85.17;86.76;87.10;90.15;83.95;93.79;96.76;96.64;93.95;95.15;93.89;87.31;94.82;92.53;76.77;38.08;61.07;
Municipios;0382;Cercedilla;92.93;87.52;86.76;89.97;93.18;93.24;93.33;90.82;94.01;89.72;90.12;90.87;87.09;86.98;90.05;88.43;86.00;62.61;48.73;
Municipios;0395;Cervera de Buitrago;87.08;82.17;90.43;79.82;87.79;92.68;89.29;80.49;83.33;95.45;81.36;78.26;92.49;86.41;73.45;88.10;75.00;69.17;53.42;
Municipios;0513;Chapinería;79.87;74.23;83.76;91.83;85.00;94.54;93.93;90.72;91.94;94.25;94.24;95.31;95.31;87.31;92.24;83.28;87.03;44.05;37.60;
Municipios;0528;Chinchón;92.70;89.96;92.45;89.25;93.08;92.30;94.06;92.35;92.00;92.28;93.74;92.94;93.55;93.15;92.03;92.59;92.82;65.86;56.18;
Municipios;0409;Ciempozuelos;90.24;85.54;82.31;86.04;91.41;90.57;91.12;91.01;93.37;91.09;87.29;85.00;89.79;89.12;89.36;89.90;88.61;73.01;68.16;
Municipios;0416;Cobeña;87.32;80.91;81.46;84.14;85.99;89.95;93.80;84.24;78.12;80.41;75.78;85.21;89.47;85.35;81.21;78.76;81.88;51.79;43.46;
Municipios;0468;Collado Mediano;91.25;87.12;84.44;74.41;82.27;80.71;95.65;85.24;81.00;82.49;83.04;86.10;83.19;76.48;77.08;72.55;69.53;40.27;39.51;
Municipios;0474;Collado Villalba;83.92;80.40;78.31;76.80;78.84;81.73;85.67;78.79;80.58;75.19;79.20;79.40;77.99;78.06;81.64;80.74;81.66;48.69;45.71;
Municipios;0455;Colmenar Viejo;81.20;75.92;76.62;76.97;82.94;86.26;86.26;80.00;84.64;78.11;79.54;77.57;78.98;79.19;84.94;85.47;80.68;52.49;48.45;
Municipios;0437;Colmenar de Oreja;92.60;80.15;80.12;81.11;89.24;90.27;93.27;90.68;94.18;88.93;90.97;87.30;88.33;82.20;86.39;88.28;83.77;54.06;54.55;
Municipios;0421;Colmenar del Arroyo;87.96;82.36;89.71;85.71;85.59;89.25;93.75;89.66;90.40;86.53;90.41;85.58;79.87;69.05;84.75;84.31;81.78;66.81;45.67;
Municipios;0442;Colmenarejo;87.47;83.25;83.78;83.03;83.88;85.78;85.92;72.65;87.12;82.50;80.10;80.03;81.18;82.48;79.90;87.94;84.00;49.45;48.65;
Municipios;0480;Corpa;88.00;87.88;86.11;87.93;85.19;93.33;91.30;81.69;88.14;97.56;93.02;75.76;84.13;86.36;80.00;83.33;93.64;47.47;47.57;
Municipios;0493;Coslada;90.02;87.45;84.72;83.65;86.60;88.73;88.18;85.16;85.96;84.71;84.13;84.66;83.16;84.71;84.93;88.92;88.04;68.19;47.93;
Municipios;0506;Cubas de la Sagra;85.67;74.63;78.16;73.84;83.96;56.92;79.75;79.22;86.46;87.99;79.34;78.20;70.66;71.39;60.67;57.73;34.88;42.84;60.70;
Municipios;0534;Daganzo de Arriba;90.73;90.89;87.15;85.77;88.75;89.77;91.56;88.61;92.34;90.89;90.86;90.16;87.44;86.74;88.54;88.85;92.51;70.99;72.89;
Municipios;0549;Escorial (El);88.08;81.60;80.91;79.69;84.70;87.96;88.44;79.55;84.13;84.72;85.71;87.35;90.67;90.22;83.89;81.68;81.84;53.97;47.30;
Municipios;0552;Estremera;83.64;88.38;94.67;88.02;82.50;83.59;95.58;84.92;73.02;91.19;92.36;88.84;85.91;88.25;89.84;94.75;90.97;23.03;29.17;
Municipios;0565;Fresnedillas de la Oliva;88.17;87.60;92.52;97.31;93.99;98.19;92.74;85.59;92.98;85.83;93.79;81.90;78.05;90.11;87.71;91.15;90.83;57.25;52.34;
Municipios;0571;Fresno de Torote;94.04;74.07;85.88;81.14;90.21;94.78;96.67;82.40;88.11;91.59;81.65;92.04;83.13;82.66;85.60;86.87;80.30;62.90;50.00;
Municipios;0587;Fuenlabrada;89.00;85.89;83.77;82.56;83.01;84.43;84.69;81.42;82.19;81.30;83.59;82.40;82.39;82.01;83.35;85.36;87.53;59.02;47.10;
Municipios;0590;Fuente el Saz de Jarama;86.62;81.98;78.60;80.03;76.54;85.06;85.47;85.08;88.81;78.49;80.98;80.90;79.01;73.60;73.98;72.78;81.54;63.39;35.14;
Municipios;0604;Fuentidueña de Tajo;85.80;88.89;81.72;86.19;93.93;93.96;95.08;93.75;96.68;95.22;92.91;91.89;88.57;94.26;76.32;90.41;88.60;47.77;38.42;
Municipios;0611;Galapagar;81.35;77.42;75.07;75.43;81.84;79.09;86.04;66.24;75.27;79.86;84.55;80.45;76.78;75.11;75.69;79.42;75.61;46.88;63.62;
Municipios;0626;Garganta de los Montes;86.49;86.76;67.21;68.42;89.74;77.78;100.00;75.00;74.07;79.78;91.67;84.85;71.70;64.44;79.07;85.71;76.09;63.89;58.54;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;100.00;77.14;87.50;88.00;87.80;89.13;87.50;88.89;83.33;77.08;76.19;75.51;88.52;78.79;83.10;80.00;94.52;53.15;63.64;
Municipios;0647;Gascones;94.00;81.48;79.07;81.40;90.32;88.00;83.33;92.86;90.00;77.78;79.31;87.93;77.36;73.33;61.36;68.42;65.67;28.00;56.25;
Municipios;0650;Getafe;90.46;87.04;86.97;85.79;87.49;89.03;89.39;86.71;87.61;87.15;87.41;87.44;87.57;85.68;87.90;89.74;89.40;67.25;59.47;
Municipios;0663;Griñón;88.22;79.34;81.52;79.76;82.28;83.99;79.67;77.50;76.71;79.02;83.23;81.27;79.28;78.47;77.75;76.06;75.93;39.09;37.65;
Municipios;0679;Guadalix de la Sierra;82.84;83.98;81.98;82.99;94.18;93.91;87.84;83.96;89.94;89.77;93.86;91.25;81.28;85.57;76.03;61.96;86.42;68.22;50.26;
Municipios;0685;Guadarrama;85.48;83.34;81.71;83.23;86.09;89.41;89.14;82.89;87.67;89.86;85.87;81.91;82.19;87.13;83.92;82.71;83.42;58.90;65.28;
Municipios;0698;Hiruela (La);86.32;87.01;65.12;85.19;75.56;87.80;92.50;78.79;87.50;82.93;73.53;84.38;78.85;73.33;76.36;96.30;80.43;54.90;42.86;
Municipios;0702;Horcajo de la Sierra-Aoslos;72.00;86.98;82.86;81.01;89.05;77.27;85.07;81.13;85.71;88.14;81.97;90.44;84.62;88.73;81.03;94.55;68.00;50.67;47.22;
Municipios;0719;Horcajuelo de la Sierra;94.06;85.34;77.88;86.02;74.65;94.35;92.55;87.50;84.38;75.61;91.67;74.47;81.48;73.47;85.19;91.13;82.19;63.60;50.00;
Municipios;0724;Hoyo de Manzanares;84.44;83.20;78.76;73.25;81.20;77.45;87.02;52.87;78.21;76.46;82.02;72.85;73.67;72.02;75.58;80.39;79.79;64.98;45.24;
Municipios;0730;Humanes de Madrid;86.65;81.78;81.99;78.31;81.66;83.41;83.37;79.58;77.19;80.08;79.01;75.12;72.65;73.29;80.12;76.93;76.59;46.50;35.27;
Municipios;0745;Leganés;86.96;83.47;83.49;81.33;84.92;85.83;85.77;83.82;84.51;85.63;85.34;85.67;83.91;81.89;83.94;83.71;82.22;51.50;51.69;
Municipios;0758;Loeches;89.02;78.95;84.91;86.09;90.40;93.41;93.42;92.62;91.15;90.69;88.55;86.61;86.16;81.88;84.77;86.20;86.26;54.55;47.09;
Municipios;0761;Lozoya;97.34;96.39;88.86;93.80;96.65;98.02;99.30;99.27;99.25;97.26;98.95;98.95;97.03;96.58;96.13;97.37;96.34;79.70;84.28;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;89.11;81.40;88.05;86.05;86.59;84.14;91.71;77.68;89.26;83.90;86.39;78.84;75.28;70.24;86.83;82.14;83.77;63.21;56.38;
Municipios;0783;Madarcos;84.31;81.46;79.22;76.49;80.45;84.10;82.35;82.30;83.82;84.39;80.15;79.09;82.20;77.21;75.69;82.22;74.46;43.43;48.83;
Municipios;0796;Madrid;85.93;81.97;80.19;80.71;84.04;84.89;86.04;79.90;84.08;83.89;83.54;83.17;82.85;81.76;82.82;80.70;79.40;54.76;50.93;
Municipios;0800;Majadahonda;85.51;79.33;77.51;76.04;80.28;81.87;84.40;67.02;79.61;80.21;79.08;78.24;76.24;76.15;75.69;76.07;77.54;46.85;47.33;
Municipios;0822;Manzanares el Real;89.47;83.73;82.19;83.77;86.97;88.47;91.63;74.11;84.06;84.39;81.63;85.78;85.81;86.16;85.14;84.34;81.30;61.92;55.86;
Municipios;0838;Meco;91.26;85.62;76.56;80.72;90.54;90.41;92.81;94.44;94.35;92.52;90.32;89.96;89.31;87.97;88.26;91.68;91.83;78.39;77.17;
Municipios;0843;Mejorada del Campo;88.27;85.23;85.94;85.81;88.13;86.82;87.26;84.88;86.28;85.90;83.20;81.63;78.17;77.34;77.91;80.04;80.69;52.17;40.02;
Municipios;0856;Miraflores de la Sierra;88.02;86.19;83.31;82.24;85.44;92.71;90.84;87.62;88.56;89.52;90.15;91.07;89.47;87.35;90.97;87.16;85.50;63.46;66.15;
Municipios;0869;Molar (El);87.22;82.48;83.31;77.58;83.04;86.11;86.56;81.18;82.38;81.19;79.22;80.77;82.75;77.57;80.15;82.55;79.40;39.87;56.36;
Municipios;0875;Molinos (Los);83.74;74.39;75.93;73.30;84.98;86.77;87.98;84.14;84.66;82.09;90.08;83.14;83.02;81.79;77.41;71.99;81.34;44.35;34.60;
Municipios;0881;Montejo de la Sierra;90.24;83.16;82.08;77.97;77.71;69.72;77.78;91.57;89.77;90.91;85.71;87.60;79.10;86.62;85.71;83.17;83.20;78.10;57.26;
Municipios;0894;Moraleja de Enmedio;81.62;78.53;79.61;83.94;89.58;93.32;94.57;94.84;91.97;89.80;90.48;92.71;89.38;90.75;91.13;94.98;75.69;43.77;32.64;
Municipios;0908;Moralzarzal;81.02;73.44;68.31;73.01;80.64;84.89;86.07;77.03;87.22;88.59;88.93;87.43;87.70;85.96;82.21;79.43;76.23;33.05;28.52;
Municipios;0915;Morata de Tajuña;83.60;85.76;80.07;82.96;90.96;88.94;89.64;86.21;84.87;83.40;84.72;87.06;84.27;82.16;84.60;87.11;83.85;51.44;59.01;
Municipios;0920;Móstoles;86.65;82.39;81.05;80.56;82.43;84.31;85.44;79.75;84.03;83.77;83.17;82.69;79.42;79.50;79.96;80.68;81.99;51.13;46.56;
Municipios;0936;Navacerrada;91.77;87.44;86.13;87.39;84.33;88.89;88.15;75.68;74.55;81.27;80.42;84.35;77.80;77.48;80.00;80.56;81.71;56.35;35.55;
Municipios;0941;Navalafuente;93.02;92.98;85.71;87.18;86.84;89.00;88.51;83.72;80.77;92.31;85.48;87.97;91.57;78.24;72.73;78.95;90.74;55.73;42.62;
Municipios;0954;Navalagamella;87.50;88.31;94.88;91.35;89.68;94.17;95.18;88.48;90.23;94.37;86.82;85.83;90.04;91.75;93.82;86.23;81.70;59.20;58.87;
Municipios;0967;Navalcarnero;86.01;83.31;83.44;82.54;86.18;84.52;88.48;85.35;90.58;87.01;85.47;84.02;82.82;83.53;86.70;85.10;83.01;43.42;47.24;
Municipios;0973;Navarredonda y San Mamés;89.23;77.02;62.20;70.92;89.86;94.64;95.24;90.00;90.71;79.63;82.89;90.29;84.93;90.74;90.78;81.67;83.87;69.05;70.11;
Municipios;0992;Navas del Rey;85.87;82.63;88.94;83.08;87.11;90.48;87.43;81.95;85.82;74.52;81.33;83.21;77.66;80.35;78.99;80.76;84.42;38.83;54.46;
Municipios;1006;Nuevo Baztán;79.96;83.70;76.23;74.94;81.30;79.72;74.97;63.04;82.20;92.04;79.48;81.20;79.17;70.30;70.09;72.43;60.96;33.23;36.29;
Municipios;1013;Olmeda de las Fuentes;88.37;76.60;93.48;78.57;82.86;82.93;89.47;62.07;83.33;69.57;84.62;80.00;61.54;66.67;76.67;71.15;59.09;59.09;55.26;
Municipios;1028;Orusco de Tajuña;85.22;79.88;85.48;73.00;89.13;91.92;94.87;80.52;97.18;84.91;76.85;84.55;81.75;77.89;76.62;80.00;77.63;72.16;67.78;
Municipios;1049;Paracuellos de Jarama;90.88;85.39;84.54;85.72;85.24;87.77;86.16;76.51;85.18;86.23;87.10;89.41;88.22;85.23;86.25;83.51;80.90;54.27;39.88;
Municipios;1065;Parla;88.25;83.61;82.82;81.49;83.07;84.55;85.56;82.29;82.59;80.74;81.03;81.99;80.73;78.16;80.48;80.62;82.98;62.23;48.17;
