Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado total. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0382;Cercedilla;201;184;249;376;441;480;545;575;537;502;444;402;368;338;362;425;375;355;
Municipios;0395;Cervera de Buitrago;6;2;2;2;13;11;16;22;27;15;12;8;14;7;9;12;11;13;
Municipios;0513;Chapinería;96;81;131;162;227;231;238;307;246;235;221;167;178;157;195;200;145;147;
Municipios;0528;Chinchón;187;200;237;434;497;506;590;630;556;523;482;434;401;386;368;408;352;341;
Municipios;0409;Ciempozuelos;714;697;928;1802;2117;2134;2449;2557;2425;2176;1997;1803;1646;1599;1702;2068;1613;1482;
Municipios;0416;Cobeña;97;118;124;227;281;321;407;441;474;358;325;298;266;257;238;313;247;246;
Municipios;0468;Collado Mediano;235;215;250;374;483;472;611;602;557;536;482;428;426;419;437;523;421;380;
Municipios;0474;Collado Villalba;2194;2134;2612;4219;5102;5197;6002;6219;5922;5368;4998;4582;4221;3982;4199;4835;3814;3570;
Municipios;0455;Colmenar Viejo;1192;1303;1526;2766;3362;3345;3793;4125;3956;3579;3286;2918;2711;2547;2572;3010;2354;2182;
Municipios;0437;Colmenar de Oreja;254;292;351;756;939;905;1014;1076;1048;965;867;684;650;585;643;692;577;537;
Municipios;0421;Colmenar del Arroyo;34;39;49;83;111;128;161;179;152;130;115;110;118;118;114;110;116;107;
Municipios;0442;Colmenarejo;239;228;276;479;546;571;620;651;669;609;576;548;501;453;497;600;481;444;
Municipios;0480;Corpa;23;20;23;41;61;64;93;75;72;65;63;59;52;45;45;62;55;42;
Municipios;0493;Coslada;3194;3730;3796;6343;7276;7295;7540;8184;7842;7021;6132;5434;4955;4449;4560;5562;4323;3934;
Municipios;0506;Cubas de la Sagra;105;109;154;252;328;364;434;522;455;418;412;327;286;283;307;346;264;274;
Municipios;0534;Daganzo de Arriba;267;268;297;459;586;579;672;794;744;678;607;545;503;449;509;588;487;456;
Municipios;0549;Escorial (El);418;427;482;765;918;924;1077;1126;1036;989;890;816;811;775;841;923;747;760;
Municipios;0552;Estremera;40;29;28;93;109;109;108;134;122;117;107;91;85;89;94;110;90;94;
Municipios;0565;Fresnedillas de la Oliva;58;62;92;105;149;160;201;204;190;177;172;137;139;122;115;145;129;121;
Municipios;0571;Fresno de Torote;65;62;90;152;176;159;198;199;200;204;180;149;150;119;130;162;155;125;
Municipios;0587;Fuenlabrada;8985;8883;10684;18222;20649;20183;21715;24328;23230;20788;18427;16079;14417;13316;13229;15749;12138;11191;
Municipios;0590;Fuente el Saz de Jarama;159;160;201;412;496;513;603;601;571;513;449;410;397;392;417;473;387;352;
Municipios;0604;Fuentidueña de Tajo;102;111;130;226;246;275;316;314;296;259;255;215;189;172;163;205;192;156;
