Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0203;Berzosa del Lozoya;93.33;100.00;100.00;77.78;90.00;80.00;85.71;84.21;76.92;82.61;95.00;100.00;86.67;100.00;85.71;92.86;100.00;100.00;
Municipios;0225;Boadilla del Monte;95.85;94.66;94.76;93.15;94.14;92.85;93.10;94.15;94.47;94.29;95.05;95.05;95.14;94.41;95.01;93.28;95.86;96.01;
Municipios;0231;Boalo (El);93.75;92.22;94.23;90.00;89.93;89.70;91.60;91.88;92.38;94.16;95.13;94.46;93.89;94.30;94.50;93.54;96.97;95.47;
Municipios;0246;Braojos;75.00;100.00;100.00;75.00;92.86;93.75;88.24;80.00;100.00;83.33;100.00;81.82;78.57;88.89;60.00;55.56;75.00;83.33;
Municipios;0259;Brea de Tajo;86.36;100.00;88.89;87.50;80.39;79.07;80.30;86.79;84.62;89.13;80.77;76.56;77.97;73.47;76.60;68.97;86.00;85.71;
Municipios;0262;Brunete;89.21;87.30;91.46;89.70;88.89;88.65;91.87;93.23;91.99;92.97;93.50;93.22;93.92;91.28;91.88;93.85;93.86;94.82;
Municipios;0278;Buitrago del Lozoya;81.08;87.84;82.61;82.86;84.62;87.21;88.48;90.80;87.27;84.03;90.70;92.59;92.71;86.81;88.04;90.08;90.48;94.57;
Municipios;0284;Bustarviejo;90.79;93.33;91.58;93.57;82.67;89.53;89.40;89.80;92.99;94.24;96.39;95.06;95.63;95.60;95.54;95.60;93.67;95.45;
Municipios;0297;Cabanillas de la Sierra;88.89;90.91;92.59;90.63;87.50;94.44;86.79;97.14;95.16;96.15;96.30;97.06;88.24;94.29;100.00;91.84;100.00;97.22;
Municipios;0301;Cabrera (La);86.49;85.14;91.46;86.46;87.07;87.64;91.97;92.80;90.27;93.07;93.81;90.37;92.26;90.97;89.90;89.20;93.98;97.02;
Municipios;0318;Cadalso de los Vidrios;88.07;84.08;90.50;83.33;84.15;86.45;85.80;86.88;86.23;86.35;90.29;89.01;84.89;89.23;88.37;86.90;89.30;90.20;
Municipios;0323;Camarma de Esteruelas;89.69;89.09;85.00;85.56;87.04;84.87;86.09;88.70;89.09;91.98;91.06;92.15;90.59;90.19;91.63;90.59;91.72;92.29;
Municipios;0339;Campo Real;86.13;88.43;88.21;84.81;86.80;88.57;91.05;91.45;90.21;92.07;92.57;92.44;92.65;92.41;92.43;91.70;92.19;94.81;
Municipios;0344;Canencia;100.00;95.65;90.91;100.00;89.29;85.71;92.86;88.89;93.94;96.15;100.00;100.00;97.14;88.89;96.43;81.82;95.83;91.30;
