Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de agricultura y ganadería. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0421;Colmenar del Arroyo;12;14;13;13;20;26;32;35;18;17;16;15;15;15;15;
Municipios;0442;Colmenarejo;-;9;10;6;6;5;6;5;5;5;8;9;10;10;10;
Municipios;0480;Corpa;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0493;Coslada;71;64;37;22;11;12;16;12;10;13;14;11;15;10;10;
Municipios;0506;Cubas de la Sagra;11;9;7;7;-;5;-;-;7;7;10;8;5;10;10;
Municipios;0534;Daganzo de Arriba;20;22;21;19;17;18;15;13;14;15;17;17;20;20;20;
Municipios;0549;Escorial (El);26;30;32;28;23;26;27;35;32;32;30;32;35;30;35;
Municipios;0552;Estremera;28;22;23;16;18;17;20;20;22;30;23;22;20;20;25;
Municipios;0565;Fresnedillas de la Oliva;10;11;14;6;5;7;9;7;10;11;11;9;10;10;10;
Municipios;0571;Fresno de Torote;10;9;9;7;10;10;11;11;10;5;5;-;5;5;5;
Municipios;0587;Fuenlabrada;205;212;183;139;85;91;86;96;101;98;92;101;95;100;90;
Municipios;0590;Fuente el Saz de Jarama;34;37;44;35;37;32;38;38;34;36;33;31;35;25;30;
Municipios;0604;Fuentidueña de Tajo;32;35;36;29;30;30;36;33;31;39;41;44;40;40;40;
Municipios;0611;Galapagar;45;51;58;40;31;30;36;34;38;42;41;37;45;45;45;
Municipios;0626;Garganta de los Montes;8;8;8;10;10;11;11;10;8;8;8;8;10;10;10;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;6;5;-;6;6;6;5;5;5;5;-;5;5;5;
Municipios;0647;Gascones;6;7;6;6;6;7;7;8;8;7;8;7;10;10;10;
Municipios;0650;Getafe;214;185;204;139;93;72;53;62;64;67;62;56;55;55;55;
Municipios;0663;Griñón;22;21;17;16;20;20;20;19;21;20;20;23;25;20;25;
Municipios;0679;Guadalix de la Sierra;56;62;63;62;56;55;54;55;55;63;58;55;55;60;60;
Municipios;0685;Guadarrama;31;34;32;32;30;27;26;27;24;22;19;18;25;20;20;
Municipios;0698;Hiruela (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;-;-;-;-;5;-;5;-;5;5;6;5;5;5;10;
Municipios;0719;Horcajuelo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0724;Hoyo de Manzanares;7;6;5;5;6;7;7;-;6;9;11;10;10;10;10;
Municipios;0730;Humanes de Madrid;47;40;31;28;21;20;22;19;23;22;19;20;25;25;25;
