Nombre;zona_estadistica;zona_estadistica_codigo;densidad_poblacion;Cluster estadistico
Cobeña;Norte Metropolitano;2;370.11;0
Collado Mediano;Sierra Central;11;336.02;1
Collado Villalba;Oeste Metropolitano;5;2627.28;0
Colmenar Viejo;Norte Metropolitano;2;301.13;0
Colmenar de Oreja;Sudeste Comunidad;8;69.21;2
Colmenar del Arroyo;Sierra Sur;10;39.63;1
Colmenarejo;Sierra Central;11;306.51;1
Corpa;Sudeste Comunidad;8;30.66;2
Coslada;Este Metropolitano;3;6662.18;3
Cubas de la Sagra;Sudoeste Comunidad;9;527.67;1
Daganzo de Arriba;Nordeste Comunidad;7;244.04;2
Escorial (El);Sierra Central;11;246.7;1
Estremera;Sudeste Comunidad;8;18.3;2
Fresnedillas de la Oliva;Sierra Sur;10;63.3;1
Fresno de Torote;Nordeste Comunidad;7;78.92;2
Fuenlabrada;Sur Metropolitano;4;4827.52;3
Fuente el Saz de Jarama;Nordeste Comunidad;7;218.87;2
Fuentidueña de Tajo;Sudeste Comunidad;8;37.52;2
Galapagar;Oeste Metropolitano;5;541.05;2
Garganta de los Montes;Sierra Norte;6;10.38;2
Gargantilla del Lozoya y Pinilla de Buitrago;Sierra Norte;6;16.03;2
Gascones;Sierra Norte;6;11.32;2
Getafe;Sur Metropolitano;4;2383.09;0
Griñón;Sudoeste Comunidad;9;619.82;1
Guadalix de la Sierra;Sierra Norte;6;112.97;2
Guadarrama;Sierra Central;11;298.02;1
Hiruela (La);Sierra Norte;6;4.31;2
Horcajo de la Sierra-Aoslos;Sierra Norte;6;11.03;2
Horcajuelo de la Sierra;Sierra Norte;6;4.53;2
Hoyo de Manzanares;Oeste Metropolitano;5;198.3;2
Humanes de Madrid;Sur Metropolitano;4;1007.31;0
Leganés;Sur Metropolitano;4;4415.58;3
Loeches;Sudeste Comunidad;8;206.38;2
Lozoya;Sierra Norte;6;10.73;2
Lozoyuela-Navas-Sieteiglesias;Sierra Norte;6;28.62;2
Madarcos;Sierra Norte;6;8.41;2
Majadahonda;Oeste Metropolitano;5;1892.26;0
Manzanares el Real;Sierra Central;11;73.52;1
Meco;Nordeste Comunidad;7;442.09;2
Mejorada del Campo;Este Metropolitano;3;1344.46;0
Miraflores de la Sierra;Sierra Central;11;123.83;1
Molar (El);Nordeste Comunidad;7;194.8;2
Molinos (Los);Sierra Central;11;252.45;1
Montejo de la Sierra;Sierra Norte;6;11.77;2
Moraleja de Enmedio;Sudoeste Comunidad;9;176.53;1
Moralzarzal;Sierra Central;11;323.83;1
Morata de Tajuña;Sudeste Comunidad;8;178.4;2
Móstoles;Sur Metropolitano;4;4682.94;3
Navacerrada;Sierra Central;11;100.92;1
Navalafuente;Sierra Norte;6;137.16;2
Navalagamella;Sierra Sur;10;39.73;1
Navalcarnero;Sudoeste Comunidad;9;316.73;1
Navarredonda y San Mamés;Sierra Norte;6;5.37;2
Navas del Rey;Sierra Sur;10;64.19;1
Nuevo Baztán;Sudeste Comunidad;8;354.17;2
