Municipios;Distribución de la superficie;Total
28120:Rascafría;Tierras para pastos permanentes;2.718
28121:Redueña;Tierras para pastos permanentes;31
28122:Ribatejada;Tierras para pastos permanentes;251
28123:Rivas-Vaciamadrid;Tierras para pastos permanentes;495
28124:Robledillo de la Jara;Tierras para pastos permanentes;160
28125:Robledo de Chavela;Tierras para pastos permanentes;4.321
28126:Robregordo;Tierras para pastos permanentes;801
28127:Rozas de Madrid (Las);Tierras para pastos permanentes;293
28128:Rozas de Puerto Real;Tierras para pastos permanentes;656
28129:San Agustín de Guadalix;Tierras para pastos permanentes;1.489
28130:San Fernando de Henares;Tierras para pastos permanentes;547
28131:San Lorenzo de El Escorial;Tierras para pastos permanentes;1.858
28132:San Martín de la Vega;Tierras para pastos permanentes;687
28133:San Martín de Valdeiglesias;Tierras para pastos permanentes;355
28134:San Sebastián de los Reyes;Tierras para pastos permanentes;32
28135:Santa María de la Alameda;Tierras para pastos permanentes;3.608
28136:Santorcaz;Tierras para pastos permanentes;1
28137:Santos de la Humosa (Los);Tierras para pastos permanentes;307
28138:Serna del Monte (La);Tierras para pastos permanentes;133
28140:Serranillos del Valle;Tierras para pastos permanentes;3
28141:Sevilla la Nueva;Tierras para pastos permanentes;0
28143:Somosierra;Tierras para pastos permanentes;1.299
28144:Soto del Real;Tierras para pastos permanentes;1.606
28145:Talamanca de Jarama;Tierras para pastos permanentes;549
28146:Tielmes;Tierras para pastos permanentes;602
28147:Titulcia;Tierras para pastos permanentes;9
28148:Torrejón de Ardoz;Tierras para pastos permanentes;2
28149:Torrejón de la Calzada;Tierras para pastos permanentes;0
28150:Torrejón de Velasco;Tierras para pastos permanentes;2
28151:Torrelaguna;Tierras para pastos permanentes;116
28152:Torrelodones;Tierras para pastos permanentes;25
28153:Torremocha de Jarama;Tierras para pastos permanentes;299
28154:Torres de la Alameda;Tierras para pastos permanentes;110
28903:Tres Cantos;Tierras para pastos permanentes;1.324
28155:Valdaracete;Tierras para pastos permanentes;810
28156:Valdeavero;Tierras para pastos permanentes;55
28157:Valdelaguna;Tierras para pastos permanentes;359
28158:Valdemanco;Tierras para pastos permanentes;534
28159:Valdemaqueda;Tierras para pastos permanentes;256
28160:Valdemorillo;Tierras para pastos permanentes;5.127
28161:Valdemoro;Tierras para pastos permanentes;1
28162:Valdeolmos-Alalpardo;Tierras para pastos permanentes;1.078
28163:Valdepiélagos;Tierras para pastos permanentes;20
28164:Valdetorres de Jarama;Tierras para pastos permanentes;258
28165:Valdilecha;Tierras para pastos permanentes;1.005
28166:Valverde de Alcalá;Tierras para pastos permanentes;3
28167:Velilla de San Antonio;Tierras para pastos permanentes;100
28168:Vellón (El);Tierras para pastos permanentes;623
28169:Venturada;Tierras para pastos permanentes;202
28171:Villa del Prado;Tierras para pastos permanentes;341
28170:Villaconejos;Tierras para pastos permanentes;53
28172:Villalbilla;Tierras para pastos permanentes;600
28173:Villamanrique de Tajo;Tierras para pastos permanentes;198
28174:Villamanta;Tierras para pastos permanentes;149
28175:Villamantilla;Tierras para pastos permanentes;234
28176:Villanueva de la Cañada;Tierras para pastos permanentes;0
28178:Villanueva de Perales;Tierras para pastos permanentes;1.162
28177:Villanueva del Pardillo;Tierras para pastos permanentes;216
28179:Villar del Olmo;Tierras para pastos permanentes;5
28180:Villarejo de Salvanés;Tierras para pastos permanentes;828
28181:Villaviciosa de Odón;Tierras para pastos permanentes;7
28182:Villavieja del Lozoya;Tierras para pastos permanentes;1.108
28183:Zarzalejo;Tierras para pastos permanentes;586
