Torres de la Alameda;154;I;581,03;581,03
Torres de la Alameda;154;I;300;300
Torres de la Alameda;154;I;300;300
Paracuellos de Jarama;104;R;156,04;170,26
Torres de la Alameda;154;I;300;300
Paracuellos de Jarama;104;R;154,56;170,26
Torres de la Alameda;154;I;300;300
Arganda del Rey;014;R;3101,6;15387,51
Tres Cantos;903;T;6636,52;5336,54
Arganda del Rey;014;R;2949,31;17474,98
Torres de la Alameda;154;I;300;300
Torres de la Alameda;154;I;300;300
Getafe;065;T;2168;2376
Torres de la Alameda;154;I;300;300
Torres de la Alameda;154;I;300;300
Torres de la Alameda;154;I;300;300
Torres de la Alameda;154;I;300;300
Pozuelo de Alarcón;115;R;500;285
Pozuelo de Alarcón;115;R;500;285
Pozuelo de Alarcón;115;R;500;285
Pozuelo de Alarcón;115;R;500;285
Pozuelo de Alarcón;115;R;500;285
Móstoles;092;T;4378;5035
Móstoles;092;T;3600;4140
Móstoles;092;T;3600;4140
Móstoles;092;T;3613;4155
Móstoles;092;T;5583;6420
Móstoles;092;T;5345;6147
Móstoles;092;T;7305;8401
Alcalá de Henares;005;C;6486,78;4500
Móstoles;092;T;3576;4112
Rivas0Vaciamadrid;123;T;14932;33000
Móstoles;092;T;4371;5027
Móstoles;092;T;7969;9164
San Fernando de Henares;130;I;3758,34;3232
Collado Villalba;047;R;275,38;144,96
Pozuelo de Alarcón;115;R;550,56;275,5
Madrid;079;I;770,99;894
Madrid;079;I;1247,16;1735
Madrid;079;I;524,33;456
Madrid;079;I;1002,5;1241,99
Pozuelo de Alarcón;115;R;500;285
Pinto;113;I;2336;1402
Pozuelo de Alarcón;115;R;500;285
Pozuelo de Alarcón;115;R;504,9;285
Pozuelo de Alarcón;115;R;515,23;285
Pozuelo de Alarcón;115;R;573,52;285
Campo Real;033;I;963,14;674,2
Buitrago del Lozoya;027;R;1045;1045
Pozuelo de Alarcón;115;R;590,61;285
Pozuelo de Alarcón;115;R;659,44;285
Colmenar Viejo;045;T;796,62;503
Colmenar Viejo;045;T;640,74;405
Colmenar Viejo;045;T;808,25;511
Colmenar Viejo;045;T;684,6;432
Colmenar Viejo;045;T;698,38;441
Colmenar Viejo;045;T;673,88;426
Colmenar Viejo;045;R;13263,15;7200
Pozuelo de Alarcón;115;R;691,08;285
Pozuelo de Alarcón;115;R;757,48;285
Pozuelo de Alarcón;115;R;820,07;285
Colmenar Viejo;045;R;2076,64;1280
Colmenar Viejo;045;R;2076,64;1280
Colmenar Viejo;045;R;250,67;159
Colmenar Viejo;045;R;250,67;159
Pozuelo de Alarcón;115;R;550,75;275,5
Pozuelo de Alarcón;115;R;550,93;275,5
Pozuelo de Alarcón;115;R;551,12;275,5
Pozuelo de Alarcón;115;R;580,05;275,5
Pozuelo de Alarcón;115;R;551,07;275,5
Pozuelo de Alarcón;115;R;611,17;275,5
Pozuelo de Alarcón;115;R;600,02;275,5
Colmenar Viejo;045;T;14134,83;14517
Pozuelo de Alarcón;115;R;603,36;275,5
Pozuelo de Alarcón;115;R;599,45;275,5
Pozuelo de Alarcón;115;R;605,52;275,5
Pozuelo de Alarcón;115;R;638,88;275,5
Pozuelo de Alarcón;115;R;610,87;275,5
Pozuelo de Alarcón;115;R;630,45;275,5
Pozuelo de Alarcón;115;R;615,7;275,5
Escorial, El;054;R;3579,82;1559,53
Aranjuez;013;R;46766;30746
Móstoles;092;T;10800;12414
Colmenar Viejo;045;R;2571,08;1591
Arganda del Rey;014;R;12359;15610
Colmenar Viejo;045;R;2323,69;1432
Fuenlabrada;058;I;6780,55;4068,33
Colmenar Viejo;045;R;8750;7761
Daganzo de Arriba;053;R;6863;12353
Getafe;065;C;800;600
Getafe;065;C;800;600
Getafe;065;T;27215;5403
Paracuellos de Jarama;104;R;159;170,26
Aldea del Fresno;008;R;2162;1513,4
Torrejón de la Calzada;149;R;3148;4517
Colmenar Viejo;045;T;20348,89;12341
Colmenar Viejo;045;T;17200,61;15007
Colmenar Viejo;045;T;14134,67;14516
Colmenar Viejo;045;T;20593,37;12485
Colmenar Viejo;045;T;20593,02;12484
Getafe;065;I;3330;2167
Getafe;065;O;37435;20000
Getafe;065;I;2553;1660
Getafe;065;I;3330;2167
Getafe;065;I;3330;2166
Escorial, El;054;O;9025,27;10450
Escorial, El;054;O;2399,81;2750
Escorial, El;054;T;15530,44;17750
Escorial, El;054;T;1562,37;1800
Escorial, El;054;T;2123,71;2430
Moralzarzal;090;R;6417;5143
Moralzarzal;090;R;3228;1609
Villalbilla;172;R;12990;15848
Pozuelo de Alarcón;115;R;700;210
Madrid;079;R;320,5;329,06
Fuenlabrada;058;T;6020,78;7224,94
