Serie;Codigo_municipio;2022;2023
Municipios;1126;Pinilla del Valle;2;4;
Municipios;1132;Pinto;3158;3368;
Municipios;1147;Piñuécar-Gandullas;4;8;
Municipios;1150;Pozuelo de Alarcón;6216;6286;
Municipios;1163;Pozuelo del Rey;59;65;
Municipios;1179;Prádena del Rincón;8;6;
Municipios;1185;Puebla de la Sierra;1;1;
Municipios;9020;Puentes Viejas;23;32;
Municipios;1198;Quijorna;269;301;
Municipios;1202;Rascafría;68;60;
Municipios;1219;Redueña;21;24;
Municipios;1224;Ribatejada;45;50;
Municipios;1230;Rivas-Vaciamadrid;5966;6275;
Municipios;1245;Robledillo de la Jara;10;8;
Municipios;1258;Robledo de Chavela;298;284;
Municipios;1261;Robregordo;2;1;
Municipios;1277;Rozas de Madrid (Las);7032;7155;
Municipios;1283;Rozas de Puerto Real;27;29;
Municipios;1296;San Agustín del Guadalix;1028;1092;
Municipios;1300;San Fernando de Henares;2153;2134;
Municipios;1317;San Lorenzo de El Escorial;1147;1155;
Municipios;1338;San Martín de Valdeiglesias;471;483;
Municipios;1322;San Martín de la Vega;1185;1285;
Municipios;1343;San Sebastián de los Reyes;4999;5168;
Municipios;1356;Santa María de la Alameda;49;64;
Municipios;1369;Santorcaz;65;73;
Municipios;1375;Santos de la Humosa (Los);141;158;
Municipios;1381;Serna del Monte (La);4;6;
Municipios;1408;Serranillos del Valle;321;325;
Municipios;1415;Sevilla la Nueva;691;761;
Municipios;1436;Somosierra;3;3;
Municipios;1441;Soto del Real;650;654;
Municipios;1454;Talamanca de Jarama;215;221;
Municipios;1467;Tielmes;142;150;
Municipios;1473;Titulcia;69;75;
Municipios;1489;Torrejón de Ardoz;7114;7562;
Municipios;1505;Torrejón de Velasco;323;346;
Municipios;1492;Torrejón de la Calzada;607;620;
Municipios;1512;Torrelaguna;273;293;
Municipios;1527;Torrelodones;1963;1987;
Municipios;1533;Torremocha de Jarama;61;63;
Municipios;1548;Torres de la Alameda;521;542;
Municipios;9036;Tres Cantos;3003;3077;
Municipios;1551;Valdaracete;33;33;
Municipios;1564;Valdeavero;86;97;
Municipios;1570;Valdelaguna;52;60;
Municipios;1586;Valdemanco;48;53;
Municipios;1599;Valdemaqueda;45;45;
Municipios;1603;Valdemorillo;854;912;
Municipios;1610;Valdemoro;5626;5918;
Municipios;1625;Valdeolmos-Alalpardo;287;303;
Municipios;1631;Valdepiélagos;33;34;
Municipios;1646;Valdetorres de Jarama;303;295;
Municipios;1659;Valdilecha;156;165;
Municipios;1662;Valverde de Alcalá;31;26;
Municipios;1678;Velilla de San Antonio;900;933;
Municipios;1684;Vellón (El);94;120;
Municipios;1697;Venturada;165;168;
Municipios;1718;Villa del Prado;391;401;
Municipios;1701;Villaconejos;186;201;
Municipios;1723;Villalbilla;937;986;
Municipios;1739;Villamanrique de Tajo;38;46;
Municipios;1744;Villamanta;123;129;
Municipios;1757;Villamantilla;96;104;
Municipios;1782;Villanueva de Perales;112;126;
Municipios;1760;Villanueva de la Cañada;1760;1856;
Municipios;1776;Villanueva del Pardillo;1538;1611;
Municipios;1795;Villar del Olmo;137;140;
Municipios;1809;Villarejo de Salvanés;460;483;
Municipios;1816;Villaviciosa de Odón;1883;2052;
Municipios;1821;Villavieja del Lozoya;16;17;
Municipios;1837;Zarzalejo;92;93;
