Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por grupo de cotización. Afiliados a la Seguridad Social del grupo de cotización de trabajadores menores de dieciocho años residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0650;Getafe;14;15;8;5;9;5;8;5;5;8;
Municipios;0663;Griñón;4;2;3;0;0;0;2;0;1;0;
Municipios;0679;Guadalix de la Sierra;0;1;1;1;4;1;1;1;2;3;
Municipios;0685;Guadarrama;5;4;3;1;1;0;2;0;0;0;
Municipios;0698;Hiruela (La);0;0;0;0;0;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;0;0;0;0;0;0;0;0;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;0;0;0;0;0;0;0;0;0;0;
Municipios;0730;Humanes de Madrid;7;5;5;3;4;5;5;4;2;2;
Municipios;0745;Leganés;23;17;16;10;14;10;15;10;8;7;
Municipios;0758;Loeches;2;1;1;1;2;1;3;1;1;1;
Municipios;0761;Lozoya;0;0;0;0;0;0;0;0;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0;0;0;0;0;0;0;0;0;0;
Municipios;0783;Madarcos;0;0;0;0;0;0;0;0;0;0;
Municipios;0796;Madrid;267;217;183;137;146;149;141;84;85;103;
Municipios;0800;Majadahonda;3;3;2;3;1;3;3;2;1;3;
Municipios;0822;Manzanares el Real;0;0;0;0;0;0;2;1;2;1;
Municipios;0838;Meco;5;6;4;3;0;1;0;1;1;1;
Municipios;0843;Mejorada del Campo;4;6;4;4;4;3;1;1;2;1;
Municipios;0856;Miraflores de la Sierra;1;1;1;0;0;0;0;0;1;1;
Municipios;0869;Molar (El);0;0;0;0;0;0;0;0;2;1;
Municipios;0875;Molinos (Los);0;0;1;0;0;0;0;0;0;0;
Municipios;0881;Montejo de la Sierra;0;0;0;0;0;0;0;0;0;0;
Municipios;0894;Moraleja de Enmedio;0;0;0;0;0;0;1;1;2;2;
Municipios;0908;Moralzarzal;0;0;1;1;1;0;1;0;0;0;
Municipios;0915;Morata de Tajuña;1;0;0;0;0;0;0;0;1;0;
Municipios;0920;Móstoles;33;25;19;10;8;8;7;8;11;8;
Municipios;0936;Navacerrada;0;0;0;0;0;0;0;0;0;1;
Municipios;0941;Navalafuente;0;0;0;0;0;0;0;0;0;0;
Municipios;0954;Navalagamella;0;0;0;0;0;0;0;0;0;0;
Municipios;0967;Navalcarnero;5;3;3;2;1;1;1;1;0;2;
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;0;0;0;0;0;0;
Municipios;0992;Navas del Rey;1;0;0;0;0;0;0;0;0;0;
Municipios;1006;Nuevo Baztán;1;1;1;1;1;1;1;0;0;1;
