Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;6612360;6865218
Zonas Estadísticas;01;Municipio de Madrid ;4095186;4268525
Zonas Estadísticas;02;Norte Metropolitano ;421596;437806
Zonas Estadísticas;03;Este Metropolitano  ;495725;506396
Zonas Estadísticas;04;Sur Metropolitano   ;826019;844354
Zonas Estadísticas;05;Oeste Metropolitano ;473927;494925
Zonas Estadísticas;06;Sierra Norte        ;24561;27844
Zonas Estadísticas;07;Nordeste Comunidad  ;38633;40442
Zonas Estadísticas;08;Sudeste Comunidad   ;51958;52349
Zonas Estadísticas;09;Sudoeste Comunidad  ;83685;88489
Zonas Estadísticas;10;Sierra Sur          ;18124;18619
Zonas Estadísticas;11;Sierra Central      ;82946;85469
Municipios;0014;Acebeda (La);106;149
Municipios;0029;Ajalvir;9124;9545
Municipios;0035;Alameda del Valle;164;278
Municipios;0040;Alamo (El);4070;4333
Municipios;0053;Alcalá de Henares;148762;152409
Municipios;0066;Alcobendas;200309;209564
Municipios;0072;Alcorcón;121300;124638
Municipios;0088;Aldea del Fresno;1253;1233
Municipios;0091;Algete;15388;16216
Municipios;0105;Alpedrete;6225;6279
Municipios;0112;Ambite;220;314
Municipios;0127;Anchuelo;584;621
Municipios;0133;Aranjuez;37260;36921
Municipios;0148;Arganda del Rey;49352;49921
Municipios;0151;Arroyomolinos;21270;22412
Municipios;0164;Atazar (El);151;184
Municipios;0170;Batres;623;674
Municipios;0186;Becerril de la Sierra;2257;2262
Municipios;0199;Belmonte de Tajo;588;659
Municipios;0210;Berrueco (El);363;386
Municipios;0203;Berzosa del Lozoya;173;272
Municipios;0225;Boadilla del Monte;46401;49745
Municipios;0231;Boalo (El);3220;3438
Municipios;0246;Braojos;716;572
Municipios;0259;Brea de Tajo;445;431
Municipios;0262;Brunete;5205;5293
Municipios;0278;Buitrago del Lozoya;2340;2533
Municipios;0284;Bustarviejo;1017;1130
Municipios;0297;Cabanillas de la Sierra;345;446
Municipios;0301;Cabrera (La);1491;1578
Municipios;0318;Cadalso de los Vidrios;1382;1364
Municipios;0323;Camarma de Esteruelas;4106;4090
Municipios;0339;Campo Real;3184;3417
Municipios;0344;Canencia;216;278
Municipios;0357;Carabaña;2190;736
Municipios;0360;Casarrubuelos;1595;1769
Municipios;0376;Cenicientos;687;695
Municipios;0382;Cercedilla;4369;4414
Municipios;0395;Cervera de Buitrago;89;158
Municipios;0513;Chapinería;1018;1078
Municipios;0528;Chinchón;2819;3008
Municipios;0409;Ciempozuelos;16201;16046
Municipios;0416;Cobeña;3234;3395
Municipios;0468;Collado Mediano;3048;3228
Municipios;0474;Collado Villalba;33844;34533
Municipios;0455;Colmenar Viejo;32633;33632
Municipios;0437;Colmenar de Oreja;2677;2649
Municipios;0421;Colmenar del Arroyo;2111;1843
Municipios;0442;Colmenarejo;5287;5300
Municipios;0480;Corpa;165;193
Municipios;0493;Coslada;72478;73602
Municipios;0506;Cubas de la Sagra;2531;2549
Municipios;0534;Daganzo de Arriba;7273;7680
Municipios;0549;Escorial (El);7729;7452
Municipios;0552;Estremera;2504;2544
Municipios;0565;Fresnedillas de la Oliva;513;605
Municipios;0571;Fresno de Torote;544;614
Municipios;0587;Fuenlabrada;104336;105738
Municipios;0590;Fuente el Saz de Jarama;3965;3987
Municipios;0604;Fuentidueña de Tajo;931;838
Municipios;0611;Galapagar;12270;12581
Municipios;0626;Garganta de los Montes;188;304
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;253;366
Municipios;0647;Gascones;178;209
Municipios;0650;Getafe;155965;158235
Municipios;0663;Griñón;10524;11201
Municipios;0679;Guadalix de la Sierra;2557;2535
Municipios;0685;Guadarrama;8124;8531
Municipios;0698;Hiruela (La);110;158
Municipios;0702;Horcajo de la Sierra-Aoslos;153;269
Municipios;0719;Horcajuelo de la Sierra;128;156
Municipios;0724;Hoyo de Manzanares;3819;4034
Municipios;0730;Humanes de Madrid;20447;20590
Municipios;0745;Leganés;123977;126476
Municipios;0758;Loeches;6940;7089
Municipios;0761;Lozoya;437;503
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1006;1193
Municipios;0783;Madarcos;84;126
Municipios;0796;Madrid;4095186;4268525
Municipios;0800;Majadahonda;64677;66414
Municipios;0822;Manzanares el Real;2788;2754
Municipios;0838;Meco;13414;14285
Municipios;0843;Mejorada del Campo;11480;11617
Municipios;0856;Miraflores de la Sierra;2266;2298
Municipios;0869;Molar (El);2863;2975
Municipios;0875;Molinos (Los);1734;1819
Municipios;0881;Montejo de la Sierra;327;330
Municipios;0894;Moraleja de Enmedio;3780;3735
Municipios;0908;Moralzarzal;5885;6087
Municipios;0915;Morata de Tajuña;2519;2675
Municipios;0920;Móstoles;92827;94068
Municipios;0936;Navacerrada;1459;1534
Municipios;0941;Navalafuente;348;417
Municipios;0954;Navalagamella;714;736
Municipios;0967;Navalcarnero;18966;20430
Municipios;0973;Navarredonda y San Mamés;109;219
Municipios;0992;Navas del Rey;1285;1363
Municipios;1006;Nuevo Baztán;2140;2153
Municipios;1013;Olmeda de las Fuentes;247;378
Municipios;1028;Orusco de Tajuña;557;565
Municipios;1049;Paracuellos de Jarama;12924;13451
Municipios;1065;Parla;40514;41788
Municipios;1071;Patones;425;454
Municipios;1087;Pedrezuela;1995;1947
Municipios;1090;Pelayos de la Presa;1208;1252
Municipios;1104;Perales de Tajuña;1057;1041
Municipios;1111;Pezuela de las Torres;349;369
Municipios;1126;Pinilla del Valle;61;131
Municipios;1132;Pinto;40538;41747
Municipios;1147;Piñuécar-Gandullas;124;228
Municipios;1150;Pozuelo de Alarcón;152265;159454
Municipios;1163;Pozuelo del Rey;243;323
Municipios;1179;Prádena del Rincón;132;173
Municipios;1185;Puebla de la Sierra;63;131
Municipios;9020;Puentes Viejas;372;595
Municipios;1198;Quijorna;993;1100
Municipios;1202;Rascafría;1100;1173
Municipios;1219;Redueña;373;452
Municipios;1224;Ribatejada;363;400
Municipios;1230;Rivas-Vaciamadrid;56962;57556
Municipios;1245;Robledillo de la Jara;87;151
Municipios;1258;Robledo de Chavela;1776;1852
Municipios;1261;Robregordo;78;118
Municipios;1277;Rozas de Madrid (Las);104291;109796
Municipios;1283;Rozas de Puerto Real;1133;1148
Municipios;1296;San Agustín del Guadalix;8313;8940
Municipios;1300;San Fernando de Henares;50215;50006
Municipios;1317;San Lorenzo de El Escorial;10015;10767
Municipios;1338;San Martín de Valdeiglesias;4677;4647
Municipios;1322;San Martín de la Vega;10020;10415
Municipios;1343;San Sebastián de los Reyes;88413;90940
Municipios;1356;Santa María de la Alameda;561;810
Municipios;1369;Santorcaz;317;396
Municipios;1375;Santos de la Humosa (Los);747;744
Municipios;1381;Serna del Monte (La);82;147
Municipios;1408;Serranillos del Valle;2063;2276
Municipios;1415;Sevilla la Nueva;3560;3837
Municipios;1436;Somosierra;71;167
Municipios;1441;Soto del Real;5290;5514
Municipios;1454;Talamanca de Jarama;1295;1441
Municipios;1467;Tielmes;1225;1279
Municipios;1473;Titulcia;520;655
Municipios;1489;Torrejón de Ardoz;78356;82019
Municipios;1505;Torrejón de Velasco;1766;1862
Municipios;1492;Torrejón de la Calzada;6033;6162
Municipios;1512;Torrelaguna;2427;2660
Municipios;1527;Torrelodones;15530;15854
Municipios;1533;Torremocha de Jarama;1219;1320
Municipios;1548;Torres de la Alameda;5513;5618
Municipios;9036;Tres Cantos;73306;75119
Municipios;1551;Valdaracete;224;291
Municipios;1564;Valdeavero;650;661
Municipios;1570;Valdelaguna;307;289
Municipios;1586;Valdemanco;265;311
Municipios;1599;Valdemaqueda;270;340
Municipios;1603;Valdemorillo;5413;5755
Municipios;1610;Valdemoro;62634;67692
Municipios;1625;Valdeolmos-Alalpardo;2293;2116
Municipios;1631;Valdepiélagos;245;294
Municipios;1646;Valdetorres de Jarama;1622;1899
Municipios;1659;Valdilecha;1254;1219
Municipios;1662;Valverde de Alcalá;162;208
Municipios;1678;Velilla de San Antonio;6072;6270
Municipios;1684;Vellón (El);539;693
Municipios;1697;Venturada;1979;2084
Municipios;1718;Villa del Prado;2414;2454
Municipios;1701;Villaconejos;1395;1447
Municipios;1723;Villalbilla;5222;5512
Municipios;1739;Villamanrique de Tajo;348;389
Municipios;1744;Villamanta;1135;1249
Municipios;1757;Villamantilla;546;548
Municipios;1782;Villanueva de Perales;563;665
Municipios;1760;Villanueva de la Cañada;15353;15971
Municipios;1776;Villanueva del Pardillo;7837;8037
Municipios;1795;Villar del Olmo;614;708
Municipios;1809;Villarejo de Salvanés;3751;3591
Municipios;1816;Villaviciosa de Odón;20272;21250
Municipios;1821;Villavieja del Lozoya;120;160
Municipios;1837;Zarzalejo;789;886
