Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1104;Perales de Tajuña;182;167;191;195
Municipios;1111;Pezuela de las Torres;22;19;28;26
Municipios;1126;Pinilla del Valle;3;3;2;2
Municipios;1132;Pinto;8463;8663;9020;9153
Municipios;1147;Piñuécar-Gandullas;7;8;31;28
Municipios;1150;Pozuelo de Alarcón;3964;3660;3497;3834
Municipios;1163;Pozuelo del Rey;41;42;57;50
Municipios;1179;Prádena del Rincón;20;21;37;39
Municipios;1185;Puebla de la Sierra;2;2;14;12
Municipios;9020;Puentes Viejas;33;32;77;130
Municipios;1198;Quijorna;70;85;91;86
Municipios;1202;Rascafría;126;136;119;125
Municipios;1219;Redueña;60;59;19;19
Municipios;1224;Ribatejada;20;19;21;24
Municipios;1230;Rivas-Vaciamadrid;6387;6355;6575;6579
Municipios;1245;Robledillo de la Jara;2;2;15;13
Municipios;1258;Robledo de Chavela;174;177;199;196
Municipios;1261;Robregordo;2;3;14;12
Municipios;1277;Rozas de Madrid (Las);6534;6866;6528;6933
Municipios;1283;Rozas de Puerto Real;11;10;24;23
Municipios;1296;San Agustín del Guadalix;2215;2703;3079;3521
Municipios;1300;San Fernando de Henares;6400;6356;6720;6749
Municipios;1317;San Lorenzo de El Escorial;390;365;396;423
Municipios;1338;San Martín de Valdeiglesias;445;426;445;445
Municipios;1322;San Martín de la Vega;2530;2354;2560;2506
Municipios;1343;San Sebastián de los Reyes;7559;7312;7659;7659
Municipios;1356;Santa María de la Alameda;102;104;144;155
Municipios;1369;Santorcaz;24;28;30;29
Municipios;1375;Santos de la Humosa (Los);70;86;91;76
Municipios;1381;Serna del Monte (La);2;2;2;2
Municipios;1408;Serranillos del Valle;471;502;498;507
Municipios;1415;Sevilla la Nueva;412;383;425;421
Municipios;1436;Somosierra;2;2;14;12
Municipios;1441;Soto del Real;320;312;326;283
Municipios;1454;Talamanca de Jarama;426;384;419;407
Municipios;1467;Tielmes;213;228;223;237
Municipios;1473;Titulcia;73;76;76;75
Municipios;1489;Torrejón de Ardoz;18577;19303;20996;23198
Municipios;1505;Torrejón de Velasco;507;488;527;532
Municipios;1492;Torrejón de la Calzada;1525;1518;1491;1419
Municipios;1512;Torrelaguna;128;153;160;186
Municipios;1527;Torrelodones;456;477;509;521
Municipios;1533;Torremocha de Jarama;336;50;75;69
Municipios;1548;Torres de la Alameda;1686;1496;1589;1625
Municipios;9036;Tres Cantos;15977;16010;15699;16736
Municipios;1551;Valdaracete;28;33;19;16
Municipios;1564;Valdeavero;181;184;218;213
Municipios;1570;Valdelaguna;53;45;57;47
Municipios;1586;Valdemanco;60;66;67;55
Municipios;1599;Valdemaqueda;60;60;70;81
Municipios;1603;Valdemorillo;695;712;670;707
Municipios;1610;Valdemoro;6473;6448;6945;6873
Municipios;1625;Valdeolmos-Alalpardo;430;406;411;407
Municipios;1631;Valdepiélagos;50;52;68;78
Municipios;1646;Valdetorres de Jarama;189;167;195;217
Municipios;1659;Valdilecha;237;264;244;253
Municipios;1662;Valverde de Alcalá;7;9;8;9
Municipios;1678;Velilla de San Antonio;1806;1754;1657;1609
