Población.Otros datos de población.Indicadores de población. Grado de juventud de los menores de 45 años. Unidad: Porcentaje. Fuente: Dirección General de Economía de la Comunidad de Madrid.;
Serie;;;1996;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0091;Algete;78.88;77.87;77.00;75.81;75.38;74.70;73.89;72.95;72.00;71.10;70.28;69.17;68.56;67.33;65.93;64.26;63.04;61.86;61.03;60.43;59.05;57.89;56.94;55.63;54.62;53.81;53.42;
Municipios;0105;Alpedrete;70.64;72.56;71.03;72.25;72.38;72.68;72.48;72.57;72.34;71.67;70.98;69.59;69.06;67.89;66.48;65.15;64.35;62.60;61.11;59.30;57.37;55.98;54.66;53.33;51.85;50.83;50.25;
Municipios;0112;Ambite;40.34;41.91;43.52;41.37;41.39;44.87;44.58;46.05;45.81;47.97;52.46;52.54;55.66;53.96;51.92;52.12;50.00;49.59;48.87;48.24;55.10;47.92;46.45;44.33;45.25;43.03;43.04;
Municipios;0127;Anchuelo;64.26;62.33;61.11;61.49;60.97;58.81;58.54;55.22;61.78;63.20;63.86;62.77;63.08;65.28;65.90;66.58;66.09;65.07;64.25;63.54;63.73;62.26;60.58;58.94;58.90;58.22;57.94;
Municipios;0133;Aranjuez;64.11;63.91;63.07;62.89;63.12;63.09;63.28;63.03;63.04;62.92;63.81;64.03;64.00;63.53;62.94;62.40;61.63;60.36;59.31;58.42;57.53;56.83;56.03;55.10;54.14;53.08;52.42;
Municipios;0148;Arganda del Rey;71.01;70.44;69.38;69.45;68.80;68.66;69.44;69.57;70.19;70.64;71.07;71.00;70.54;70.09;69.75;69.08;68.10;66.76;65.33;64.17;62.94;61.86;60.89;59.95;58.74;57.50;56.56;
Municipios;0151;Arroyomolinos;77.63;77.66;77.59;76.41;76.49;76.01;75.38;75.70;76.95;76.42;75.98;76.82;77.54;78.50;79.91;79.94;79.23;78.45;77.05;75.83;74.64;73.17;71.68;70.10;68.06;66.02;64.12;
Municipios;0164;Atazar (El);46.88;46.32;49.44;47.13;51.09;52.48;50.50;50.48;53.98;51.72;53.45;54.13;53.21;49.02;49.02;46.08;41.75;39.80;38.54;37.89;38.14;36.56;34.83;33.33;37.61;36.45;34.62;
Municipios;0170;Batres;64.16;67.12;66.07;64.81;66.52;65.71;67.36;66.64;67.59;67.18;65.15;65.64;64.26;63.37;61.79;59.47;57.25;55.70;54.72;53.10;51.37;50.43;49.88;49.54;49.56;49.08;48.27;
Municipios;0186;Becerril de la Sierra;67.23;67.82;65.99;67.68;66.84;67.34;66.72;66.46;66.69;65.81;65.60;64.42;63.66;62.57;62.28;61.21;60.15;58.53;57.43;56.68;55.76;54.44;52.89;51.85;50.80;50.32;49.18;
Municipios;0199;Belmonte de Tajo;58.41;59.24;57.95;58.46;57.51;56.69;55.59;54.76;54.43;55.45;56.41;55.68;57.62;57.80;58.13;58.80;58.89;58.08;57.60;56.88;55.59;55.99;55.05;54.60;53.57;53.21;53.53;
Municipios;0210;Berrueco (El);55.35;55.98;54.05;54.60;55.69;57.54;61.56;58.25;59.77;58.38;58.47;59.57;58.46;57.69;56.59;55.28;57.03;57.41;56.15;49.07;47.91;47.50;47.89;48.78;47.41;46.87;45.80;
Municipios;0203;Berzosa del Lozoya;52.59;46.00;52.00;46.61;54.96;53.95;59.38;60.47;64.64;63.69;64.21;62.82;62.83;60.58;57.69;55.07;53.27;47.62;50.99;48.48;48.28;43.94;42.44;36.04;37.56;37.89;37.90;
Municipios;0225;Boadilla del Monte;69.90;69.53;68.23;69.38;70.60;72.19;72.34;72.75;73.41;73.42;73.01;72.25;71.32;70.17;69.35;68.14;66.71;65.01;63.59;62.13;60.83;59.38;58.26;57.32;56.85;56.47;55.66;
Municipios;0231;Boalo (El);67.69;68.01;67.80;68.14;67.77;68.24;68.76;69.32;70.85;71.33;71.20;70.35;69.58;69.09;68.23;67.34;65.94;64.12;62.82;61.36;59.98;57.93;56.57;55.29;54.06;52.80;51.76;
Municipios;0246;Braojos;63.87;63.27;64.94;63.75;63.35;63.13;67.37;65.45;66.84;63.64;61.71;59.34;60.00;56.54;56.46;57.84;55.24;53.77;51.72;52.24;52.88;51.22;49.27;48.54;49.54;47.71;46.23;
Municipios;0259;Brea de Tajo;49.28;48.96;47.20;46.72;45.09;44.24;45.40;45.26;46.96;49.61;50.10;49.90;49.13;51.44;51.35;51.92;50.27;50.00;49.82;50.89;48.42;47.24;46.76;44.47;43.86;42.73;42.08;
Municipios;0262;Brunete;67.21;69.04;68.69;69.00;69.32;70.64;71.01;70.75;72.12;73.00;72.87;72.30;71.64;70.80;69.69;68.41;66.90;65.44;64.13;62.33;61.00;59.82;58.82;57.52;56.23;54.46;53.73;
