Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de servicios a empresas y financieros. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0416;Cobeña;141;152;169;175;175;197;198;229;237;232;237;237;225;235;230;
Municipios;0468;Collado Mediano;193;197;202;207;204;213;229;215;239;255;243;238;235;270;285;
Municipios;0474;Collado Villalba;1892;1797;1747;1689;1641;1818;2004;2155;2298;2416;2290;2135;2160;2260;2090;
Municipios;0455;Colmenar Viejo;1126;1155;1128;1053;1149;1264;1285;1325;1334;1320;1436;1481;1475;1525;1575;
Municipios;0437;Colmenar de Oreja;80;74;90;74;101;91;96;93;98;130;134;141;130;125;110;
Municipios;0421;Colmenar del Arroyo;12;14;18;17;20;19;28;25;24;31;26;28;35;35;30;
Municipios;0442;Colmenarejo;269;267;278;285;299;324;339;347;373;431;483;529;475;425;460;
Municipios;0480;Corpa;-;-;-;-;-;-;-;-;-;12;17;18;10;10;15;
Municipios;0493;Coslada;5402;5351;4841;3151;5409;5459;3017;3324;3622;3312;3260;3431;3380;3495;3410;
Municipios;0506;Cubas de la Sagra;69;70;70;75;91;110;140;146;134;209;147;143;125;125;125;
Municipios;0534;Daganzo de Arriba;329;319;369;465;453;488;419;427;407;463;427;479;575;610;665;
Municipios;0549;Escorial (El);422;443;442;472;478;473;498;528;509;499;510;524;505;455;490;
Municipios;0552;Estremera;37;40;38;46;76;92;105;111;121;122;117;62;65;70;70;
Municipios;0565;Fresnedillas de la Oliva;16;15;15;23;26;27;30;31;48;49;32;32;30;30;30;
Municipios;0571;Fresno de Torote;35;31;28;25;25;36;56;87;79;39;40;38;35;35;30;
Municipios;0587;Fuenlabrada;4913;4953;4713;4365;4268;4626;4797;5162;5739;5657;5878;5933;5625;5735;6000;
Municipios;0590;Fuente el Saz de Jarama;315;277;297;314;267;259;254;313;289;319;341;340;355;350;355;
Municipios;0604;Fuentidueña de Tajo;15;14;13;17;14;17;16;12;15;16;15;16;45;20;20;
Municipios;0611;Galapagar;1000;963;965;998;1019;1073;1092;1057;1118;1194;1175;1167;1140;1210;1190;
Municipios;0626;Garganta de los Montes;-;-;-;-;-;-;6;-;-;-;-;-;5;10;10;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;7;8;7;7;5;6;-;-;-;-;-;5;5;5;
Municipios;0647;Gascones;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0650;Getafe;8418;8463;8442;8877;8956;9656;10324;10359;10428;10522;9650;9431;9590;10285;11200;
Municipios;0663;Griñón;264;287;289;305;342;509;540;538;505;531;509;611;570;610;850;
Municipios;0679;Guadalix de la Sierra;97;99;82;109;104;115;124;106;93;106;105;105;120;125;130;
Municipios;0685;Guadarrama;298;303;296;307;308;345;368;376;387;419;428;429;445;450;445;
Municipios;0698;Hiruela (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;5;
Municipios;0702;Horcajo de la Sierra-Aoslos;10;6;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0719;Horcajuelo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;0724;Hoyo de Manzanares;269;270;273;250;264;292;310;340;360;402;332;353;385;395;360;
Municipios;0730;Humanes de Madrid;718;696;629;604;650;710;705;744;811;1101;1156;866;925;800;800;
Municipios;0745;Leganés;5929;5535;5644;4533;4778;5066;5027;5277;5623;5922;6361;6207;6230;6605;6380;
Municipios;0758;Loeches;164;165;136;119;139;175;242;323;356;347;347;321;315;345;365;
Municipios;0761;Lozoya;-;-;5;6;6;5;-;-;5;-;5;6;5;5;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;13;11;10;10;12;35;38;30;32;23;30;33;35;65;70;
Municipios;0783;Madarcos;-;-;-;-;-;-;-;-;-;-;-;-;5;0;5;
Municipios;0796;Madrid;610127;606921;608091;587840;581172;590177;634897;652896;681628;714897;742547;733789;750915;798210;831835;
Municipios;0800;Majadahonda;7601;8459;8979;9339;8859;8981;9811;10516;11021;11281;10618;10546;10740;10970;11265;
Municipios;0822;Manzanares el Real;150;162;145;163;165;179;189;174;179;206;201;205;210;225;245;
Municipios;0838;Meco;228;258;258;263;275;361;475;402;417;370;422;508;460;435;440;
Municipios;0843;Mejorada del Campo;581;611;588;520;508;629;616;565;511;540;550;537;495;490;605;
Municipios;0856;Miraflores de la Sierra;144;115;122;110;115;133;117;123;113;116;127;138;125;135;145;
Municipios;0869;Molar (El);110;111;156;122;140;171;207;183;167;179;162;171;150;150;160;
Municipios;0875;Molinos (Los);76;76;77;83;81;77;89;114;103;110;105;105;105;120;130;
Municipios;0881;Montejo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;
Municipios;0894;Moraleja de Enmedio;337;371;243;244;205;140;155;191;223;272;408;341;240;125;130;
Municipios;0908;Moralzarzal;255;270;306;248;287;283;292;311;317;331;360;373;390;400;415;
Municipios;0915;Morata de Tajuña;91;97;90;84;102;105;71;71;74;75;80;81;100;115;125;
Municipios;0920;Móstoles;4302;4550;4371;4141;4158;7965;4424;4763;5024;5374;5552;5378;5455;5920;5685;
Municipios;0936;Navacerrada;146;122;96;59;64;76;86;96;101;86;101;103;85;75;100;
Municipios;0941;Navalafuente;10;10;15;14;15;14;32;49;64;65;43;32;30;30;25;
Municipios;0954;Navalagamella;18;21;27;26;34;43;49;55;54;57;50;53;55;45;45;
Municipios;0967;Navalcarnero;1133;1037;1176;1396;1436;1235;1243;1447;5495;5765;5817;5879;12285;3580;3060;
Municipios;0973;Navarredonda y San Mamés;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0992;Navas del Rey;27;30;29;35;26;27;36;55;56;62;66;89;60;75;50;
Municipios;1006;Nuevo Baztán;118;117;118;128;131;136;141;144;146;158;161;162;145;180;185;
Municipios;1013;Olmeda de las Fuentes;-;-;-;5;-;6;-;-;-;-;7;13;15;10;5;
