Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;poblacion_censada_0a4;poblacion_censada_10a14;poblacion_censada_15a19;poblacion_censada_20a24;poblacion_censada_25a29;poblacion_censada_30a34;poblacion_censada_35a39;poblacion_censada_40a44;poblacion_censada_45a49;poblacion_censada_50a54;poblacion_censada_55a59;poblacion_censada_5a9;poblacion_censada_60a64;poblacion_censada_65a69;poblacion_censada_70a74;poblacion_censada_75a79;poblacion_censada_80a84;poblacion_censada_85a89;poblacion_censada_90a94;poblacion_censada_95a99;poblacion_censada_mayores_100;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;0112;Ambite;54.784;280112;08;Sudeste Comunidad;51.60;20.0;30.0;440.0;4.0;56.0;1228.0;18.0;58.0;628.0;4.55;26.72;46.53;56.96;36.81;20.58;12.03;5.36;13.91;20.72;28.26;43.04;18.75;0;0;0;0;17;55;38;2;8.33;57;96.49;3.51;30;33;28;19;27;25;46;56;67;72;65;33;47;29;30;22;24;28;8;1;0;690;24;1;3;1822.30;0.04;866.98;14.0;34.0;204.0
Municipios;0127;Anchuelo;42.201;280127;08;Sudeste Comunidad;21.59;20.0;100.0;610.0;0.0;48.0;3888.0;12.0;116.0;1242.0;1.62;63.81;39.70;42.06;25.53;13.71;6.31;1.96;19.51;28.79;40.17;57.94;-15.71;0;0;0;0;24;50;26;9;4.28;59;84.75;15.25;68;101;67;61;64;93;108;137;135;93;70;100;93;62;40;39;21;12;12;2;1;1379;30;1;0;1455.15;0.01;0.00;12.0;52.0;386.0
Municipios;0133;Aranjuez;48.903;280133;04;Sur Metropolitano;189.01;340.0;5320.0;45540.0;524.0;10464.0;142660.0;320.0;13024.0;73842.0;1.43;322.45;42.20;47.58;30.63;17.55;8.42;2.70;15.79;27.32;38.12;52.42;-8.28;0;0;0;0;1420;3367;1947;309;6.06;3676;91.59;8.41;2435;3931;3735;3297;3269;3320;3894;4827;5557;4785;4385;3267;3590;2991;2579;2131;1358;995;526;110;16;60998;189;11;23;10742.00;0.36;1002.53;196.0;1590.0;16740.0
Municipios;0148;Arganda del Rey;28.644;280148;03;Este Metropolitano;80.27;80.0;21110.0;81160.0;108.0;21232.0;95516.0;186.0;36318.0;99842.0;2.27;729.87;40.14;43.44;25.66;13.48;5.50;1.57;16.94;27.77;39.59;56.56;-9.06;0;0;0;0;1368;3380;2012;282;6.21;3662;92.30;7.70;2685;3828;3395;2949;3103;3826;4492;5460;5742;4683;3877;3420;3262;2576;2099;1440;863;545;290;77;11;58623;170;10;14;2536.56;0.30;411.91;74.0;6172.0;20866.0
Municipios;0151;Arroyomolinos;31.450;280151;09;Sudoeste Comunidad;20.78;30.0;4160.0;37530.0;0.0;3048.0;52304.0;18.0;4652.0;44824.0;3.29;1734.84;35.26;35.88;15.60;7.09;2.42;0.58;24.18;35.28;43.30;64.12;-7.10;0;0;0;0;504;1202;698;119;3.67;1321;90.99;9.01;2253;3220;2407;1600;1251;1643;2983;4535;4492;2829;1866;3257;1207;986;700;452;213;131;60;14;3;36102;0;0;0;0;0;0;16.0;1634.0;11820.0
Municipios;0164;Atazar (El);84.846;280164;06;Sierra Norte;28.43;0.0;10.0;70.0;0.0;12.0;1564.0;0.0;28.0;368.0;-2.80;3.66;50.19;65.38;42.31;22.12;13.46;6.73;6.73;17.31;24.04;34.62;0.00;0;0;0;0;1;13;12;0;12.50;13;100.00;0.00;0;3;7;4;6;1;2;9;6;18;14;4;7;6;3;4;3;6;1;0;0;104;0;0;0;0;0;0;0.0;6.0;22.0
Municipios;0170;Batres;37.802;280170;09;Sudoeste Comunidad;21.36;0.0;170.0;1080.0;0.0;104.0;2464.0;6.0;180.0;1348.0;2.34;87.98;43.03;51.73;30.99;15.68;5.95;1.75;13.02;25.62;34.61;48.27;-15.38;0;0;0;0;23;73;50;4;4.11;77;94.81;5.19;59;97;124;113;74;95;103;154;181;209;174;89;114;97;86;55;24;23;8;2;0;1881;5;1;4;190.99;0.02;103.15;4.0;80.0;586.0
Municipios;0186;Becerril de la Sierra;50.448;280186;11;Sierra Central;29.64;20.0;410.0;4010.0;16.0;392.0;5720.0;18.0;410.0;4524.0;1.34;211.29;43.12;50.82;31.75;16.93;7.90;2.55;13.98;25.80;35.31;49.18;11.42;0;0;0;0;105;307;202;15;5.13;322;95.34;4.66;237;341;420;321;305;291;348;521;649;546;492;298;437;308;258;218;117;87;59;13;1;6267;22;2;21;1358.10;0.05;1356.43;14.0;266.0;2428.0
Municipios;0199;Belmonte de Tajo;57.499;280199;08;Sudeste Comunidad;24.07;30.0;130.0;740.0;36.0;124.0;4248.0;20.0;232.0;1318.0;3.72;76.46;42.77;46.47;30.89;18.02;8.09;2.93;14.93;24.86;36.21;53.53;-6.90;0;0;0;0;42;96;54;12;5.87;108;88.89;11.11;77;105;96;87;88;121;149;170;143;144;114;93;123;108;75;59;36;30;19;4;1;1842;142;5;5;1400.13;0.18;2.04;18.0;174.0;440.0
Municipios;0210;Berrueco (El);66.347;280210;06;Sierra Norte;28.40;10.0;60.0;550.0;0.0;144.0;3008.0;0.0;102.0;772.0;0.74;28.88;45.95;54.20;37.15;23.14;11.33;4.38;15.23;22.17;30.45;45.80;9.09;0;0;0;0;12;36;24;0;4.49;36;100.00;0.00;32;42;23;34;41;27;56;70;78;62;49;51;66;51;46;32;25;23;11;2;0;821;8;0;8;195.56;0.00;195.16;0.0;46.0;260.0
Municipios;0203;Berzosa del Lozoya;82.228;280761;06;Sierra Norte;57.69;0.0;20.0;300.0;0.0;48.0;5472.0;0.0;48.0;544.0;-3.52;14.97;49.78;62.10;46.12;28.31;12.79;5.94;8.22;21.00;29.68;37.90;16.67;0;0;0;0;3;7;4;0;3.23;7;100.00;0.00;2;10;18;10;11;8;9;9;14;21;20;6;19;20;14;9;6;2;6;5;0;219;4;0;3;271.94;0.00;257.94;0.0;20.0;104.0
Municipios;0225;Boadilla del Monte;24.652;280225;05;Oeste Metropolitano;47.38;80.0;5040.0;148340.0;224.0;4752.0;110880.0;126.0;4992.0;99490.0;3.21;1361.02;38.50;44.34;23.39;11.57;5.53;1.62;19.85;34.69;42.64;55.66;-4.60;388.14;113.64;0;0;392;1373;981;57;2.21;1430;96.01;3.99;3106;5365;5747;3845;2651;2487;3452;4964;6627;6915;4655;4358;2987;1989;1911;1579;953;618;325;87;14;64635;4;0;2;730.35;0.00;729.11;62.0;1554.0;33650.0
Municipios;0231;Boalo (El);55.387;280231;11;Sierra Central;39.40;40.0;830.0;6340.0;0.0;428.0;7332.0;54.0;904.0;6876.0;2.49;210.04;40.63;48.24;26.10;12.85;5.79;1.59;18.16;29.35;37.25;51.76;-10.86;0;0;0;0;106;337;231;16;4.19;353;95.47;4.53;319;633;555;388;317;349;455;768;964;902;647;579;470;322;273;225;129;77;47;8;2;8429;27;2;27;1795.42;0.05;1795.23;44.0;404.0;2916.0
Municipios;0246;Braojos;83.276;280246;06;Sierra Norte;24.93;10.0;10.0;140.0;12.0;24.0;1436.0;8.0;12.0;1144.0;-2.75;8.50;46.69;53.77;38.21;18.87;11.79;3.77;8.02;20.28;30.66;46.23;-25.00;0;0;0;0;0;5;5;1;2.83;6;83.33;16.67;7;4;4;22;14;8;12;21;11;22;23;6;18;8;7;12;5;5;3;0;0;212;13;1;13;599.09;0.03;599.06;8.0;6.0;110.0
Municipios;0259;Brea de Tajo;65.168;280259;08;Sudeste Comunidad;44.73;30.0;20.0;1770.0;44.0;40.0;2308.0;52.0;56.0;862.0;1.10;12.27;48.80;57.92;42.81;28.60;16.03;5.28;9.11;20.22;30.78;42.08;-16.00;0;0;0;0;7;36;29;6;7.73;42;85.71;14.29;14;19;27;34;35;23;22;40;41;42;38;17;40;38;31;32;27;18;9;2;0;549;85;7;3;2532.27;0.14;92.80;30.0;28.0;170.0
Municipios;0262;Brunete;38.308;280262;05;Oeste Metropolitano;49.17;40.0;630.0;10130.0;4.0;476.0;9752.0;58.0;790.0;10586.0;1.66;223.37;40.74;46.27;27.09;13.55;6.38;2.07;15.63;28.88;39.86;53.73;-5.93;0;0;0;0;149;421;272;23;4.03;444;94.82;5.18;410;749;779;678;620;586;643;882;1102;1006;871;559;618;419;369;301;173;143;65;19;0;10992;15;1;3;3375.06;0.05;100.68;52.0;446.0;4198.0
Municipios;0278;Buitrago del Lozoya;76.377;280761;06;Sierra Norte;57.69;20.0;170.0;3700.0;0.0;248.0;5736.0;14.0;168.0;5066.0;0.10;75.24;43.53;49.18;32.24;19.09;10.80;4.76;15.46;26.00;36.90;50.82;9.52;0;0;0;0;33;87;54;5;4.68;92;94.57;5.43;74;126;114;92;108;105;131;141;179;152;129;102;128;87;75;61;57;47;30;13;3;1954;18;0;18;1331.05;0.00;1331.05;14.0;84.0;874.0
Municipios;0284;Bustarviejo;64.721;280284;06;Sierra Norte;56.13;20.0;130.0;1790.0;4.0;408.0;3452.0;22.0;172.0;2260.0;1.66;48.97;43.56;51.56;30.85;16.35;7.78;3.27;14.97;24.31;32.59;48.44;-2.53;0;0;0;0;60;147;87;7;5.61;154;95.45;4.55;90;182;142;115;95;133;175;261;317;253;222;140;177;136;100;81;43;47;33;10;0;2752;16;2;16;924.62;0.10;919.31;22.0;128.0;1008.0
Municipios;0297;Cabanillas de la Sierra;55.486;280297;06;Sierra Norte;13.81;10.0;50.0;650.0;4.0;88.0;2004.0;12.0;108.0;892.0;7.21;67.80;42.94;51.01;31.70;16.44;7.90;2.13;15.90;26.25;33.40;48.99;-7.69;0;0;0;0;9;35;26;1;3.83;36;97.22;2.78;45;57;47;50;32;35;63;83;95;86;79;47;64;54;26;22;32;10;9;1;0;937;7;0;7;633.34;0.00;597.54;8.0;30.0;298.0
Municipios;0301;Cabrera (La);60.420;280301;06;Sierra Norte;22.14;10.0;160.0;2310.0;8.0;104.0;3168.0;8.0;190.0;3156.0;2.58;130.78;43.11;49.28;30.78;16.84;8.42;3.11;14.11;25.57;35.09;50.72;1.20;0;0;0;0;51;163;112;5;5.83;168;97.02;2.98;100;168;173;159;142;134;184;269;282;254;237;141;167;137;107;80;74;55;22;11;2;2898;6;0;6;798.97;0.00;798.97;6.0;150.0;1088.0
Municipios;0318;Cadalso de los Vidrios;89.965;280318;10;Sierra Sur;47.84;70.0;440.0;1980.0;140.0;808.0;3332.0;72.0;434.0;2728.0;0.09;67.22;45.05;52.36;36.54;22.19;10.47;3.26;14.08;23.62;34.03;47.64;-18.06;0;0;0;0;89;221;132;24;7.72;245;90.20;9.80;123;181;141;166;152;183;209;229;264;245;250;149;212;183;194;149;83;51;45;7;2;3218;162;28;27;1015.73;1.02;560.34;26.0;220.0;926.0
Municipios;0323;Camarma de Esteruelas;37.479;280323;07;Nordeste Comunidad;35.15;10.0;2120.0;7220.0;0.0;3284.0;9364.0;12.0;3704.0;8180.0;2.60;221.02;39.76;44.83;24.07;11.86;4.82;1.34;16.87;29.38;39.45;55.17;-6.75;0;0;0;0;136;395;259;33;5.49;428;92.29;7.71;302;588;550;423;344;440;511;712;890;726;529;423;421;312;236;185;86;72;26;5;1;7782;30;0;0;2505.40;0.00;0.00;10.0;648.0;2596.0
Municipios;0339;Campo Real;34.635;280339;08;Sudeste Comunidad;61.75;30.0;1550.0;5430.0;112.0;1152.0;13696.0;48.0;2866.0;6834.0;0.74;108.57;40.41;43.38;25.84;13.47;6.54;2.79;17.40;27.30;38.77;56.62;-16.49;9.63;6.74;0;0;145;365;220;20;5.68;385;94.81;5.19;325;416;361;303;356;414;515;683;643;534;457;427;373;287;178;152;100;108;65;14;0;6711;160;9;13;4292.72;0.36;191.38;22.0;636.0;2414.0
Municipios;0344;Canencia;82.184;280344;06;Sierra Norte;54.18;20.0;50.0;370.0;0.0;76.0;3252.0;14.0;60.0;556.0;1.53;8.56;51.71;65.52;50.22;28.66;17.46;8.62;7.76;17.67;26.08;34.48;-4.17;0;0;0;0;4;21;17;2;5.00;23;91.30;8.70;11;13;20;26;19;20;22;17;25;46;57;12;43;33;19;24;17;22;14;2;2;464;24;2;24;1458.89;0.02;1458.82;14.0;36.0;158.0
Municipios;0357;Carabaña;53.449;280357;08;Sudeste Comunidad;47.64;20.0;240.0;1130.0;60.0;120.0;2492.0;32.0;300.0;1472.0;2.33;47.95;42.91;47.03;30.05;17.54;9.23;3.76;15.75;25.33;34.86;52.97;-7.84;0;0;0;0;45;127;82;14;6.20;141;90.07;9.93;93;137;113;106;96;122;168;246;211;177;150;130;136;101;89;71;54;44;26;15;1;2286;102;6;7;1868.15;0.12;53.33;16.0;152.0;628.0
Municipios;0360;Casarrubuelos;33.936;280360;09;Sudoeste Comunidad;5.33;10.0;1080.0;3020.0;0.0;884.0;13668.0;4.0;1362.0;3538.0;2.81;767.60;39.16;42.94;22.91;11.81;4.54;1.12;17.88;29.64;39.94;57.06;-14.72;0;0;0;0;60;178;118;19;4.85;197;90.36;9.64;202;291;252;230;197;225;313;389;466;355;245;240;210;173;125;95;45;24;18;4;0;4099;0;0;0;0;0;0;4.0;338.0;1256.0
Municipios;0376;Cenicientos;95.124;280376;10;Sierra Sur;68.25;50.0;100.0;740.0;56.0;104.0;2424.0;56.0;118.0;1390.0;0.38;30.58;48.06;56.13;43.39;27.06;15.52;6.27;11.88;21.55;31.61;43.87;-13.04;0;0;0;0;68;142;74;18;7.63;160;88.75;11.25;66;101;102;100;108;102;120;136;144;122;169;81;172;134;107;105;88;78;38;15;0;2088;248;27;56;1937.01;0.76;1390.80;46.0;62.0;484.0
Municipios;0382;Cercedilla;57.007;280382;11;Sierra Central;40.82;50.0;530.0;7330.0;12.0;496.0;11348.0;22.0;930.0;8828.0;1.66;213.98;43.94;50.81;33.60;17.96;8.95;3.50;12.95;24.27;35.44;49.19;-5.33;0;0;0;0;131;322;191;33;4.64;355;90.70;9.30;267;372;392;474;425;430;477;575;636;681;657;352;540;397;292;241;176;158;79;28;3;7652;30;1;29;798.29;0.01;797.23;14.0;368.0;2888.0
Municipios;0395;Cervera de Buitrago;82.105;280395;06;Sierra Norte;11.54;0.0;10.0;170.0;4.0;28.0;1336.0;0.0;28.0;316.0;-1.20;14.20;52.73;69.51;50.61;29.88;17.68;6.71;6.71;14.63;21.95;30.49;18.18;0;0;0;0;1;11;10;2;7.93;13;84.62;15.38;3;4;6;7;10;2;7;7;17;14;20;4;14;9;11;10;8;9;1;1;0;164;0;0;0;0;0;0;0.0;6.0;54.0
Municipios;0513;Chapinería;57.258;280513;10;Sierra Sur;25.55;20.0;200.0;1700.0;44.0;80.0;3204.0;8.0;380.0;2156.0;3.59;101.64;41.94;47.88;31.18;16.44;8.85;3.93;18.55;28.37;37.95;52.12;1.38;0;0;0;0;55;137;82;10;5.65;147;93.20;6.80;130;187;150;105;116;133;156;212;234;200;209;165;174;113;84;64;64;58;34;8;2;2598;5;0;3;306.70;0.00;297.71;8.0;176.0;788.0
Municipios;0528;Chinchón;45.592;280528;08;Sudeste Comunidad;115.79;260.0;570.0;4960.0;356.0;484.0;10112.0;334.0;1084.0;6016.0;-0.05;48.93;44.59;51.16;34.81;19.88;9.54;3.28;13.53;23.30;33.95;48.84;-3.13;0;0;0;0;122;318;196;23;6.02;341;93.26;6.74;201;297;279;275;280;324;368;476;433;494;425;269;422;329;257;205;150;104;62;19;1;5670;383;12;9;4608.05;0.38;237.44;210.0;272.0;2216.0
Municipios;0409;Ciempozuelos;35.540;280409;04;Sur Metropolitano;49.41;100.0;2730.0;27650.0;80.0;3344.0;50488.0;86.0;5132.0;32092.0;1.86;519.78;41.94;47.09;28.79;15.43;7.52;2.90;15.23;26.11;37.62;52.91;-8.12;0;0;0;0;591;1315;724;167;5.73;1482;88.73;11.27;1025;1547;1444;1349;1397;1557;1716;2210;2462;2234;1873;1339;1559;1183;847;717;469;451;210;71;12;25672;108;9;9;2361.62;0.20;246.19;78.0;1220.0;6278.0
Municipios;0416;Cobeña;34.590;280416;02;Norte Metropolitano;20.79;40.0;620.0;5750.0;16.0;552.0;7344.0;44.0;938.0;6790.0;2.37;370.11;38.48;42.98;23.42;9.97;4.48;1.74;19.37;32.51;41.66;57.02;-0.40;0;0;0;0;77;234;157;12;3.20;246;95.12;4.88;335;611;560;452;361;344;486;697;814;692;592;546;444;268;155;133;78;74;49;11;0;7702;18;0;3;1343.35;0.00;39.47;40.0;268.0;2852.0
Municipios;0468;Collado Mediano;47.487;280468;11;Sierra Central;22.19;10.0;810.0;5370.0;8.0;784.0;6312.0;8.0;784.0;6456.0;0.11;336.02;42.33;50.56;30.83;15.37;6.86;2.00;14.81;26.91;37.16;49.44;-9.74;0;0;0;0;109;354;245;26;5.07;380;93.16;6.84;293;450;485;418;396;369;395;522;724;748;646;362;508;361;274;222;141;101;40;7;1;7463;18;2;17;573.58;0.02;572.56;8.0;292.0;2832.0
Municipios;0474;Collado Villalba;42.565;280474;05;Oeste Metropolitano;25.19;180.0;3990.0;54250.0;208.0;3152.0;59736.0;132.0;5664.0;69066.0;2.19;2627.28;42.04;47.04;30.04;15.42;6.84;2.27;14.09;25.68;38.24;52.96;-6.40;0;0;0;0;1308;3299;1991;271;5.44;3570;92.41;7.59;2501;3656;3776;3901;4003;4323;4485;5268;5713;5547;5353;3180;4336;3195;2492;1885;1142;939;416;131;18;66260;7;1;5;605.48;0.05;602.41;68.0;2330.0;22008.0
Municipios;0455;Colmenar Viejo;32.965;280455;02;Norte Metropolitano;182.88;310.0;5820.0;46050.0;128.0;5480.0;55920.0;316.0;11192.0;67264.0;3.35;301.13;40.53;43.95;27.41;14.01;6.41;2.37;16.76;28.10;39.78;56.05;-7.31;1316.5;964.08;0;0;829;2045;1216;137;3.95;2182;93.72;6.28;2706;3298;3167;3083;3034;3398;4126;4842;4807;4307;3959;3231;3425;2347;1838;1374;850;742;418;132;16;55100;165;12;161;13976.40;0.39;13613.71;206.0;2094.0;17394.0
Municipios;0437;Colmenar de Oreja;57.211;280437;08;Sudeste Comunidad;126.33;160.0;1100.0;4190.0;176.0;932.0;6820.0;174.0;1282.0;5298.0;2.21;69.21;43.98;50.75;33.18;19.01;9.15;3.58;13.51;24.42;35.15;49.25;-6.93;0;0;0;0;195;495;300;42;6.21;537;92.18;7.82;290;490;505;450;433;506;534;699;819;719;651;402;589;478;384;277;211;192;100;19;2;8750;501;17;22;7955.99;0.48;1165.52;106.0;594.0;2318.0
Municipios;0421;Colmenar del Arroyo;61.175;280421;10;Sierra Sur;49.31;30.0;400.0;1490.0;4.0;436.0;5120.0;36.0;588.0;3686.0;0.77;39.63;44.33;51.13;33.62;19.40;10.03;3.79;14.18;23.23;33.78;48.87;-7.76;0;0;0;0;34;100;66;7;5.50;107;93.46;6.54;87;100;109;68;90;116;137;158;163;179;149;90;129;105;78;81;41;35;32;5;2;1954;16;1;13;2519.57;0.02;2405.17;32.0;72.0;618.0
Municipios;0442;Colmenarejo;37.111;280442;11;Sierra Central;31.49;20.0;580.0;6090.0;4.0;408.0;6300.0;16.0;872.0;10600.0;1.16;306.51;40.79;47.08;27.65;13.27;5.69;1.63;15.26;29.75;39.90;52.92;-7.69;0;0;0;0;152;420;268;24;4.66;444;94.59;5.41;302;692;734;665;516;464;521;736;944;932;791;479;598;409;323;251;141;95;43;14;5;9655;7;0;7;1727.93;0.00;1727.93;12.0;312.0;2810.0
Municipios;0480;Corpa;46.516;280480;08;Sudeste Comunidad;25.94;10.0;40.0;310.0;4.0;12.0;1008.0;6.0;16.0;386.0;3.11;30.66;41.86;44.72;28.77;16.83;7.41;3.64;17.09;25.88;35.93;55.28;-23.64;0;0;0;0;18;42;24;0;5.26;42;100.00;0.00;35;45;45;25;27;53;65;89;83;44;48;56;47;40;35;17;13;18;10;1;0;796;34;2;0;1327.01;0.03;0.00;6.0;16.0;134.0
