Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por estrato de edad. Afiliados a la Seguridad Social de 50 años y más residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0571;Fresno de Torote;109;120;131;141;161;169;196;198;230;291;
Municipios;0587;Fuenlabrada;21199;21908;22972;24064;25341;26670;27410;27727;28836;29641;
Municipios;0590;Fuente el Saz de Jarama;547;598;638;661;723;783;846;889;962;1040;
Municipios;0604;Fuentidueña de Tajo;134;143;157;162;176;188;211;209;220;233;
Municipios;0611;Galapagar;3315;3637;4012;4295;4676;5071;5343;5473;5923;6254;
Municipios;0626;Garganta de los Montes;37;43;45;43;44;41;41;44;57;52;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;26;24;25;32;37;35;35;35;44;50;
Municipios;0647;Gascones;21;23;24;26;30;28;33;38;42;44;
Municipios;0650;Getafe;14728;15306;16106;17146;18326;19701;21263;22004;23805;25574;
Municipios;0663;Griñón;885;944;1017;1090;1162;1212;1284;1331;1401;1483;
Municipios;0679;Guadalix de la Sierra;469;493;520;596;665;760;806;847;929;990;
Municipios;0685;Guadarrama;1411;1528;1643;1842;1986;2175;2296;2393;2549;2686;
Municipios;0698;Hiruela (La);2;2;3;5;3;3;3;3;3;4;
Municipios;0702;Horcajo de la Sierra-Aoslos;21;19;17;18;21;22;20;17;19;25;
Municipios;0719;Horcajuelo de la Sierra;9;8;6;7;9;10;11;13;11;14;
Municipios;0724;Hoyo de Manzanares;849;922;991;1084;1147;1239;1256;1321;1392;1425;
Municipios;0730;Humanes de Madrid;1247;1339;1433;1563;1669;1872;2015;2085;2231;2430;
Municipios;0745;Leganés;16731;17346;18070;18855;19973;21233;22508;23317;24870;26496;
Municipios;0758;Loeches;510;586;667;755;838;978;1029;1088;1171;1275;
Municipios;0761;Lozoya;53;57;65;62;68;74;69;69;80;77;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;76;79;84;104;115;126;127;131;153;170;
Municipios;0783;Madarcos;12;13;11;12;12;10;13;15;13;15;
Municipios;0796;Madrid;347010;362084;381132;400267;424082;448662;467885;474664;498488;521269;
Municipios;0800;Majadahonda;7363;7683;8121;8579;9153;9748;10293;10667;11265;11844;
Municipios;0822;Manzanares el Real;596;656;722;796;918;1011;1110;1198;1283;1382;
Municipios;0838;Meco;871;983;1093;1226;1403;1548;1641;1733;1902;2000;
Municipios;0843;Mejorada del Campo;2117;2228;2406;2550;2775;2954;3077;3079;3209;3341;
Municipios;0856;Miraflores de la Sierra;457;496;538;611;671;730;807;872;926;998;
Municipios;0869;Molar (El);565;615;647;720;818;889;986;1012;1079;1182;
Municipios;0875;Molinos (Los);415;434;472;523;575;621;652;676;707;710;
Municipios;0881;Montejo de la Sierra;30;32;32;31;35;41;45;43;49;50;
Municipios;0894;Moraleja de Enmedio;436;475;512;564;600;644;672;682;727;769;
Municipios;0908;Moralzarzal;914;1004;1153;1273;1415;1591;1740;1867;2043;2212;
Municipios;0915;Morata de Tajuña;531;568;607;676;702;759;820;830;876;967;
Municipios;0920;Móstoles;21835;21992;22512;23019;23771;24741;25272;25294;26296;27298;
Municipios;0936;Navacerrada;276;278;309;326;358;379;389;416;451;471;
Municipios;0941;Navalafuente;97;108;115;127;146;162;173;166;188;204;
Municipios;0954;Navalagamella;140;151;183;209;214;267;285;318;319;369;
Municipios;0967;Navalcarnero;1634;1785;1981;2267;2482;2710;2911;3085;3396;3664;
Municipios;0973;Navarredonda y San Mamés;15;15;16;14;15;17;19;19;22;19;
Municipios;0992;Navas del Rey;159;157;168;198;216;245;272;283;291;319;
Municipios;1006;Nuevo Baztán;564;619;658;706;791;852;886;900;945;1012;
Municipios;1013;Olmeda de las Fuentes;33;32;30;33;36;38;44;48;52;51;
Municipios;1028;Orusco de Tajuña;68;76;84;103;98;108;111;120;133;156;
Municipios;1049;Paracuellos de Jarama;1217;1335;1502;1700;1948;2137;2452;2733;3111;3487;
Municipios;1065;Parla;8211;8620;9056;9685;10475;11434;12227;12625;13730;14867;
Municipios;1071;Patones;56;51;53;47;52;50;59;55;58;62;
Municipios;1087;Pedrezuela;322;368;386;441;511;582;639;701;750;820;
Municipios;1090;Pelayos de la Presa;151;175;197;198;209;246;255;259;281;299;
Municipios;1104;Perales de Tajuña;210;220;245;258;267;298;318;353;370;399;
Municipios;1111;Pezuela de las Torres;43;43;50;54;62;73;79;69;76;88;
Municipios;1126;Pinilla del Valle;12;13;15;18;19;19;23;23;26;25;
Municipios;1132;Pinto;3509;3723;4039;4448;4788;5294;5769;6025;6542;7059;
Municipios;1147;Piñuécar-Gandullas;13;14;19;24;27;32;30;31;32;36;
Municipios;1150;Pozuelo de Alarcón;10050;10625;11208;11746;12389;12998;13575;13989;14580;15283;
Municipios;1163;Pozuelo del Rey;61;72;75;84;93;111;116;122;137;147;
Municipios;1179;Prádena del Rincón;11;11;13;12;14;12;12;12;10;17;
Municipios;1185;Puebla de la Sierra;3;4;8;5;5;4;4;4;5;7;
Municipios;9020;Puentes Viejas;53;57;59;65;82;93;105;103;114;104;
Municipios;1198;Quijorna;179;201;235;268;298;355;407;445;499;544;
Municipios;1202;Rascafría;202;176;200;220;234;251;255;262;269;276;
Municipios;1219;Redueña;15;14;18;21;23;25;29;36;40;42;
Municipios;1224;Ribatejada;43;45;36;42;55;70;85;89;98;106;
Municipios;1230;Rivas-Vaciamadrid;8050;8723;9470;10242;11059;11901;12522;12776;13434;14232;
Municipios;1245;Robledillo de la Jara;5;4;4;4;4;5;7;8;8;10;
Municipios;1258;Robledo de Chavela;287;303;334;368;412;460;485;502;559;589;
Municipios;1261;Robregordo;6;6;5;3;3;2;3;4;3;2;
Municipios;1277;Rozas de Madrid (Las);9085;9649;10348;10971;11665;12556;13448;14035;14922;15845;
Municipios;1283;Rozas de Puerto Real;32;33;32;32;37;37;43;39;46;50;
Municipios;1296;San Agustín del Guadalix;1015;1130;1280;1400;1564;1710;1815;1886;2006;2169;
Municipios;1300;San Fernando de Henares;4690;4999;5321;5693;5997;6324;6533;6573;6750;6875;
Municipios;1317;San Lorenzo de El Escorial;1765;1926;2052;2186;2370;2538;2658;2730;2862;2980;
Municipios;1338;San Martín de Valdeiglesias;589;642;678;715;807;877;937;966;1023;1055;
Municipios;1322;San Martín de la Vega;1239;1387;1550;1679;1863;2095;2268;2327;2463;2628;
Municipios;1343;San Sebastián de los Reyes;8427;8812;9359;9994;10559;11346;11953;12262;13030;13981;
Municipios;1356;Santa María de la Alameda;115;121;130;129;137;149;170;175;179;193;
Municipios;1369;Santorcaz;37;45;61;67;79;81;85;95;110;108;
Municipios;1375;Santos de la Humosa (Los);113;112;122;137;151;163;202;224;233;251;
Municipios;1381;Serna del Monte (La);23;23;20;17;21;20;19;21;20;19;
Municipios;1408;Serranillos del Valle;299;309;349;409;466;497;544;571;597;645;
Municipios;1415;Sevilla la Nueva;578;643;723;822;922;1025;1116;1189;1295;1415;
Municipios;1436;Somosierra;7;7;10;11;10;12;10;13;13;14;
Municipios;1441;Soto del Real;901;951;1054;1134;1228;1325;1411;1417;1485;1577;
Municipios;1454;Talamanca de Jarama;203;220;254;302;328;352;388;387;430;499;
Municipios;1467;Tielmes;202;219;221;243;245;258;253;271;286;313;
Municipios;1473;Titulcia;95;111;113;135;156;163;177;183;195;187;
Municipios;1489;Torrejón de Ardoz;10802;11180;11787;12610;13544;14508;15489;15879;16930;17938;
Municipios;1505;Torrejón de Velasco;276;318;347;394;429;473;490;532;600;653;
Municipios;1492;Torrejón de la Calzada;630;678;747;775;853;946;979;1019;1086;1165;
Municipios;1512;Torrelaguna;389;404;433;447;483;537;572;604;671;707;
Municipios;1527;Torrelodones;2361;2575;2773;2918;3145;3383;3632;3781;3992;4184;
Municipios;1533;Torremocha de Jarama;57;71;73;81;83;95;99;105;107;112;
Municipios;1548;Torres de la Alameda;576;614;661;741;802;890;932;958;1026;1065;
Municipios;9036;Tres Cantos;5395;5708;6023;6350;6615;6839;7084;7170;7415;7690;
Municipios;1551;Valdaracete;43;46;37;45;51;50;53;59;64;72;
Municipios;1564;Valdeavero;78;83;99;106;117;125;128;134;131;160;
Municipios;1570;Valdelaguna;59;49;53;59;64;66;65;73;86;86;
Municipios;1586;Valdemanco;59;64;67;63;74;81;95;101;114;122;
Municipios;1599;Valdemaqueda;57;63;64;73;78;96;92;91;105;117;
Municipios;1603;Valdemorillo;1037;1163;1255;1359;1443;1565;1722;1884;2088;2250;
Municipios;1610;Valdemoro;3903;4338;4915;5548;6244;7038;7801;8385;9300;10293;
Municipios;1625;Valdeolmos-Alalpardo;301;324;345;379;400;442;482;492;531;582;
Municipios;1631;Valdepiélagos;30;36;47;56;63;68;76;73;80;91;
