Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;4821;4705;4770;4745
Zonas Estadísticas;01;Municipio de Madrid ;1499;1446;1520;1539
Zonas Estadísticas;02;Norte Metropolitano ;284;300;300;287
Zonas Estadísticas;03;Este Metropolitano  ;236;233;230;224
Zonas Estadísticas;04;Sur Metropolitano   ;582;587;556;556
Zonas Estadísticas;05;Oeste Metropolitano ;309;306;320;328
Zonas Estadísticas;06;Sierra Norte        ;261;243;251;243
Zonas Estadísticas;07;Nordeste Comunidad  ;151;150;153;147
Zonas Estadísticas;08;Sudeste Comunidad   ;664;621;630;635
Zonas Estadísticas;09;Sudoeste Comunidad  ;416;415;394;382
Zonas Estadísticas;10;Sierra Sur          ;187;179;177;170
Zonas Estadísticas;11;Sierra Central      ;232;225;239;234
Municipios;0014;Acebeda (La);0;0;0;0
Municipios;0029;Ajalvir;10;12;11;11
Municipios;0035;Alameda del Valle;5;5;5;3
Municipios;0040;Alamo (El);14;13;18;17
Municipios;0053;Alcalá de Henares;64;59;62;56
Municipios;0066;Alcobendas;51;58;63;66
Municipios;0072;Alcorcón;36;28;28;24
Municipios;0088;Aldea del Fresno;23;22;22;25
Municipios;0091;Algete;26;27;27;28
Municipios;0105;Alpedrete;6;7;6;8
Municipios;0112;Ambite;6;6;6;7
Municipios;0127;Anchuelo;8;8;8;6
Municipios;0133;Aranjuez;99;100;96;98
Municipios;0148;Arganda del Rey;39;45;40;37
Municipios;0151;Arroyomolinos;10;9;11;8
Municipios;0164;Atazar (El);0;0;0;0
Municipios;0170;Batres;1;1;1;2
Municipios;0186;Becerril de la Sierra;9;8;8;7
Municipios;0199;Belmonte de Tajo;9;8;7;9
Municipios;0210;Berrueco (El);0;0;0;0
Municipios;0203;Berzosa del Lozoya;1;0;0;0
Municipios;0225;Boadilla del Monte;21;23;29;31
Municipios;0231;Boalo (El);24;22;22;22
Municipios;0246;Braojos;6;5;4;4
Municipios;0259;Brea de Tajo;15;14;15;15
Municipios;0262;Brunete;23;25;25;26
Municipios;0278;Buitrago del Lozoya;10;7;8;7
Municipios;0284;Bustarviejo;16;16;14;11
Municipios;0297;Cabanillas de la Sierra;5;5;4;4
Municipios;0301;Cabrera (La);2;1;3;3
Municipios;0318;Cadalso de los Vidrios;14;16;15;13
Municipios;0323;Camarma de Esteruelas;8;11;8;5
Municipios;0339;Campo Real;9;10;11;11
Municipios;0344;Canencia;8;8;8;7
Municipios;0357;Carabaña;11;9;8;8
Municipios;0360;Casarrubuelos;2;2;2;2
Municipios;0376;Cenicientos;26;27;24;23
Municipios;0382;Cercedilla;8;6;6;7
Municipios;0395;Cervera de Buitrago;0;0;0;0
Municipios;0513;Chapinería;4;5;4;4
Municipios;0528;Chinchón;111;105;103;105
Municipios;0409;Ciempozuelos;44;42;40;39
Municipios;0416;Cobeña;18;19;18;20
Municipios;0468;Collado Mediano;3;3;4;4
Municipios;0474;Collado Villalba;38;38;32;34
Municipios;0455;Colmenar Viejo;112;112;110;103
Municipios;0437;Colmenar de Oreja;54;51;55;53
Municipios;0421;Colmenar del Arroyo;15;14;14;16
Municipios;0442;Colmenarejo;5;7;8;6
Municipios;0480;Corpa;2;2;2;3
Municipios;0493;Coslada;19;17;19;16
Municipios;0506;Cubas de la Sagra;9;6;5;7
Municipios;0534;Daganzo de Arriba;21;20;19;19
Municipios;0549;Escorial (El);31;30;32;31
Municipios;0552;Estremera;24;23;24;24
Municipios;0565;Fresnedillas de la Oliva;6;5;5;4
Municipios;0571;Fresno de Torote;5;5;7;5
Municipios;0587;Fuenlabrada;79;91;88;93
Municipios;0590;Fuente el Saz de Jarama;27;24;27;22
Municipios;0604;Fuentidueña de Tajo;26;26;27;27
Municipios;0611;Galapagar;36;32;33;28
Municipios;0626;Garganta de los Montes;6;7;7;7
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;4;4;4
Municipios;0647;Gascones;7;6;7;7
Municipios;0650;Getafe;63;59;55;56
Municipios;0663;Griñón;18;18;15;17
Municipios;0679;Guadalix de la Sierra;43;40;37;42
Municipios;0685;Guadarrama;17;17;25;22
Municipios;0698;Hiruela (La);0;0;0;0
Municipios;0702;Horcajo de la Sierra-Aoslos;7;7;7;6
Municipios;0719;Horcajuelo de la Sierra;3;3;3;3
Municipios;0724;Hoyo de Manzanares;10;8;8;7
Municipios;0730;Humanes de Madrid;21;20;20;22
Municipios;0745;Leganés;35;43;38;30
Municipios;0758;Loeches;7;7;8;9
Municipios;0761;Lozoya;5;4;4;4
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5;5;7;7
Municipios;0783;Madarcos;1;2;3;1
Municipios;0796;Madrid;1499;1446;1520;1539
Municipios;0800;Majadahonda;37;37;41;42
Municipios;0822;Manzanares el Real;12;14;15;16
Municipios;0838;Meco;10;11;11;13
Municipios;0843;Mejorada del Campo;9;7;8;5
Municipios;0856;Miraflores de la Sierra;17;16;16;16
Municipios;0869;Molar (El);20;19;17;20
Municipios;0875;Molinos (Los);10;8;10;9
Municipios;0881;Montejo de la Sierra;7;7;7;5
Municipios;0894;Moraleja de Enmedio;13;11;10;10
Municipios;0908;Moralzarzal;15;11;13;12
Municipios;0915;Morata de Tajuña;53;50;59;56
Municipios;0920;Móstoles;57;54;43;47
Municipios;0936;Navacerrada;1;1;0;0
Municipios;0941;Navalafuente;10;8;10;9
Municipios;0954;Navalagamella;13;12;13;12
Municipios;0967;Navalcarnero;40;47;43;43
Municipios;0973;Navarredonda y San Mamés;3;3;3;3
Municipios;0992;Navas del Rey;7;7;9;8
Municipios;1006;Nuevo Baztán;6;5;6;6
Municipios;1013;Olmeda de las Fuentes;4;4;6;6
Municipios;1028;Orusco de Tajuña;4;4;3;4
Municipios;1049;Paracuellos de Jarama;13;12;10;11
Municipios;1065;Parla;39;42;38;34
Municipios;1071;Patones;1;1;4;4
Municipios;1087;Pedrezuela;11;10;10;7
Municipios;1090;Pelayos de la Presa;4;4;4;1
Municipios;1104;Perales de Tajuña;11;10;11;11
Municipios;1111;Pezuela de las Torres;17;18;14;16
Municipios;1126;Pinilla del Valle;1;1;1;1
Municipios;1132;Pinto;25;25;24;24
Municipios;1147;Piñuécar-Gandullas;5;5;5;6
Municipios;1150;Pozuelo de Alarcón;63;61;65;67
Municipios;1163;Pozuelo del Rey;8;8;8;8
Municipios;1179;Prádena del Rincón;3;3;6;5
Municipios;1185;Puebla de la Sierra;2;1;1;1
Municipios;9020;Puentes Viejas;4;4;5;5
Municipios;1198;Quijorna;13;9;8;10
Municipios;1202;Rascafría;25;26;26;29
Municipios;1219;Redueña;4;3;3;2
Municipios;1224;Ribatejada;3;3;4;5
Municipios;1230;Rivas-Vaciamadrid;23;21;24;25
Municipios;1245;Robledillo de la Jara;0;0;0;0
Municipios;1258;Robledo de Chavela;32;29;31;30
Municipios;1261;Robregordo;0;0;0;0
Municipios;1277;Rozas de Madrid (Las);29;33;38;36
Municipios;1283;Rozas de Puerto Real;3;3;4;4
Municipios;1296;San Agustín del Guadalix;10;12;15;12
Municipios;1300;San Fernando de Henares;13;18;14;12
Municipios;1317;San Lorenzo de El Escorial;25;31;27;25
Municipios;1338;San Martín de Valdeiglesias;21;21;19;19
Municipios;1322;San Martín de la Vega;61;57;59;64
Municipios;1343;San Sebastián de los Reyes;48;56;50;47
Municipios;1356;Santa María de la Alameda;21;19;19;20
Municipios;1369;Santorcaz;6;6;7;7
Municipios;1375;Santos de la Humosa (Los);8;7;7;8
Municipios;1381;Serna del Monte (La);5;5;5;4
Municipios;1408;Serranillos del Valle;7;7;5;6
Municipios;1415;Sevilla la Nueva;8;8;10;10
Municipios;1436;Somosierra;1;1;1;1
Municipios;1441;Soto del Real;15;13;12;13
Municipios;1454;Talamanca de Jarama;11;11;11;11
Municipios;1467;Tielmes;14;16;17;13
Municipios;1473;Titulcia;7;6;5;5
Municipios;1489;Torrejón de Ardoz;40;37;36;44
Municipios;1505;Torrejón de Velasco;32;32;28;26
Municipios;1492;Torrejón de la Calzada;8;9;9;9
Municipios;1512;Torrelaguna;15;15;16;16
Municipios;1527;Torrelodones;8;9;9;13
Municipios;1533;Torremocha de Jarama;10;9;8;8
Municipios;1548;Torres de la Alameda;16;14;15;17
Municipios;9036;Tres Cantos;19;16;17;11
Municipios;1551;Valdaracete;12;10;10;10
Municipios;1564;Valdeavero;13;12;12;13
Municipios;1570;Valdelaguna;7;6;6;6
Municipios;1586;Valdemanco;1;0;0;0
Municipios;1599;Valdemaqueda;11;7;8;8
Municipios;1603;Valdemorillo;21;20;25;26
Municipios;1610;Valdemoro;23;26;27;25
Municipios;1625;Valdeolmos-Alalpardo;10;10;11;10
Municipios;1631;Valdepiélagos;8;7;6;5
Municipios;1646;Valdetorres de Jarama;15;17;20;19
Municipios;1659;Valdilecha;29;29;28;28
Municipios;1662;Valverde de Alcalá;4;4;4;3
Municipios;1678;Velilla de San Antonio;6;5;6;7
Municipios;1684;Vellón (El);11;9;8;10
Municipios;1697;Venturada;4;4;4;4
Municipios;1718;Villa del Prado;164;175;163;149
Municipios;1701;Villaconejos;84;62;61;64
Municipios;1723;Villalbilla;7;9;7;7
Municipios;1739;Villamanrique de Tajo;22;19;19;19
Municipios;1744;Villamanta;38;32;30;27
Municipios;1757;Villamantilla;6;4;5;4
Municipios;1782;Villanueva de Perales;10;10;9;10
Municipios;1760;Villanueva de la Cañada;19;20;20;21
Municipios;1776;Villanueva del Pardillo;13;11;10;10
Municipios;1795;Villar del Olmo;4;5;5;4
Municipios;1809;Villarejo de Salvanés;59;60;58;60
Municipios;1816;Villaviciosa de Odón;25;20;20;23
Municipios;1821;Villavieja del Lozoya;3;3;3;3
Municipios;1837;Zarzalejo;10;10;8;8
