Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1132;Pinto;1263;1253;1269;1258
Municipios;1147;Piñuécar-Gandullas;5;6;5;6
Municipios;1150;Pozuelo de Alarcón;959;967;944;971
Municipios;1163;Pozuelo del Rey;22;25;25;23
Municipios;1179;Prádena del Rincón;9;7;9;10
Municipios;1185;Puebla de la Sierra;1;1;1;1
Municipios;9020;Puentes Viejas;15;18;17;17
Municipios;1198;Quijorna;50;49;47;51
Municipios;1202;Rascafría;55;60;54;54
Municipios;1219;Redueña;6;6;5;5
Municipios;1224;Ribatejada;18;19;19;20
Municipios;1230;Rivas-Vaciamadrid;1576;1585;1669;1694
Municipios;1245;Robledillo de la Jara;1;1;2;2
Municipios;1258;Robledo de Chavela;79;87;88;88
Municipios;1261;Robregordo;1;2;1;1
Municipios;1277;Rozas de Madrid (Las);1117;1131;1134;1186
Municipios;1283;Rozas de Puerto Real;7;8;10;8
Municipios;1296;San Agustín del Guadalix;243;236;233;234
Municipios;1300;San Fernando de Henares;1197;1202;1231;1224
Municipios;1317;San Lorenzo de El Escorial;240;244;248;255
Municipios;1338;San Martín de Valdeiglesias;223;226;241;244
Municipios;1322;San Martín de la Vega;541;529;544;583
Municipios;1343;San Sebastián de los Reyes;1744;1719;1748;1788
Municipios;1356;Santa María de la Alameda;61;61;62;63
Municipios;1369;Santorcaz;22;25;26;25
Municipios;1375;Santos de la Humosa (Los);47;53;46;45
Municipios;1381;Serna del Monte (La);2;2;2;2
Municipios;1408;Serranillos del Valle;191;193;176;183
Municipios;1415;Sevilla la Nueva;231;227;232;234
Municipios;1436;Somosierra;1;1;1;1
Municipios;1441;Soto del Real;144;151;151;142
Municipios;1454;Talamanca de Jarama;88;82;82;84
Municipios;1467;Tielmes;75;81;83;69
Municipios;1473;Titulcia;44;38;35;34
Municipios;1489;Torrejón de Ardoz;2430;2458;2452;2449
Municipios;1505;Torrejón de Velasco;149;149;159;156
Municipios;1492;Torrejón de la Calzada;414;398;403;386
Municipios;1512;Torrelaguna;87;95;99;102
Municipios;1527;Torrelodones;239;263;287;274
Municipios;1533;Torremocha de Jarama;27;29;29;31
Municipios;1548;Torres de la Alameda;396;395;383;376
Municipios;9036;Tres Cantos;440;453;465;469
Municipios;1551;Valdaracete;15;16;17;14
Municipios;1564;Valdeavero;73;69;72;73
Municipios;1570;Valdelaguna;31;28;29;28
Municipios;1586;Valdemanco;32;32;36;35
Municipios;1599;Valdemaqueda;42;38;40;41
Municipios;1603;Valdemorillo;264;285;287;295
Municipios;1610;Valdemoro;1919;1851;1895;1899
Municipios;1625;Valdeolmos-Alalpardo;57;53;53;57
Municipios;1631;Valdepiélagos;22;21;23;25
Municipios;1646;Valdetorres de Jarama;122;108;114;128
Municipios;1659;Valdilecha;84;88;83;83
Municipios;1662;Valverde de Alcalá;7;7;7;7
Municipios;1678;Velilla de San Antonio;467;462;468;460
Municipios;1684;Vellón (El);51;49;52;52
Municipios;1697;Venturada;41;44;44;51
Municipios;1718;Villa del Prado;130;131;138;135
Municipios;1701;Villaconejos;87;106;100;92
Municipios;1723;Villalbilla;370;366;378;360
Municipios;1739;Villamanrique de Tajo;14;14;15;13
Municipios;1744;Villamanta;110;109;107;105
Municipios;1757;Villamantilla;41;40;48;47
Municipios;1782;Villanueva de Perales;31;30;28;30
Municipios;1760;Villanueva de la Cañada;235;242;269;281
Municipios;1776;Villanueva del Pardillo;263;263;289;285
Municipios;1795;Villar del Olmo;71;72;74;86
Municipios;1809;Villarejo de Salvanés;252;254;242;240
Municipios;1816;Villaviciosa de Odón;555;557;561;554
Municipios;1821;Villavieja del Lozoya;9;10;7;7
Municipios;1837;Zarzalejo;61;62;63;56
