Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Contratos temporales registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0409;Ciempozuelos;5688;4326;4668;3998;4516;5078;5402;4699;7163;7305;6984;6367;7142;5549;4343;
Municipios;0416;Cobeña;595;624;1572;1246;408;442;589;654;907;792;794;434;659;480;369;
Municipios;0468;Collado Mediano;349;341;1475;979;289;310;424;597;536;592;633;320;431;323;320;
Municipios;0474;Collado Villalba;4478;4621;4994;4902;4839;5311;6604;6699;7498;8187;9312;5211;7196;4333;3371;
Municipios;0455;Colmenar Viejo;4489;5283;4795;4953;4556;3589;4453;4498;5573;6521;7968;5978;5795;4194;3395;
Municipios;0437;Colmenar de Oreja;371;330;720;470;626;333;339;448;498;448;425;417;647;456;419;
Municipios;0421;Colmenar del Arroyo;437;496;657;554;607;412;405;375;404;340;644;313;377;582;276;
Municipios;0442;Colmenarejo;407;354;375;300;349;339;323;367;284;450;492;507;816;442;370;
Municipios;0480;Corpa;55;48;41;47;46;28;36;42;38;31;34;34;98;46;49;
Municipios;0493;Coslada;13120;15671;14777;12041;10116;11055;12204;14328;15552;20383;20242;24096;29333;21460;9944;
Municipios;0506;Cubas de la Sagra;392;202;243;348;430;610;431;347;262;253;504;270;451;359;1707;
Municipios;0534;Daganzo de Arriba;1936;2332;2238;1902;2987;2183;2347;1617;1452;1252;1601;949;1801;1038;872;
Municipios;0549;Escorial (El);1141;1172;1013;1007;974;1221;1501;1981;2827;2804;1667;1108;1411;1090;836;
Municipios;0552;Estremera;113;83;110;112;157;195;181;173;197;195;248;215;179;98;95;
Municipios;0565;Fresnedillas de la Oliva;68;112;74;43;118;80;132;70;99;282;136;64;86;65;65;
Municipios;0571;Fresno de Torote;167;218;186;85;109;70;144;242;113;100;61;52;52;58;34;
Municipios;0587;Fuenlabrada;17662;17995;17469;15435;15868;15115;21127;20448;23173;24198;26110;23054;33849;19246;11454;
Municipios;0590;Fuente el Saz de Jarama;378;429;485;623;778;356;335;576;412;396;450;315;644;984;248;
Municipios;0604;Fuentidueña de Tajo;208;270;303;310;269;311;200;192;155;422;180;110;201;107;51;
Municipios;0611;Galapagar;1201;964;1209;1413;1285;1560;1984;1979;1597;1857;2164;1613;1875;1246;2407;
