Población.Otros datos de población.Indicadores de población. Densidad de población. Unidad: Habitantes/km2. Fuente: Dirección General de Economía de la Comunidad de Madrid.;
Serie;;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0035;Alameda del Valle;5.96;5.80;5.80;5.76;5.76;5.76;6.12;6.64;7.00;6.84;6.68;6.64;6.48;7.44;7.92;7.72;7.52;7.80;8.24;9.64;9.44;9.76;10.00;9.48;9.29;9.56;9.44;9.63;8.70;8.43;8.08;7.73;7.58;7.77;7.93;9.63;9.40;10.68;
Municipios;0040;Alamo (El);87.94;88.43;91.26;94.30;99.73;107.40;130.94;134.48;142.74;154.62;171.12;173.90;180.63;198.61;210.63;222.16;235.72;260.54;281.94;297.88;312.48;327.25;341.44;353.92;367.06;385.05;395.32;401.86;405.68;407.31;409.68;415.67;424.94;430.26;448.07;451.89;458.88;467.88;
Municipios;0053;Alcalá de Henares;1698.78;1645.02;1657.01;1710.62;1738.57;1773.64;1817.05;1840.15;1871.61;1895.67;1903.36;1863.01;1868.08;1875.29;1897.34;1966.00;2047.91;2149.59;2184.09;2255.46;2296.24;2265.94;2322.06;2332.66;2319.81;2314.88;2317.58;2327.80;2281.71;2258.78;2226.47;2208.32;2201.97;2223.54;2245.28;2222.64;2227.62;2254.21;
Municipios;0066;Alcobendas;1486.29;1560.60;1589.82;1632.33;1680.44;1739.89;1749.44;1778.67;1829.27;1866.44;1899.24;1845.13;1914.36;1953.87;1991.38;2056.38;2113.42;2187.04;2229.04;2292.20;2313.73;2354.47;2389.20;2424.53;2431.63;2423.35;2452.84;2478.37;2478.20;2497.35;2503.64;2537.31;2563.22;2585.38;2615.79;2582.17;2583.06;2639.08;
Municipios;0072;Alcorcón;4275.96;4091.51;4108.25;4148.25;4172.73;4186.35;4144.27;4144.99;4170.30;4218.55;4259.11;4197.77;4272.11;4215.07;4291.87;4385.37;4438.99;4582.82;4646.65;4822.67;4885.25;4942.23;4985.07;4984.18;5008.90;5015.57;5038.93;5052.77;5069.52;4974.29;4980.77;5004.20;5044.70;5074.82;5130.48;5106.40;5102.23;5144.20;
Municipios;0088;Aldea del Fresno;18.59;19.07;19.31;19.86;20.15;20.39;22.01;22.53;23.26;23.90;24.83;23.86;25.25;26.95;27.97;29.02;31.20;34.81;36.47;39.21;41.00;43.36;46.80;47.43;48.04;48.96;49.51;49.80;48.91;49.04;49.99;50.61;52.20;54.90;57.52;59.55;62.51;65.93;
Municipios;0091;Algete;186.07;196.33;203.93;218.58;239.39;256.31;264.33;277.99;302.40;318.28;335.38;325.46;355.57;370.26;388.68;405.28;422.45;448.42;465.07;463.27;479.58;486.25;510.42;533.09;539.68;545.48;542.42;530.59;529.70;530.91;535.20;538.05;539.47;543.11;549.78;545.56;545.56;551.67;
Municipios;0105;Alpedrete;236.19;218.25;221.75;233.33;246.67;261.43;272.22;284.60;318.97;343.81;377.54;413.57;462.22;502.94;578.25;644.52;699.29;764.05;812.30;872.14;919.68;953.65;980.71;1015.63;1038.91;1056.91;1063.93;1104.66;1105.37;1124.55;1137.88;1123.91;1133.70;1150.36;1171.19;1197.95;1198.50;1219.57;
Municipios;0112;Ambite;13.62;12.31;12.23;12.04;11.85;12.04;11.04;10.88;10.81;10.96;11.50;11.15;11.65;11.58;11.81;11.62;12.00;12.42;13.62;14.69;15.15;17.96;19.69;21.42;21.53;22.15;22.89;22.70;23.51;23.93;23.04;26.22;23.28;22.93;23.59;25.68;25.56;26.72;
Municipios;0127;Anchuelo;23.47;23.38;23.33;23.29;23.29;23.89;24.68;24.54;25.00;25.79;26.16;27.59;27.41;26.67;26.81;26.81;27.31;26.57;25.74;35.97;39.63;42.41;44.40;46.53;50.12;52.52;54.97;55.95;56.04;55.53;56.22;57.29;58.86;58.82;59.51;63.17;62.80;63.81;
Municipios;0133;Aranjuez;188.85;182.43;184.38;187.44;188.22;190.15;179.82;182.17;190.03;193.47;196.01;193.44;192.34;195.55;209.69;212.13;216.44;221.56;224.65;232.29;244.75;261.34;276.17;285.85;291.03;294.73;300.67;305.16;305.50;307.49;306.24;307.73;312.08;315.10;318.93;318.00;317.90;322.45;
Municipios;0148;Arganda del Rey;309.97;299.52;305.71;311.94;318.92;327.78;327.64;332.79;348.71;357.16;363.95;366.68;373.49;379.31;384.72;403.48;425.91;454.83;480.16;519.59;565.68;594.39;631.23;646.04;661.54;675.05;691.06;696.97;688.58;678.95;675.50;670.08;679.21;689.60;705.65;701.13;713.70;729.87;
Municipios;0151;Arroyomolinos;12.71;14.01;14.40;15.56;23.57;33.00;59.71;64.01;74.64;86.14;106.43;130.87;145.75;149.81;184.73;227.05;262.22;295.46;342.95;398.36;435.75;472.03;570.24;668.36;778.81;938.15;1080.06;1168.33;1219.32;1290.05;1354.01;1399.71;1444.11;1508.70;1582.65;1622.15;1679.58;1734.84;
Municipios;0164;Atazar (El);2.51;3.12;3.08;3.05;3.02;2.98;2.98;2.92;2.98;3.12;3.42;3.25;3.22;3.02;2.95;3.12;3.42;3.42;3.56;3.83;3.93;3.93;3.69;3.69;3.59;3.59;3.59;3.62;3.45;3.38;3.34;3.41;3.27;3.13;3.16;3.83;3.76;3.66;
Municipios;0170;Batres;8.89;11.99;12.18;12.73;13.89;15.05;16.25;17.50;20.28;24.86;28.43;29.58;33.80;36.44;39.07;42.59;48.47;57.59;60.93;63.56;65.60;64.95;66.30;67.87;69.60;71.00;72.59;72.87;73.48;73.34;73.99;75.30;76.61;78.77;81.85;85.03;85.97;87.98;
Municipios;0186;Becerril de la Sierra;53.36;55.66;55.83;56.58;56.78;58.71;64.58;67.66;74.31;80.85;86.37;91.76;97.56;103.56;110.03;121.05;131.49;138.64;147.56;155.80;161.42;165.66;170.24;172.31;173.94;176.37;180.55;181.66;180.41;181.93;183.38;183.99;187.59;192.65;198.08;205.53;208.50;211.29;
Municipios;0199;Belmonte de Tajo;48.73;46.71;46.71;45.78;45.32;45.65;48.06;48.27;48.90;49.49;48.99;48.19;47.72;48.06;48.86;48.86;48.90;48.27;49.62;50.46;53.42;55.95;58.27;61.22;61.77;63.06;65.59;66.04;66.04;67.46;66.63;67.58;67.54;69.07;69.86;72.60;73.72;76.46;
Municipios;0210;Berrueco (El);7.50;8.06;8.23;8.23;8.23;8.54;9.69;9.65;10.00;10.49;11.63;11.04;11.91;10.73;10.94;11.60;13.58;16.08;16.63;18.47;18.85;20.49;20.87;20.31;21.28;21.63;21.32;22.27;22.30;21.74;26.45;26.13;26.06;26.73;27.33;28.49;28.67;28.88;
Municipios;0203;Berzosa del Lozoya;4.06;4.55;4.55;4.90;4.97;5.10;5.17;6.43;6.43;6.22;7.55;8.11;6.99;6.99;8.25;9.16;10.63;11.19;12.03;12.66;12.52;13.29;16.36;15.80;14.22;15.99;15.52;14.63;12.92;13.81;13.53;13.88;13.53;14.01;15.17;14.56;15.52;14.97;
Municipios;0225;Boadilla del Monte;158.14;176.53;184.19;218.26;254.58;288.75;335.25;345.19;368.94;381.38;390.89;377.42;400.72;408.90;438.26;501.14;575.11;655.08;695.19;753.98;803.52;843.03;885.74;919.79;941.44;971.80;990.46;1002.04;1007.62;1027.06;1047.84;1083.66;1108.15;1149.08;1194.65;1242.37;1318.70;1361.02;
Municipios;0231;Boalo (El);36.31;37.42;37.90;39.85;40.93;40.66;42.65;45.33;49.92;52.40;57.75;61.89;67.80;71.84;78.08;87.05;96.21;108.16;118.36;131.41;140.83;145.20;157.15;161.94;168.14;173.71;178.24;178.57;176.85;181.28;183.00;183.35;184.38;187.09;190.95;199.50;204.93;210.04;
Municipios;0246;Braojos;5.86;5.14;5.22;5.26;5.38;5.26;5.18;5.10;5.42;5.62;5.66;6.22;5.90;6.18;6.43;6.47;7.19;7.63;7.67;7.51;7.07;7.03;7.31;7.63;7.66;8.38;8.18;8.42;7.98;8.14;8.06;8.34;8.22;8.22;8.26;8.74;8.74;8.50;
Municipios;0259;Brea de Tajo;11.15;11.51;11.42;11.13;11.02;11.35;10.38;10.56;10.88;10.97;11.17;11.04;10.84;10.47;10.34;10.11;10.00;10.54;10.72;10.38;11.65;11.81;11.76;11.63;12.42;12.40;12.78;12.58;12.69;12.51;12.51;12.04;11.73;11.71;11.30;11.82;12.13;12.27;
Municipios;0262;Brunete;25.52;32.92;33.39;38.49;41.39;45.83;50.76;52.78;56.09;60.61;67.67;80.57;89.04;100.84;103.89;110.72;127.12;142.82;150.67;165.56;176.79;183.37;189.67;194.72;199.43;202.54;204.51;204.73;207.03;211.30;210.81;210.79;215.32;218.17;218.65;217.42;219.71;223.37;
Municipios;0278;Buitrago del Lozoya;42.83;47.02;46.08;46.15;45.21;47.21;48.83;48.30;50.34;50.34;52.49;52.94;52.98;53.55;55.51;59.06;62.94;64.04;66.23;70.04;73.09;73.06;78.04;78.42;79.63;80.02;78.21;75.63;75.16;71.81;71.66;71.39;72.20;72.55;75.43;74.82;75.16;75.24;
Municipios;0284;Bustarviejo;19.56;19.81;19.79;20.03;20.75;21.10;21.33;21.80;22.50;22.91;23.28;23.47;23.93;24.26;25.17;26.67;27.91;28.78;29.44;31.59;33.79;34.62;35.67;35.99;37.81;39.29;40.32;42.21;41.78;42.12;42.17;42.69;44.23;44.54;44.88;48.15;48.17;48.97;
Municipios;0297;Cabanillas de la Sierra;20.57;23.19;24.11;25.46;25.60;25.96;26.03;26.52;26.31;26.31;27.45;29.08;30.64;31.77;32.13;33.55;36.45;38.30;41.28;44.75;45.96;49.43;52.06;52.84;53.76;53.33;54.34;53.76;52.97;53.04;52.03;51.52;51.52;54.70;56.80;60.85;63.24;67.80;
