Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;5038;4979;4898;4860;4856;4821;4705;4770;4745;
Zonas Estadísticas;01;Municipio de Madrid ;1408;1391;1420;1432;1427;1499;1446;1520;1539;
Zonas Estadísticas;02;Norte Metropolitano ;300;286;284;293;296;284;300;300;287;
Zonas Estadísticas;03;Este Metropolitano  ;252;250;253;260;252;236;233;230;224;
Zonas Estadísticas;04;Sur Metropolitano   ;683;650;634;621;608;582;587;556;556;
Zonas Estadísticas;05;Oeste Metropolitano ;281;300;286;294;305;309;306;320;328;
Zonas Estadísticas;06;Sierra Norte        ;276;281;264;252;272;261;243;251;243;
Zonas Estadísticas;07;Nordeste Comunidad  ;174;171;155;151;153;151;150;153;147;
Zonas Estadísticas;08;Sudeste Comunidad   ;738;715;688;668;672;664;621;630;635;
Zonas Estadísticas;09;Sudoeste Comunidad  ;481;477;476;457;441;416;415;394;382;
Zonas Estadísticas;10;Sierra Sur          ;196;199;196;198;193;187;179;177;170;
Zonas Estadísticas;11;Sierra Central      ;249;259;242;234;237;232;225;239;234;
Municipios;0014;Acebeda (La);3;3;3;2;2;0;0;0;0;
Municipios;0029;Ajalvir;6;8;9;9;8;10;12;11;11;
Municipios;0035;Alameda del Valle;7;6;5;4;4;5;5;5;3;
Municipios;0040;Alamo (El);22;19;18;22;14;14;13;18;17;
Municipios;0053;Alcalá de Henares;47;50;58;67;76;64;59;62;56;
Municipios;0066;Alcobendas;45;42;44;53;59;51;58;63;66;
Municipios;0072;Alcorcón;36;35;33;36;39;36;28;28;24;
Municipios;0088;Aldea del Fresno;27;25;24;23;23;23;22;22;25;
Municipios;0091;Algete;30;30;28;26;26;26;27;27;28;
Municipios;0105;Alpedrete;5;4;3;5;4;6;7;6;8;
Municipios;0112;Ambite;8;8;9;7;7;6;6;6;7;
Municipios;0127;Anchuelo;8;8;8;8;9;8;8;8;6;
Municipios;0133;Aranjuez;130;123;114;109;102;99;100;96;98;
Municipios;0148;Arganda del Rey;58;50;49;48;41;39;45;40;37;
Municipios;0151;Arroyomolinos;6;7;8;7;10;10;9;11;8;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;
Municipios;0170;Batres;1;1;1;4;2;1;1;1;2;
Municipios;0186;Becerril de la Sierra;10;10;9;8;10;9;8;8;7;
Municipios;0199;Belmonte de Tajo;10;9;10;9;8;9;8;7;9;
Municipios;0210;Berrueco (El);0;0;0;0;0;0;0;0;0;
Municipios;0203;Berzosa del Lozoya;0;1;1;1;1;1;0;0;0;
Municipios;0225;Boadilla del Monte;17;20;14;17;19;21;23;29;31;
Municipios;0231;Boalo (El);22;24;24;23;22;24;22;22;22;
Municipios;0246;Braojos;6;6;7;6;6;6;5;4;4;
Municipios;0259;Brea de Tajo;15;13;15;15;15;15;14;15;15;
Municipios;0262;Brunete;27;32;29;30;28;23;25;25;26;
Municipios;0278;Buitrago del Lozoya;7;6;7;5;10;10;7;8;7;
Municipios;0284;Bustarviejo;17;17;16;16;18;16;16;14;11;
Municipios;0297;Cabanillas de la Sierra;5;7;6;5;7;5;5;4;4;
Municipios;0301;Cabrera (La);2;2;2;1;0;2;1;3;3;
Municipios;0318;Cadalso de los Vidrios;19;14;16;14;13;14;16;15;13;
Municipios;0323;Camarma de Esteruelas;10;8;10;11;11;8;11;8;5;
Municipios;0339;Campo Real;16;15;12;14;11;9;10;11;11;
Municipios;0344;Canencia;8;8;8;6;7;8;8;8;7;
Municipios;0357;Carabaña;10;12;12;14;14;11;9;8;8;
Municipios;0360;Casarrubuelos;4;4;3;3;2;2;2;2;2;
Municipios;0376;Cenicientos;27;29;23;24;26;26;27;24;23;
Municipios;0382;Cercedilla;7;11;9;8;10;8;6;6;7;
Municipios;0395;Cervera de Buitrago;0;0;0;0;0;0;0;0;0;
Municipios;0513;Chapinería;5;7;6;4;4;4;5;4;4;
Municipios;0528;Chinchón;148;136;124;119;114;111;105;103;105;
Municipios;0409;Ciempozuelos;49;54;48;44;43;44;42;40;39;
Municipios;0416;Cobeña;14;16;17;17;15;18;19;18;20;
Municipios;0468;Collado Mediano;6;5;5;5;3;3;3;4;4;
Municipios;0474;Collado Villalba;36;36;37;36;37;38;38;32;34;
Municipios;0455;Colmenar Viejo;126;124;124;121;117;112;112;110;103;
Municipios;0437;Colmenar de Oreja;62;64;58;56;60;54;51;55;53;
Municipios;0421;Colmenar del Arroyo;21;21;19;19;17;15;14;14;16;
Municipios;0442;Colmenarejo;5;6;5;6;5;5;7;8;6;
